symbol,date,price,pais
OFICINA CONSULAR BUENOS AIRES,Dec 2012,25,ARG
OFICINA CONSULAR BUENOS AIRES,Jan 2013,51,ARG
OFICINA CONSULAR BUENOS AIRES,Feb 2013,32,ARG
OFICINA CONSULAR BUENOS AIRES,Mar 2013,62,ARG
OFICINA CONSULAR BUENOS AIRES,Apr 2013,65,ARG
OFICINA CONSULAR BUENOS AIRES,May 2013,60,ARG
OFICINA CONSULAR BUENOS AIRES,Jun 2013,72,ARG
OFICINA CONSULAR BUENOS AIRES,Jul 2013,69,ARG
OFICINA CONSULAR BUENOS AIRES,Aug 2013,40,ARG
OFICINA CONSULAR BUENOS AIRES,Sep 2013,58,ARG
OFICINA CONSULAR BUENOS AIRES,Oct 2013,68,ARG
OFICINA CONSULAR BUENOS AIRES,Nov 2013,64,ARG
OFICINA CONSULAR BUENOS AIRES,Dec 2013,55,ARG
OFICINA CONSULAR BUENOS AIRES,Jan 2014,66,ARG
OFICINA CONSULAR BUENOS AIRES,Feb 2014,39,ARG
OFICINA CONSULAR BUENOS AIRES,Mar 2014,83,ARG
OFICINA CONSULAR BUENOS AIRES,Apr 2014,63,ARG
OFICINA CONSULAR BUENOS AIRES,May 2014,83,ARG
OFICINA CONSULAR BUENOS AIRES,Jun 2014,79,ARG
OFICINA CONSULAR BUENOS AIRES,Jul 2014,99,ARG
OFICINA CONSULAR BUENOS AIRES,Aug 2014,64,ARG
OFICINA CONSULAR BUENOS AIRES,Sep 2014,106,ARG
OFICINA CONSULAR BUENOS AIRES,Oct 2014,82,ARG
OFICINA CONSULAR BUENOS AIRES,Nov 2014,87,ARG
OFICINA CONSULAR BUENOS AIRES,Dec 2014,104,ARG
OFICINA CONSULAR BUENOS AIRES,Jan 2015,65,ARG
OFICINA CONSULAR BUENOS AIRES,Feb 2015,35,ARG
OFICINA CONSULAR BUENOS AIRES,Mar 2015,75,ARG
OFICINA CONSULAR BUENOS AIRES,Apr 2015,80,ARG
OFICINA CONSULAR BUENOS AIRES,May 2015,59,ARG
OFICINA CONSULAR BUENOS AIRES,Jun 2015,87,ARG
OFICINA CONSULAR BUENOS AIRES,Jul 2015,85,ARG
OFICINA CONSULAR BUENOS AIRES,Aug 2015,87,ARG
OFICINA CONSULAR BUENOS AIRES,Sep 2015,74,ARG
OFICINA CONSULAR BUENOS AIRES,Oct 2015,85,ARG
OFICINA CONSULAR BUENOS AIRES,Nov 2015,61,ARG
OFICINA CONSULAR BUENOS AIRES,Dec 2015,72,ARG
OFICINA CONSULAR BUENOS AIRES,Jan 2016,99,ARG
OFICINA CONSULAR BUENOS AIRES,Feb 2016,181,ARG
OFICINA CONSULAR BUENOS AIRES,Mar 2016,304,ARG
OFICINA CONSULAR BUENOS AIRES,Apr 2016,183,ARG
OFICINA CONSULAR BUENOS AIRES,May 2016,186,ARG
OFICINA CONSULAR BUENOS AIRES,Jun 2016,175,ARG
OFICINA CONSULAR BUENOS AIRES,Jul 2016,172,ARG
OFICINA CONSULAR BUENOS AIRES,Aug 2016,170,ARG
OFICINA CONSULAR BUENOS AIRES,Sep 2016,153,ARG
OFICINA CONSULAR BUENOS AIRES,Oct 2016,131,ARG
OFICINA CONSULAR BUENOS AIRES,Nov 2016,161,ARG
OFICINA CONSULAR BUENOS AIRES,Dec 2016,92,ARG
OFICINA CONSULAR BUENOS AIRES,Jan 2017,119,ARG
OFICINA CONSULAR BUENOS AIRES,Feb 2017,143,ARG
OFICINA CONSULAR BUENOS AIRES,Mar 2017,303,ARG
OFICINA CONSULAR BUENOS AIRES,Apr 2017,139,ARG
OFICINA CONSULAR BUENOS AIRES,May 2017,191,ARG
OFICINA CONSULAR BUENOS AIRES,Jun 2017,164,ARG
OFICINA CONSULAR BUENOS AIRES,Jul 2017,121,ARG
OFICINA CONSULAR BUENOS AIRES,Aug 2017,153,ARG
OFICINA CONSULAR BUENOS AIRES,Sep 2017,142,ARG
OFICINA CONSULAR BUENOS AIRES,Oct 2017,122,ARG
OFICINA CONSULAR BUENOS AIRES,Nov 2017,139,ARG
OFICINA CONSULAR BUENOS AIRES,Dec 2017,107,ARG
