symbol,date,price,pais
OFICINA CONSULAR CANBERRA-AUSTRALIA,Apr 2014,2,AUS
OFICINA CONSULAR CANBERRA-AUSTRALIA,May 2014,29,AUS
OFICINA CONSULAR CANBERRA-AUSTRALIA,Jun 2014,10,AUS
OFICINA CONSULAR CANBERRA-AUSTRALIA,Jul 2014,5,AUS
OFICINA CONSULAR CANBERRA-AUSTRALIA,Aug 2014,24,AUS
OFICINA CONSULAR CANBERRA-AUSTRALIA,Sep 2014,17,AUS
OFICINA CONSULAR CANBERRA-AUSTRALIA,Oct 2014,15,AUS
OFICINA CONSULAR CANBERRA-AUSTRALIA,Nov 2014,23,AUS
OFICINA CONSULAR CANBERRA-AUSTRALIA,Dec 2014,5,AUS
OFICINA CONSULAR CANBERRA-AUSTRALIA,Jan 2015,21,AUS
OFICINA CONSULAR CANBERRA-AUSTRALIA,Feb 2015,13,AUS
OFICINA CONSULAR CANBERRA-AUSTRALIA,Mar 2015,44,AUS
OFICINA CONSULAR CANBERRA-AUSTRALIA,Apr 2015,29,AUS
OFICINA CONSULAR CANBERRA-AUSTRALIA,May 2015,16,AUS
OFICINA CONSULAR CANBERRA-AUSTRALIA,Jun 2015,13,AUS
OFICINA CONSULAR CANBERRA-AUSTRALIA,Jul 2015,12,AUS
OFICINA CONSULAR CANBERRA-AUSTRALIA,Aug 2015,10,AUS
OFICINA CONSULAR CANBERRA-AUSTRALIA,Sep 2015,17,AUS
OFICINA CONSULAR CANBERRA-AUSTRALIA,Oct 2015,7,AUS
OFICINA CONSULAR CANBERRA-AUSTRALIA,Nov 2015,17,AUS
OFICINA CONSULAR CANBERRA-AUSTRALIA,Dec 2015,14,AUS
OFICINA CONSULAR CANBERRA-AUSTRALIA,Jan 2016,12,AUS
OFICINA CONSULAR CANBERRA-AUSTRALIA,Feb 2016,17,AUS
OFICINA CONSULAR CANBERRA-AUSTRALIA,Mar 2016,10,AUS
OFICINA CONSULAR CANBERRA-AUSTRALIA,Apr 2016,17,AUS
OFICINA CONSULAR CANBERRA-AUSTRALIA,May 2016,7,AUS
OFICINA CONSULAR CANBERRA-AUSTRALIA,Jun 2016,9,AUS
OFICINA CONSULAR CANBERRA-AUSTRALIA,Jul 2016,33,AUS
OFICINA CONSULAR CANBERRA-AUSTRALIA,Aug 2016,16,AUS
OFICINA CONSULAR CANBERRA-AUSTRALIA,Sep 2016,7,AUS
OFICINA CONSULAR CANBERRA-AUSTRALIA,Oct 2016,11,AUS
OFICINA CONSULAR CANBERRA-AUSTRALIA,Nov 2016,13,AUS
OFICINA CONSULAR CANBERRA-AUSTRALIA,Dec 2016,14,AUS
OFICINA CONSULAR CANBERRA-AUSTRALIA,Jan 2017,12,AUS
OFICINA CONSULAR CANBERRA-AUSTRALIA,Feb 2017,11,AUS
OFICINA CONSULAR CANBERRA-AUSTRALIA,Mar 2017,7,AUS
OFICINA CONSULAR CANBERRA-AUSTRALIA,Apr 2017,4,AUS
OFICINA CONSULAR CANBERRA-AUSTRALIA,May 2017,9,AUS
OFICINA CONSULAR CANBERRA-AUSTRALIA,Jun 2017,24,AUS
OFICINA CONSULAR CANBERRA-AUSTRALIA,Jul 2017,13,AUS
OFICINA CONSULAR CANBERRA-AUSTRALIA,Aug 2017,13,AUS
OFICINA CONSULAR CANBERRA-AUSTRALIA,Sep 2017,12,AUS
OFICINA CONSULAR CANBERRA-AUSTRALIA,Oct 2017,13,AUS
OFICINA CONSULAR CANBERRA-AUSTRALIA,Nov 2017,6,AUS
OFICINA CONSULAR CANBERRA-AUSTRALIA,Dec 2017,12,AUS
