symbol,date,price,pais
OFICINA CONSULAR VIENA,Mar 2015,16,AUT
OFICINA CONSULAR VIENA,Apr 2015,9,AUT
OFICINA CONSULAR VIENA,May 2015,6,AUT
OFICINA CONSULAR VIENA,Jun 2015,20,AUT
OFICINA CONSULAR VIENA,Jul 2015,21,AUT
OFICINA CONSULAR VIENA,Aug 2015,51,AUT
OFICINA CONSULAR VIENA,Sep 2015,14,AUT
OFICINA CONSULAR VIENA,Oct 2015,11,AUT
OFICINA CONSULAR VIENA,Nov 2015,11,AUT
OFICINA CONSULAR VIENA,Dec 2015,36,AUT
OFICINA CONSULAR VIENA,Jan 2016,35,AUT
OFICINA CONSULAR VIENA,Feb 2016,10,AUT
OFICINA CONSULAR VIENA,Mar 2016,14,AUT
OFICINA CONSULAR VIENA,Apr 2016,14,AUT
OFICINA CONSULAR VIENA,May 2016,11,AUT
OFICINA CONSULAR VIENA,Jun 2016,18,AUT
OFICINA CONSULAR VIENA,Jul 2016,21,AUT
OFICINA CONSULAR VIENA,Aug 2016,29,AUT
OFICINA CONSULAR VIENA,Sep 2016,15,AUT
OFICINA CONSULAR VIENA,Oct 2016,17,AUT
OFICINA CONSULAR VIENA,Nov 2016,19,AUT
OFICINA CONSULAR VIENA,Dec 2016,18,AUT
OFICINA CONSULAR VIENA,Jan 2017,19,AUT
OFICINA CONSULAR VIENA,Feb 2017,15,AUT
OFICINA CONSULAR VIENA,Mar 2017,8,AUT
OFICINA CONSULAR VIENA,Apr 2017,17,AUT
OFICINA CONSULAR VIENA,May 2017,12,AUT
OFICINA CONSULAR VIENA,Jun 2017,20,AUT
OFICINA CONSULAR VIENA,Jul 2017,21,AUT
OFICINA CONSULAR VIENA,Aug 2017,24,AUT
OFICINA CONSULAR VIENA,Sep 2017,18,AUT
OFICINA CONSULAR VIENA,Oct 2017,13,AUT
OFICINA CONSULAR VIENA,Nov 2017,8,AUT
OFICINA CONSULAR VIENA,Dec 2017,12,AUT
