symbol,date,price,pais
CONSULADO BRUSELAS,Oct 2012,11,BEL
CONSULADO BRUSELAS,Nov 2012,60,BEL
CONSULADO BRUSELAS,Dec 2012,61,BEL
CONSULADO BRUSELAS,Jan 2013,104,BEL
CONSULADO BRUSELAS,Feb 2013,63,BEL
CONSULADO BRUSELAS,Mar 2013,74,BEL
CONSULADO BRUSELAS,Apr 2013,61,BEL
CONSULADO BRUSELAS,May 2013,73,BEL
CONSULADO BRUSELAS,Jun 2013,97,BEL
CONSULADO BRUSELAS,Jul 2013,140,BEL
CONSULADO BRUSELAS,Aug 2013,98,BEL
CONSULADO BRUSELAS,Sep 2013,76,BEL
CONSULADO BRUSELAS,Oct 2013,80,BEL
CONSULADO BRUSELAS,Nov 2013,55,BEL
CONSULADO BRUSELAS,Dec 2013,48,BEL
CONSULADO BRUSELAS,Jan 2014,109,BEL
CONSULADO BRUSELAS,Feb 2014,74,BEL
CONSULADO BRUSELAS,Mar 2014,53,BEL
CONSULADO BRUSELAS,Apr 2014,37,BEL
CONSULADO BRUSELAS,May 2014,59,BEL
CONSULADO BRUSELAS,Jun 2014,78,BEL
CONSULADO BRUSELAS,Jul 2014,101,BEL
CONSULADO BRUSELAS,Aug 2014,84,BEL
CONSULADO BRUSELAS,Sep 2014,89,BEL
CONSULADO BRUSELAS,Oct 2014,17,BEL
CONSULADO BRUSELAS,Nov 2014,53,BEL
CONSULADO BRUSELAS,Dec 2014,39,BEL
CONSULADO BRUSELAS,Jan 2015,74,BEL
CONSULADO BRUSELAS,Feb 2015,52,BEL
CONSULADO BRUSELAS,Mar 2015,53,BEL
CONSULADO BRUSELAS,Apr 2015,64,BEL
CONSULADO BRUSELAS,May 2015,51,BEL
CONSULADO BRUSELAS,Jun 2015,56,BEL
CONSULADO BRUSELAS,Jul 2015,76,BEL
CONSULADO BRUSELAS,Aug 2015,63,BEL
CONSULADO BRUSELAS,Sep 2015,44,BEL
CONSULADO BRUSELAS,Oct 2015,58,BEL
CONSULADO BRUSELAS,Nov 2015,41,BEL
CONSULADO BRUSELAS,Dec 2015,42,BEL
CONSULADO BRUSELAS,Jan 2016,49,BEL
CONSULADO BRUSELAS,Feb 2016,41,BEL
CONSULADO BRUSELAS,Mar 2016,44,BEL
CONSULADO BRUSELAS,Apr 2016,20,BEL
CONSULADO BRUSELAS,May 2016,24,BEL
CONSULADO BRUSELAS,Jun 2016,37,BEL
CONSULADO BRUSELAS,Jul 2016,26,BEL
CONSULADO BRUSELAS,Aug 2016,49,BEL
CONSULADO BRUSELAS,Sep 2016,46,BEL
CONSULADO BRUSELAS,Oct 2016,43,BEL
CONSULADO BRUSELAS,Nov 2016,31,BEL
CONSULADO BRUSELAS,Dec 2016,48,BEL
CONSULADO BRUSELAS,Jan 2017,42,BEL
CONSULADO BRUSELAS,Feb 2017,37,BEL
CONSULADO BRUSELAS,Mar 2017,41,BEL
CONSULADO BRUSELAS,Apr 2017,31,BEL
CONSULADO BRUSELAS,May 2017,45,BEL
CONSULADO BRUSELAS,Jun 2017,52,BEL
CONSULADO BRUSELAS,Jul 2017,39,BEL
CONSULADO BRUSELAS,Aug 2017,71,BEL
CONSULADO BRUSELAS,Sep 2017,88,BEL
CONSULADO BRUSELAS,Oct 2017,45,BEL
CONSULADO BRUSELAS,Nov 2017,53,BEL
CONSULADO BRUSELAS,Dec 2017,38,BEL
