symbol,date,price,pais
OFICINA CONSULAR LA PAZ,Dec 2012,36,BOL
OFICINA CONSULAR LA PAZ,Jan 2013,44,BOL
OFICINA CONSULAR LA PAZ,Feb 2013,39,BOL
OFICINA CONSULAR LA PAZ,Mar 2013,41,BOL
OFICINA CONSULAR LA PAZ,Apr 2013,92,BOL
OFICINA CONSULAR LA PAZ,May 2013,143,BOL
OFICINA CONSULAR LA PAZ,Jun 2013,143,BOL
OFICINA CONSULAR LA PAZ,Jul 2013,88,BOL
OFICINA CONSULAR LA PAZ,Aug 2013,137,BOL
OFICINA CONSULAR LA PAZ,Sep 2013,143,BOL
OFICINA CONSULAR LA PAZ,Oct 2013,103,BOL
OFICINA CONSULAR LA PAZ,Nov 2013,76,BOL
OFICINA CONSULAR LA PAZ,Dec 2013,51,BOL
OFICINA CONSULAR LA PAZ,Jan 2014,97,BOL
OFICINA CONSULAR LA PAZ,Feb 2014,76,BOL
OFICINA CONSULAR LA PAZ,Mar 2014,70,BOL
OFICINA CONSULAR LA PAZ,Apr 2014,104,BOL
OFICINA CONSULAR LA PAZ,May 2014,82,BOL
OFICINA CONSULAR LA PAZ,Jun 2014,91,BOL
OFICINA CONSULAR LA PAZ,Jul 2014,82,BOL
OFICINA CONSULAR LA PAZ,Aug 2014,56,BOL
OFICINA CONSULAR LA PAZ,Sep 2014,102,BOL
OFICINA CONSULAR LA PAZ,Oct 2014,87,BOL
OFICINA CONSULAR LA PAZ,Nov 2014,53,BOL
OFICINA CONSULAR LA PAZ,Dec 2014,63,BOL
OFICINA CONSULAR LA PAZ,Jan 2015,75,BOL
OFICINA CONSULAR LA PAZ,Feb 2015,79,BOL
OFICINA CONSULAR LA PAZ,Mar 2015,96,BOL
OFICINA CONSULAR LA PAZ,Apr 2015,91,BOL
OFICINA CONSULAR LA PAZ,May 2015,86,BOL
OFICINA CONSULAR LA PAZ,Jun 2015,53,BOL
OFICINA CONSULAR LA PAZ,Jul 2015,62,BOL
OFICINA CONSULAR LA PAZ,Aug 2015,63,BOL
OFICINA CONSULAR LA PAZ,Sep 2015,98,BOL
OFICINA CONSULAR LA PAZ,Oct 2015,57,BOL
OFICINA CONSULAR LA PAZ,Nov 2015,51,BOL
OFICINA CONSULAR LA PAZ,Dec 2015,61,BOL
OFICINA CONSULAR LA PAZ,Jan 2016,46,BOL
OFICINA CONSULAR LA PAZ,Feb 2016,67,BOL
OFICINA CONSULAR LA PAZ,Mar 2016,99,BOL
OFICINA CONSULAR LA PAZ,Apr 2016,58,BOL
OFICINA CONSULAR LA PAZ,May 2016,68,BOL
OFICINA CONSULAR LA PAZ,Jun 2016,56,BOL
OFICINA CONSULAR LA PAZ,Jul 2016,50,BOL
OFICINA CONSULAR LA PAZ,Aug 2016,62,BOL
OFICINA CONSULAR LA PAZ,Sep 2016,90,BOL
OFICINA CONSULAR LA PAZ,Oct 2016,40,BOL
OFICINA CONSULAR LA PAZ,Nov 2016,47,BOL
OFICINA CONSULAR LA PAZ,Dec 2016,44,BOL
OFICINA CONSULAR LA PAZ,Jan 2017,41,BOL
OFICINA CONSULAR LA PAZ,Feb 2017,77,BOL
OFICINA CONSULAR LA PAZ,Mar 2017,83,BOL
OFICINA CONSULAR LA PAZ,Apr 2017,60,BOL
OFICINA CONSULAR LA PAZ,May 2017,65,BOL
OFICINA CONSULAR LA PAZ,Jun 2017,73,BOL
OFICINA CONSULAR LA PAZ,Jul 2017,66,BOL
OFICINA CONSULAR LA PAZ,Aug 2017,55,BOL
OFICINA CONSULAR LA PAZ,Sep 2017,54,BOL
OFICINA CONSULAR LA PAZ,Oct 2017,80,BOL
OFICINA CONSULAR LA PAZ,Nov 2017,39,BOL
OFICINA CONSULAR LA PAZ,Dec 2017,44,BOL
