symbol,date,price,pais
OFICINA CONSULAR BRASILIA D.F.,Jan 2013,91,BRA
OFICINA CONSULAR BRASILIA D.F.,Feb 2013,104,BRA
OFICINA CONSULAR BRASILIA D.F.,Mar 2013,73,BRA
OFICINA CONSULAR BRASILIA D.F.,Apr 2013,92,BRA
OFICINA CONSULAR BRASILIA D.F.,May 2013,97,BRA
OFICINA CONSULAR BRASILIA D.F.,Jun 2013,107,BRA
OFICINA CONSULAR BRASILIA D.F.,Jul 2013,172,BRA
OFICINA CONSULAR BRASILIA D.F.,Aug 2013,134,BRA
OFICINA CONSULAR BRASILIA D.F.,Sep 2013,79,BRA
OFICINA CONSULAR BRASILIA D.F.,Oct 2013,99,BRA
OFICINA CONSULAR BRASILIA D.F.,Nov 2013,46,BRA
OFICINA CONSULAR BRASILIA D.F.,Dec 2013,128,BRA
OFICINA CONSULAR BRASILIA D.F.,Jan 2014,198,BRA
OFICINA CONSULAR BRASILIA D.F.,Feb 2014,69,BRA
OFICINA CONSULAR BRASILIA D.F.,Mar 2014,117,BRA
OFICINA CONSULAR BRASILIA D.F.,Apr 2014,109,BRA
OFICINA CONSULAR BRASILIA D.F.,May 2014,109,BRA
OFICINA CONSULAR BRASILIA D.F.,Jun 2014,94,BRA
OFICINA CONSULAR BRASILIA D.F.,Jul 2014,127,BRA
OFICINA CONSULAR BRASILIA D.F.,Aug 2014,115,BRA
OFICINA CONSULAR BRASILIA D.F.,Sep 2014,97,BRA
OFICINA CONSULAR BRASILIA D.F.,Oct 2014,131,BRA
OFICINA CONSULAR BRASILIA D.F.,Nov 2014,97,BRA
OFICINA CONSULAR BRASILIA D.F.,Dec 2014,80,BRA
OFICINA CONSULAR BRASILIA D.F.,Jan 2015,74,BRA
OFICINA CONSULAR BRASILIA D.F.,Feb 2015,56,BRA
OFICINA CONSULAR BRASILIA D.F.,Mar 2015,149,BRA
OFICINA CONSULAR BRASILIA D.F.,Apr 2015,161,BRA
OFICINA CONSULAR BRASILIA D.F.,May 2015,242,BRA
OFICINA CONSULAR BRASILIA D.F.,Jun 2015,184,BRA
OFICINA CONSULAR BRASILIA D.F.,Jul 2015,114,BRA
OFICINA CONSULAR BRASILIA D.F.,Aug 2015,105,BRA
OFICINA CONSULAR BRASILIA D.F.,Sep 2015,75,BRA
OFICINA CONSULAR BRASILIA D.F.,Oct 2015,100,BRA
OFICINA CONSULAR BRASILIA D.F.,Nov 2015,72,BRA
OFICINA CONSULAR BRASILIA D.F.,Dec 2015,129,BRA
OFICINA CONSULAR BRASILIA D.F.,Jan 2016,93,BRA
OFICINA CONSULAR BRASILIA D.F.,Feb 2016,166,BRA
OFICINA CONSULAR BRASILIA D.F.,Mar 2016,168,BRA
OFICINA CONSULAR BRASILIA D.F.,Apr 2016,110,BRA
OFICINA CONSULAR BRASILIA D.F.,May 2016,65,BRA
OFICINA CONSULAR BRASILIA D.F.,Jun 2016,115,BRA
OFICINA CONSULAR BRASILIA D.F.,Jul 2016,44,BRA
OFICINA CONSULAR BRASILIA D.F.,Aug 2016,45,BRA
OFICINA CONSULAR BRASILIA D.F.,Sep 2016,6,BRA
OFICINA CONSULAR BRASILIA D.F.,Oct 2016,18,BRA
OFICINA CONSULAR BRASILIA D.F.,Nov 2016,17,BRA
OFICINA CONSULAR BRASILIA D.F.,Dec 2016,11,BRA
OFICINA CONSULAR BRASILIA D.F.,Jan 2017,3,BRA
OFICINA CONSULAR BRASILIA D.F.,Feb 2017,12,BRA
OFICINA CONSULAR BRASILIA D.F.,Mar 2017,18,BRA
OFICINA CONSULAR BRASILIA D.F.,Apr 2017,9,BRA
OFICINA CONSULAR BRASILIA D.F.,May 2017,7,BRA
OFICINA CONSULAR BRASILIA D.F.,Jul 2017,12,BRA
OFICINA CONSULAR BRASILIA D.F.,Aug 2017,13,BRA
OFICINA CONSULAR BRASILIA D.F.,Sep 2017,7,BRA
OFICINA CONSULAR BRASILIA D.F.,Oct 2017,15,BRA
OFICINA CONSULAR BRASILIA D.F.,Nov 2017,13,BRA
OFICINA CONSULAR BRASILIA D.F.,Dec 2017,12,BRA
OFICINA CONSULAR RIO DE JANEIRO,Aug 2013,119,BRA
OFICINA CONSULAR RIO DE JANEIRO,Sep 2013,74,BRA
OFICINA CONSULAR RIO DE JANEIRO,Oct 2013,69,BRA
OFICINA CONSULAR RIO DE JANEIRO,Nov 2013,104,BRA
OFICINA CONSULAR RIO DE JANEIRO,Dec 2013,89,BRA
OFICINA CONSULAR RIO DE JANEIRO,Jan 2014,93,BRA
