symbol,date,price,pais
OFICINA CONSULAR MONTREAL,Dec 2012,51,CAN
OFICINA CONSULAR MONTREAL,Jan 2013,51,CAN
OFICINA CONSULAR MONTREAL,Feb 2013,52,CAN
OFICINA CONSULAR MONTREAL,Mar 2013,20,CAN
OFICINA CONSULAR MONTREAL,Apr 2013,55,CAN
OFICINA CONSULAR MONTREAL,May 2013,89,CAN
OFICINA CONSULAR MONTREAL,Jun 2013,80,CAN
OFICINA CONSULAR MONTREAL,Jul 2013,60,CAN
OFICINA CONSULAR MONTREAL,Aug 2013,122,CAN
OFICINA CONSULAR MONTREAL,Sep 2013,109,CAN
OFICINA CONSULAR MONTREAL,Oct 2013,73,CAN
OFICINA CONSULAR MONTREAL,Nov 2013,68,CAN
OFICINA CONSULAR MONTREAL,Dec 2013,91,CAN
OFICINA CONSULAR MONTREAL,Jan 2014,49,CAN
OFICINA CONSULAR MONTREAL,Feb 2014,44,CAN
OFICINA CONSULAR MONTREAL,Mar 2014,32,CAN
OFICINA CONSULAR MONTREAL,Apr 2014,82,CAN
OFICINA CONSULAR MONTREAL,May 2014,90,CAN
OFICINA CONSULAR MONTREAL,Jun 2014,54,CAN
OFICINA CONSULAR MONTREAL,Jul 2014,120,CAN
OFICINA CONSULAR MONTREAL,Aug 2014,76,CAN
OFICINA CONSULAR MONTREAL,Sep 2014,66,CAN
OFICINA CONSULAR MONTREAL,Oct 2014,99,CAN
OFICINA CONSULAR MONTREAL,Nov 2014,64,CAN
OFICINA CONSULAR MONTREAL,Dec 2014,67,CAN
OFICINA CONSULAR MONTREAL,Jan 2015,35,CAN
OFICINA CONSULAR MONTREAL,Feb 2015,34,CAN
OFICINA CONSULAR MONTREAL,Mar 2015,41,CAN
OFICINA CONSULAR MONTREAL,Apr 2015,81,CAN
OFICINA CONSULAR MONTREAL,May 2015,47,CAN
OFICINA CONSULAR MONTREAL,Jun 2015,71,CAN
OFICINA CONSULAR MONTREAL,Jul 2015,69,CAN
OFICINA CONSULAR MONTREAL,Aug 2015,55,CAN
OFICINA CONSULAR MONTREAL,Sep 2015,88,CAN
OFICINA CONSULAR MONTREAL,Oct 2015,93,CAN
OFICINA CONSULAR MONTREAL,Nov 2015,85,CAN
OFICINA CONSULAR MONTREAL,Dec 2015,130,CAN
OFICINA CONSULAR MONTREAL,Jan 2016,50,CAN
OFICINA CONSULAR MONTREAL,Feb 2016,68,CAN
OFICINA CONSULAR MONTREAL,Mar 2016,74,CAN
OFICINA CONSULAR MONTREAL,Apr 2016,26,CAN
OFICINA CONSULAR MONTREAL,May 2016,40,CAN
OFICINA CONSULAR MONTREAL,Jun 2016,49,CAN
OFICINA CONSULAR MONTREAL,Jul 2016,49,CAN
OFICINA CONSULAR MONTREAL,Aug 2016,71,CAN
OFICINA CONSULAR MONTREAL,Sep 2016,65,CAN
OFICINA CONSULAR MONTREAL,Oct 2016,82,CAN
OFICINA CONSULAR MONTREAL,Nov 2016,48,CAN
OFICINA CONSULAR MONTREAL,Dec 2016,64,CAN
OFICINA CONSULAR MONTREAL,Jan 2017,69,CAN
OFICINA CONSULAR MONTREAL,Feb 2017,47,CAN
OFICINA CONSULAR MONTREAL,Mar 2017,51,CAN
OFICINA CONSULAR MONTREAL,Apr 2017,60,CAN
OFICINA CONSULAR MONTREAL,May 2017,106,CAN
OFICINA CONSULAR MONTREAL,Jun 2017,92,CAN
OFICINA CONSULAR MONTREAL,Jul 2017,54,CAN
OFICINA CONSULAR MONTREAL,Aug 2017,67,CAN
OFICINA CONSULAR MONTREAL,Sep 2017,62,CAN
OFICINA CONSULAR MONTREAL,Oct 2017,63,CAN
OFICINA CONSULAR MONTREAL,Nov 2017,51,CAN
OFICINA CONSULAR MONTREAL,Dec 2017,61,CAN
OFICINA CONSULAR OTTAWA,Nov 2012,3,CAN
OFICINA CONSULAR OTTAWA,Dec 2012,44,CAN
OFICINA CONSULAR OTTAWA,Jan 2013,29,CAN
OFICINA CONSULAR OTTAWA,Feb 2013,36,CAN
OFICINA CONSULAR OTTAWA,Mar 2013,68,CAN
OFICINA CONSULAR OTTAWA,Apr 2013,72,CAN
OFICINA CONSULAR OTTAWA,May 2013,80,CAN
OFICINA CONSULAR OTTAWA,Jun 2013,32,CAN
OFICINA CONSULAR OTTAWA,Jul 2013,96,CAN
OFICINA CONSULAR OTTAWA,Aug 2013,56,CAN
OFICINA CONSULAR OTTAWA,Sep 2013,59,CAN
OFICINA CONSULAR OTTAWA,Oct 2013,58,CAN
OFICINA CONSULAR OTTAWA,Nov 2013,63,CAN
OFICINA CONSULAR OTTAWA,Dec 2013,52,CAN
OFICINA CONSULAR OTTAWA,Jan 2014,57,CAN
OFICINA CONSULAR OTTAWA,Feb 2014,66,CAN
OFICINA CONSULAR OTTAWA,Mar 2014,57,CAN
OFICINA CONSULAR OTTAWA,Apr 2014,34,CAN
OFICINA CONSULAR OTTAWA,May 2014,54,CAN
OFICINA CONSULAR OTTAWA,Jun 2014,48,CAN
OFICINA CONSULAR OTTAWA,Jul 2014,47,CAN
OFICINA CONSULAR OTTAWA,Aug 2014,91,CAN
OFICINA CONSULAR OTTAWA,Sep 2014,110,CAN
OFICINA CONSULAR OTTAWA,Oct 2014,92,CAN
OFICINA CONSULAR OTTAWA,Nov 2014,77,CAN
OFICINA CONSULAR OTTAWA,Dec 2014,81,CAN
OFICINA CONSULAR OTTAWA,Jan 2015,70,CAN
OFICINA CONSULAR OTTAWA,Feb 2015,69,CAN
OFICINA CONSULAR OTTAWA,Mar 2015,47,CAN
OFICINA CONSULAR OTTAWA,Apr 2015,49,CAN
OFICINA CONSULAR OTTAWA,May 2015,13,CAN
OFICINA CONSULAR OTTAWA,Jun 2015,52,CAN
OFICINA CONSULAR OTTAWA,Jul 2015,40,CAN
OFICINA CONSULAR OTTAWA,Aug 2015,65,CAN
OFICINA CONSULAR OTTAWA,Sep 2015,34,CAN
OFICINA CONSULAR OTTAWA,Oct 2015,81,CAN
OFICINA CONSULAR OTTAWA,Nov 2015,41,CAN
OFICINA CONSULAR OTTAWA,Dec 2015,40,CAN
OFICINA CONSULAR OTTAWA,Jan 2016,37,CAN
OFICINA CONSULAR OTTAWA,Feb 2016,19,CAN
OFICINA CONSULAR OTTAWA,Mar 2016,67,CAN
OFICINA CONSULAR OTTAWA,Apr 2016,26,CAN
OFICINA CONSULAR OTTAWA,May 2016,45,CAN
OFICINA CONSULAR OTTAWA,Jun 2016,46,CAN
OFICINA CONSULAR OTTAWA,Jul 2016,32,CAN
OFICINA CONSULAR OTTAWA,Aug 2016,72,CAN
OFICINA CONSULAR OTTAWA,Sep 2016,81,CAN
OFICINA CONSULAR OTTAWA,Oct 2016,59,CAN
OFICINA CONSULAR OTTAWA,Nov 2016,51,CAN
OFICINA CONSULAR OTTAWA,Dec 2016,72,CAN
OFICINA CONSULAR OTTAWA,Jan 2017,48,CAN
OFICINA CONSULAR OTTAWA,Feb 2017,26,CAN
OFICINA CONSULAR OTTAWA,Mar 2017,40,CAN
OFICINA CONSULAR OTTAWA,Apr 2017,50,CAN
OFICINA CONSULAR OTTAWA,May 2017,28,CAN
OFICINA CONSULAR OTTAWA,Jun 2017,37,CAN
OFICINA CONSULAR OTTAWA,Jul 2017,41,CAN
OFICINA CONSULAR OTTAWA,Aug 2017,54,CAN
OFICINA CONSULAR OTTAWA,Sep 2017,53,CAN
OFICINA CONSULAR OTTAWA,Oct 2017,76,CAN
OFICINA CONSULAR OTTAWA,Nov 2017,52,CAN
