symbol,date,price,pais
OFICINA CONSULAR SANTIAGO,Jan 2013,4,CHL
OFICINA CONSULAR SANTIAGO,Feb 2013,528,CHL
OFICINA CONSULAR SANTIAGO,Mar 2013,1004,CHL
OFICINA CONSULAR SANTIAGO,Apr 2013,595,CHL
OFICINA CONSULAR SANTIAGO,May 2013,574,CHL
OFICINA CONSULAR SANTIAGO,Jun 2013,676,CHL
OFICINA CONSULAR SANTIAGO,Jul 2013,502,CHL
OFICINA CONSULAR SANTIAGO,Aug 2013,727,CHL
OFICINA CONSULAR SANTIAGO,Sep 2013,414,CHL
OFICINA CONSULAR SANTIAGO,Oct 2013,713,CHL
OFICINA CONSULAR SANTIAGO,Nov 2013,632,CHL
OFICINA CONSULAR SANTIAGO,Dec 2013,705,CHL
OFICINA CONSULAR SANTIAGO,Jan 2014,895,CHL
OFICINA CONSULAR SANTIAGO,Feb 2014,498,CHL
OFICINA CONSULAR SANTIAGO,Mar 2014,633,CHL
OFICINA CONSULAR SANTIAGO,Apr 2014,527,CHL
OFICINA CONSULAR SANTIAGO,May 2014,553,CHL
OFICINA CONSULAR SANTIAGO,Jun 2014,548,CHL
OFICINA CONSULAR SANTIAGO,Jul 2014,715,CHL
OFICINA CONSULAR SANTIAGO,Aug 2014,617,CHL
OFICINA CONSULAR SANTIAGO,Sep 2014,575,CHL
OFICINA CONSULAR SANTIAGO,Oct 2014,617,CHL
OFICINA CONSULAR SANTIAGO,Nov 2014,538,CHL
OFICINA CONSULAR SANTIAGO,Dec 2014,726,CHL
OFICINA CONSULAR SANTIAGO,Jan 2015,743,CHL
OFICINA CONSULAR SANTIAGO,Feb 2015,608,CHL
OFICINA CONSULAR SANTIAGO,Mar 2015,793,CHL
OFICINA CONSULAR SANTIAGO,Apr 2015,500,CHL
OFICINA CONSULAR SANTIAGO,May 2015,533,CHL
OFICINA CONSULAR SANTIAGO,Jun 2015,542,CHL
OFICINA CONSULAR SANTIAGO,Jul 2015,543,CHL
OFICINA CONSULAR SANTIAGO,Aug 2015,549,CHL
OFICINA CONSULAR SANTIAGO,Sep 2015,403,CHL
OFICINA CONSULAR SANTIAGO,Oct 2015,524,CHL
OFICINA CONSULAR SANTIAGO,Nov 2015,450,CHL
OFICINA CONSULAR SANTIAGO,Dec 2015,800,CHL
OFICINA CONSULAR SANTIAGO,Jan 2016,675,CHL
OFICINA CONSULAR SANTIAGO,Feb 2016,662,CHL
OFICINA CONSULAR SANTIAGO,Mar 2016,720,CHL
OFICINA CONSULAR SANTIAGO,Apr 2016,607,CHL
OFICINA CONSULAR SANTIAGO,May 2016,587,CHL
OFICINA CONSULAR SANTIAGO,Jun 2016,550,CHL
OFICINA CONSULAR SANTIAGO,Jul 2016,587,CHL
OFICINA CONSULAR SANTIAGO,Aug 2016,564,CHL
OFICINA CONSULAR SANTIAGO,Sep 2016,157,CHL
OFICINA CONSULAR SANTIAGO,Oct 2016,142,CHL
OFICINA CONSULAR SANTIAGO,Nov 2016,166,CHL
OFICINA CONSULAR SANTIAGO,Dec 2016,176,CHL
OFICINA CONSULAR SANTIAGO,Jan 2017,168,CHL
OFICINA CONSULAR SANTIAGO,Feb 2017,176,CHL
OFICINA CONSULAR SANTIAGO,Mar 2017,232,CHL
OFICINA CONSULAR SANTIAGO,Apr 2017,206,CHL
OFICINA CONSULAR SANTIAGO,May 2017,201,CHL
OFICINA CONSULAR SANTIAGO,Jun 2017,228,CHL
OFICINA CONSULAR SANTIAGO,Jul 2017,233,CHL
OFICINA CONSULAR SANTIAGO,Aug 2017,249,CHL
OFICINA CONSULAR SANTIAGO,Sep 2017,189,CHL
OFICINA CONSULAR SANTIAGO,Oct 2017,203,CHL
OFICINA CONSULAR SANTIAGO,Nov 2017,210,CHL
OFICINA CONSULAR SANTIAGO,Dec 2017,218,CHL
