symbol,date,price,pais
OFICINA CONSULAR BEIJING,Oct 2010,10,CHN
OFICINA CONSULAR BEIJING,Nov 2010,202,CHN
OFICINA CONSULAR BEIJING,Dec 2010,222,CHN
OFICINA CONSULAR BEIJING,Jan 2011,140,CHN
OFICINA CONSULAR BEIJING,Feb 2011,96,CHN
OFICINA CONSULAR BEIJING,Mar 2011,294,CHN
OFICINA CONSULAR BEIJING,Apr 2011,284,CHN
OFICINA CONSULAR BEIJING,May 2011,132,CHN
OFICINA CONSULAR BEIJING,Jun 2011,88,CHN
OFICINA CONSULAR BEIJING,Jul 2011,162,CHN
OFICINA CONSULAR BEIJING,Aug 2011,84,CHN
OFICINA CONSULAR BEIJING,Sep 2011,91,CHN
OFICINA CONSULAR BEIJING,Oct 2011,70,CHN
OFICINA CONSULAR BEIJING,Nov 2011,116,CHN
OFICINA CONSULAR BEIJING,Dec 2011,121,CHN
OFICINA CONSULAR BEIJING,Jan 2012,46,CHN
OFICINA CONSULAR BEIJING,Feb 2012,154,CHN
OFICINA CONSULAR BEIJING,Mar 2012,158,CHN
OFICINA CONSULAR BEIJING,Apr 2012,136,CHN
OFICINA CONSULAR BEIJING,May 2012,274,CHN
OFICINA CONSULAR BEIJING,Jun 2012,242,CHN
OFICINA CONSULAR BEIJING,Jul 2012,350,CHN
OFICINA CONSULAR BEIJING,Aug 2012,426,CHN
OFICINA CONSULAR BEIJING,Sep 2012,328,CHN
OFICINA CONSULAR BEIJING,Oct 2012,183,CHN
OFICINA CONSULAR BEIJING,Nov 2012,622,CHN
OFICINA CONSULAR BEIJING,Dec 2012,715,CHN
OFICINA CONSULAR BEIJING,Jan 2013,796,CHN
OFICINA CONSULAR BEIJING,Feb 2013,498,CHN
OFICINA CONSULAR BEIJING,Mar 2013,797,CHN
OFICINA CONSULAR BEIJING,Apr 2013,955,CHN
OFICINA CONSULAR BEIJING,May 2013,1124,CHN
OFICINA CONSULAR BEIJING,Jun 2013,773,CHN
OFICINA CONSULAR BEIJING,Jul 2013,1029,CHN
OFICINA CONSULAR BEIJING,Aug 2013,884,CHN
OFICINA CONSULAR BEIJING,Sep 2013,937,CHN
OFICINA CONSULAR BEIJING,Oct 2013,756,CHN
OFICINA CONSULAR BEIJING,Nov 2013,1004,CHN
OFICINA CONSULAR BEIJING,Dec 2013,826,CHN
OFICINA CONSULAR BEIJING,Jan 2014,1029,CHN
OFICINA CONSULAR BEIJING,Feb 2014,651,CHN
OFICINA CONSULAR BEIJING,Mar 2014,1002,CHN
OFICINA CONSULAR BEIJING,Apr 2014,972,CHN
OFICINA CONSULAR BEIJING,May 2014,692,CHN
OFICINA CONSULAR BEIJING,Jun 2014,913,CHN
OFICINA CONSULAR BEIJING,Jul 2014,1156,CHN
OFICINA CONSULAR BEIJING,Aug 2014,757,CHN
OFICINA CONSULAR BEIJING,Sep 2014,677,CHN
OFICINA CONSULAR BEIJING,Oct 2014,818,CHN
OFICINA CONSULAR BEIJING,Nov 2014,755,CHN
OFICINA CONSULAR BEIJING,Dec 2014,848,CHN
OFICINA CONSULAR BEIJING,Jan 2015,874,CHN
OFICINA CONSULAR BEIJING,Feb 2015,573,CHN
OFICINA CONSULAR BEIJING,Mar 2015,921,CHN
OFICINA CONSULAR BEIJING,Apr 2015,947,CHN
OFICINA CONSULAR BEIJING,May 2015,575,CHN
OFICINA CONSULAR BEIJING,Jun 2015,940,CHN
OFICINA CONSULAR BEIJING,Jul 2015,917,CHN
OFICINA CONSULAR BEIJING,Aug 2015,931,CHN
OFICINA CONSULAR BEIJING,Sep 2015,914,CHN
OFICINA CONSULAR BEIJING,Oct 2015,612,CHN
OFICINA CONSULAR BEIJING,Nov 2015,688,CHN
OFICINA CONSULAR BEIJING,Dec 2015,626,CHN
OFICINA CONSULAR BEIJING,Jan 2016,808,CHN
OFICINA CONSULAR BEIJING,Feb 2016,491,CHN
OFICINA CONSULAR BEIJING,Mar 2016,463,CHN
OFICINA CONSULAR BEIJING,Apr 2016,389,CHN
OFICINA CONSULAR BEIJING,May 2016,381,CHN
OFICINA CONSULAR BEIJING,Jun 2016,338,CHN
OFICINA CONSULAR BEIJING,Jul 2016,356,CHN
OFICINA CONSULAR BEIJING,Aug 2016,365,CHN
OFICINA CONSULAR BEIJING,Sep 2016,348,CHN
OFICINA CONSULAR BEIJING,Oct 2016,152,CHN
OFICINA CONSULAR BEIJING,Nov 2016,345,CHN
OFICINA CONSULAR BEIJING,Dec 2016,293,CHN
OFICINA CONSULAR BEIJING,Jan 2017,489,CHN
OFICINA CONSULAR BEIJING,Feb 2017,232,CHN
OFICINA CONSULAR BEIJING,Mar 2017,630,CHN
OFICINA CONSULAR BEIJING,Apr 2017,496,CHN
OFICINA CONSULAR BEIJING,May 2017,679,CHN
OFICINA CONSULAR BEIJING,Jun 2017,536,CHN
OFICINA CONSULAR BEIJING,Jul 2017,722,CHN
OFICINA CONSULAR BEIJING,Aug 2017,571,CHN
OFICINA CONSULAR BEIJING,Sep 2017,596,CHN
OFICINA CONSULAR BEIJING,Oct 2017,511,CHN
OFICINA CONSULAR BEIJING,Nov 2017,563,CHN
OFICINA CONSULAR BEIJING,Dec 2017,274,CHN
OFICINA CONSULAR CANTON,Nov 2010,102,CHN
OFICINA CONSULAR CANTON,Dec 2010,63,CHN
OFICINA CONSULAR CANTON,Jan 2011,104,CHN
OFICINA CONSULAR CANTON,Feb 2011,39,CHN
OFICINA CONSULAR CANTON,Mar 2011,36,CHN
OFICINA CONSULAR CANTON,Apr 2011,32,CHN
OFICINA CONSULAR CANTON,May 2011,54,CHN
OFICINA CONSULAR CANTON,Jun 2011,64,CHN
OFICINA CONSULAR CANTON,Jul 2011,134,CHN
OFICINA CONSULAR CANTON,Aug 2011,102,CHN
OFICINA CONSULAR CANTON,Sep 2011,126,CHN
OFICINA CONSULAR CANTON,Oct 2011,102,CHN
OFICINA CONSULAR CANTON,Nov 2011,146,CHN
OFICINA CONSULAR CANTON,Dec 2011,88,CHN
OFICINA CONSULAR CANTON,Jan 2012,90,CHN
OFICINA CONSULAR CANTON,Feb 2012,114,CHN
OFICINA CONSULAR CANTON,Mar 2012,154,CHN
OFICINA CONSULAR CANTON,Apr 2012,120,CHN
OFICINA CONSULAR CANTON,May 2012,142,CHN
OFICINA CONSULAR CANTON,Jun 2012,147,CHN
OFICINA CONSULAR CANTON,Jul 2012,170,CHN
OFICINA CONSULAR CANTON,Aug 2012,145,CHN
OFICINA CONSULAR CANTON,Sep 2012,78,CHN
OFICINA CONSULAR CANTON,Oct 2012,88,CHN
OFICINA CONSULAR CANTON,Nov 2012,449,CHN
OFICINA CONSULAR CANTON,Dec 2012,269,CHN
OFICINA CONSULAR CANTON,Jan 2013,331,CHN
OFICINA CONSULAR CANTON,Feb 2013,116,CHN
OFICINA CONSULAR CANTON,Mar 2013,344,CHN
OFICINA CONSULAR CANTON,Apr 2013,280,CHN
OFICINA CONSULAR CANTON,May 2013,328,CHN
OFICINA CONSULAR CANTON,Jun 2013,211,CHN
OFICINA CONSULAR CANTON,Jul 2013,317,CHN
OFICINA CONSULAR CANTON,Aug 2013,505,CHN
OFICINA CONSULAR CANTON,Sep 2013,350,CHN
OFICINA CONSULAR CANTON,Oct 2013,293,CHN
OFICINA CONSULAR CANTON,Nov 2013,358,CHN
OFICINA CONSULAR CANTON,Dec 2013,219,CHN
OFICINA CONSULAR CANTON,Jan 2014,348,CHN
OFICINA CONSULAR CANTON,Feb 2014,299,CHN
OFICINA CONSULAR CANTON,Mar 2014,283,CHN
OFICINA CONSULAR CANTON,Apr 2014,359,CHN
OFICINA CONSULAR CANTON,May 2014,367,CHN
OFICINA CONSULAR CANTON,Jun 2014,514,CHN
OFICINA CONSULAR CANTON,Jul 2014,494,CHN
OFICINA CONSULAR CANTON,Aug 2014,505,CHN
OFICINA CONSULAR CANTON,Sep 2014,322,CHN
OFICINA CONSULAR CANTON,Oct 2014,416,CHN
OFICINA CONSULAR CANTON,Nov 2014,356,CHN
OFICINA CONSULAR CANTON,Dec 2014,211,CHN
OFICINA CONSULAR CANTON,Jan 2015,238,CHN
OFICINA CONSULAR CANTON,Feb 2015,338,CHN
OFICINA CONSULAR CANTON,Mar 2015,535,CHN
OFICINA CONSULAR CANTON,Apr 2015,507,CHN
OFICINA CONSULAR CANTON,May 2015,531,CHN
OFICINA CONSULAR CANTON,Jun 2015,332,CHN
OFICINA CONSULAR CANTON,Jul 2015,398,CHN
OFICINA CONSULAR CANTON,Aug 2015,465,CHN
OFICINA CONSULAR CANTON,Sep 2015,540,CHN
OFICINA CONSULAR CANTON,Oct 2015,423,CHN
OFICINA CONSULAR CANTON,Nov 2015,405,CHN
OFICINA CONSULAR CANTON,Dec 2015,279,CHN
OFICINA CONSULAR CANTON,Jan 2016,290,CHN
OFICINA CONSULAR CANTON,Feb 2016,274,CHN
OFICINA CONSULAR CANTON,Mar 2016,319,CHN
OFICINA CONSULAR CANTON,Apr 2016,255,CHN
OFICINA CONSULAR CANTON,May 2016,227,CHN
OFICINA CONSULAR CANTON,Jun 2016,174,CHN
