symbol,date,price,pais
CONSULADO GENERAL CALI,Oct 2012,5,COL
CONSULADO GENERAL CALI,Nov 2012,10,COL
CONSULADO GENERAL CALI,Dec 2012,5,COL
CONSULADO GENERAL CALI,Jan 2013,9,COL
CONSULADO GENERAL CALI,Feb 2013,6,COL
CONSULADO GENERAL CALI,Mar 2013,23,COL
CONSULADO GENERAL CALI,Apr 2013,13,COL
CONSULADO GENERAL CALI,May 2013,21,COL
CONSULADO GENERAL CALI,Jun 2013,20,COL
CONSULADO GENERAL CALI,Jul 2013,6,COL
CONSULADO GENERAL CALI,Aug 2013,21,COL
CONSULADO GENERAL CALI,Sep 2013,30,COL
CONSULADO GENERAL CALI,Oct 2013,20,COL
CONSULADO GENERAL CALI,Nov 2013,11,COL
CONSULADO GENERAL CALI,Mar 2014,12,COL
CONSULADO GENERAL CALI,Apr 2014,2,COL
CONSULADO GENERAL CALI,May 2014,3,COL
CONSULADO GENERAL CALI,Jun 2014,8,COL
CONSULADO GENERAL CALI,Jul 2014,8,COL
CONSULADO GENERAL CALI,Aug 2014,11,COL
CONSULADO GENERAL CALI,Sep 2014,6,COL
CONSULADO GENERAL CALI,Oct 2014,4,COL
CONSULADO GENERAL CALI,Nov 2014,6,COL
CONSULADO GENERAL CALI,Dec 2014,4,COL
CONSULADO GENERAL CALI,Jan 2015,4,COL
CONSULADO GENERAL CALI,Jul 2015,3,COL
CONSULADO GENERAL CALI,Jan 2016,2,COL
CONSULADO GENERAL CALI,Jun 2016,2,COL
CONSULADO GENERAL CALI,Jan 2017,1,COL
OFICINA CONSULAR BOGOTÁ,Mar 2013,111,COL
OFICINA CONSULAR BOGOTÁ,Apr 2013,175,COL
OFICINA CONSULAR BOGOTÁ,May 2013,173,COL
OFICINA CONSULAR BOGOTÁ,Jun 2013,113,COL
OFICINA CONSULAR BOGOTÁ,Jul 2013,207,COL
OFICINA CONSULAR BOGOTÁ,Aug 2013,173,COL
OFICINA CONSULAR BOGOTÁ,Sep 2013,199,COL
OFICINA CONSULAR BOGOTÁ,Oct 2013,114,COL
OFICINA CONSULAR BOGOTÁ,Nov 2013,127,COL
OFICINA CONSULAR BOGOTÁ,Dec 2013,119,COL
OFICINA CONSULAR BOGOTÁ,Jan 2014,121,COL
OFICINA CONSULAR BOGOTÁ,Feb 2014,169,COL
OFICINA CONSULAR BOGOTÁ,Mar 2014,133,COL
OFICINA CONSULAR BOGOTÁ,Apr 2014,156,COL
OFICINA CONSULAR BOGOTÁ,May 2014,175,COL
OFICINA CONSULAR BOGOTÁ,Jun 2014,174,COL
OFICINA CONSULAR BOGOTÁ,Jul 2014,224,COL
OFICINA CONSULAR BOGOTÁ,Aug 2014,211,COL
OFICINA CONSULAR BOGOTÁ,Sep 2014,310,COL
OFICINA CONSULAR BOGOTÁ,Oct 2014,161,COL
OFICINA CONSULAR BOGOTÁ,Nov 2014,150,COL
OFICINA CONSULAR BOGOTÁ,Dec 2014,194,COL
OFICINA CONSULAR BOGOTÁ,Jan 2015,197,COL
OFICINA CONSULAR BOGOTÁ,Feb 2015,203,COL
OFICINA CONSULAR BOGOTÁ,Mar 2015,200,COL
OFICINA CONSULAR BOGOTÁ,Apr 2015,219,COL
OFICINA CONSULAR BOGOTÁ,May 2015,130,COL
OFICINA CONSULAR BOGOTÁ,Jun 2015,140,COL
OFICINA CONSULAR BOGOTÁ,Jul 2015,191,COL
OFICINA CONSULAR BOGOTÁ,Aug 2015,168,COL
OFICINA CONSULAR BOGOTÁ,Sep 2015,172,COL
OFICINA CONSULAR BOGOTÁ,Oct 2015,172,COL
OFICINA CONSULAR BOGOTÁ,Nov 2015,117,COL
OFICINA CONSULAR BOGOTÁ,Dec 2015,138,COL
OFICINA CONSULAR BOGOTÁ,Jan 2016,171,COL
OFICINA CONSULAR BOGOTÁ,Feb 2016,215,COL
OFICINA CONSULAR BOGOTÁ,Mar 2016,158,COL
OFICINA CONSULAR BOGOTÁ,Apr 2016,211,COL
OFICINA CONSULAR BOGOTÁ,May 2016,189,COL
OFICINA CONSULAR BOGOTÁ,Jun 2016,212,COL
OFICINA CONSULAR BOGOTÁ,Jul 2016,206,COL
OFICINA CONSULAR BOGOTÁ,Aug 2016,236,COL
OFICINA CONSULAR BOGOTÁ,Sep 2016,171,COL
OFICINA CONSULAR BOGOTÁ,Oct 2016,137,COL
OFICINA CONSULAR BOGOTÁ,Nov 2016,150,COL
OFICINA CONSULAR BOGOTÁ,Dec 2016,136,COL
OFICINA CONSULAR BOGOTÁ,Jan 2017,217,COL
OFICINA CONSULAR BOGOTÁ,Feb 2017,180,COL
OFICINA CONSULAR BOGOTÁ,Mar 2017,120,COL
OFICINA CONSULAR BOGOTÁ,Apr 2017,141,COL
OFICINA CONSULAR BOGOTÁ,May 2017,129,COL
OFICINA CONSULAR BOGOTÁ,Jun 2017,188,COL
OFICINA CONSULAR BOGOTÁ,Jul 2017,184,COL
OFICINA CONSULAR BOGOTÁ,Aug 2017,191,COL
OFICINA CONSULAR BOGOTÁ,Sep 2017,158,COL
OFICINA CONSULAR BOGOTÁ,Oct 2017,174,COL
OFICINA CONSULAR BOGOTÁ,Nov 2017,151,COL
OFICINA CONSULAR BOGOTÁ,Dec 2017,101,COL
OFICINA CONSULAR IPIALES,Nov 2012,89,COL
OFICINA CONSULAR IPIALES,Dec 2012,91,COL
OFICINA CONSULAR IPIALES,Jan 2013,130,COL
OFICINA CONSULAR IPIALES,Feb 2013,120,COL
OFICINA CONSULAR IPIALES,Mar 2013,152,COL
OFICINA CONSULAR IPIALES,Apr 2013,212,COL
OFICINA CONSULAR IPIALES,May 2013,166,COL
OFICINA CONSULAR IPIALES,Jun 2013,170,COL
OFICINA CONSULAR IPIALES,Jul 2013,222,COL
OFICINA CONSULAR IPIALES,Aug 2013,194,COL
OFICINA CONSULAR IPIALES,Sep 2013,278,COL
OFICINA CONSULAR IPIALES,Oct 2013,240,COL
OFICINA CONSULAR IPIALES,Nov 2013,176,COL
OFICINA CONSULAR IPIALES,Dec 2013,165,COL
OFICINA CONSULAR IPIALES,Jan 2014,189,COL
OFICINA CONSULAR IPIALES,Feb 2014,210,COL
OFICINA CONSULAR IPIALES,Mar 2014,229,COL
OFICINA CONSULAR IPIALES,Apr 2014,262,COL
OFICINA CONSULAR IPIALES,May 2014,219,COL
OFICINA CONSULAR IPIALES,Jun 2014,259,COL
OFICINA CONSULAR IPIALES,Jul 2014,289,COL
OFICINA CONSULAR IPIALES,Aug 2014,283,COL
OFICINA CONSULAR IPIALES,Sep 2014,298,COL
OFICINA CONSULAR IPIALES,Oct 2014,248,COL
OFICINA CONSULAR IPIALES,Nov 2014,159,COL
OFICINA CONSULAR IPIALES,Dec 2014,181,COL
OFICINA CONSULAR IPIALES,Jan 2015,258,COL
OFICINA CONSULAR IPIALES,Feb 2015,210,COL
OFICINA CONSULAR IPIALES,Mar 2015,192,COL
OFICINA CONSULAR IPIALES,Apr 2015,162,COL
OFICINA CONSULAR IPIALES,May 2015,100,COL
OFICINA CONSULAR IPIALES,Jun 2015,121,COL
OFICINA CONSULAR IPIALES,Jul 2015,115,COL
OFICINA CONSULAR IPIALES,Aug 2015,91,COL
OFICINA CONSULAR IPIALES,Sep 2015,153,COL
OFICINA CONSULAR IPIALES,Oct 2015,171,COL
OFICINA CONSULAR IPIALES,Nov 2015,38,COL
OFICINA CONSULAR IPIALES,Dec 2015,68,COL
OFICINA CONSULAR IPIALES,Jan 2016,85,COL
OFICINA CONSULAR IPIALES,Feb 2016,46,COL
OFICINA CONSULAR IPIALES,Mar 2016,68,COL
OFICINA CONSULAR IPIALES,Apr 2016,134,COL
OFICINA CONSULAR IPIALES,May 2016,103,COL
OFICINA CONSULAR IPIALES,Jun 2016,69,COL
OFICINA CONSULAR IPIALES,Jul 2016,65,COL
OFICINA CONSULAR IPIALES,Aug 2016,81,COL
OFICINA CONSULAR IPIALES,Sep 2016,105,COL
OFICINA CONSULAR IPIALES,Oct 2016,118,COL
OFICINA CONSULAR IPIALES,Nov 2016,64,COL
OFICINA CONSULAR IPIALES,Dec 2016,97,COL
OFICINA CONSULAR IPIALES,Jan 2017,74,COL
OFICINA CONSULAR IPIALES,Feb 2017,55,COL
OFICINA CONSULAR IPIALES,Mar 2017,89,COL
OFICINA CONSULAR IPIALES,Apr 2017,65,COL
OFICINA CONSULAR IPIALES,May 2017,54,COL
OFICINA CONSULAR IPIALES,Jun 2017,56,COL
OFICINA CONSULAR IPIALES,Jul 2017,36,COL
OFICINA CONSULAR IPIALES,Aug 2017,59,COL
OFICINA CONSULAR IPIALES,Sep 2017,78,COL
OFICINA CONSULAR IPIALES,Oct 2017,113,COL
OFICINA CONSULAR IPIALES,Nov 2017,82,COL
OFICINA CONSULAR IPIALES,Dec 2017,43,COL
