symbol,date,price,pais
OFICINA CONSULAR SAN JOSÉ,Dec 2012,16,CRI
OFICINA CONSULAR SAN JOSÉ,Jan 2013,14,CRI
OFICINA CONSULAR SAN JOSÉ,Feb 2013,18,CRI
OFICINA CONSULAR SAN JOSÉ,Mar 2013,32,CRI
OFICINA CONSULAR SAN JOSÉ,Apr 2013,20,CRI
OFICINA CONSULAR SAN JOSÉ,May 2013,15,CRI
OFICINA CONSULAR SAN JOSÉ,Jun 2013,7,CRI
OFICINA CONSULAR SAN JOSÉ,Jul 2013,19,CRI
OFICINA CONSULAR SAN JOSÉ,Aug 2013,105,CRI
OFICINA CONSULAR SAN JOSÉ,Sep 2013,30,CRI
OFICINA CONSULAR SAN JOSÉ,Oct 2013,21,CRI
OFICINA CONSULAR SAN JOSÉ,Nov 2013,23,CRI
OFICINA CONSULAR SAN JOSÉ,Dec 2013,12,CRI
OFICINA CONSULAR SAN JOSÉ,Jan 2014,73,CRI
OFICINA CONSULAR SAN JOSÉ,Feb 2014,27,CRI
OFICINA CONSULAR SAN JOSÉ,Mar 2014,20,CRI
OFICINA CONSULAR SAN JOSÉ,Apr 2014,16,CRI
OFICINA CONSULAR SAN JOSÉ,May 2014,15,CRI
OFICINA CONSULAR SAN JOSÉ,Jun 2014,24,CRI
OFICINA CONSULAR SAN JOSÉ,Jul 2014,28,CRI
OFICINA CONSULAR SAN JOSÉ,Aug 2014,59,CRI
OFICINA CONSULAR SAN JOSÉ,Sep 2014,40,CRI
OFICINA CONSULAR SAN JOSÉ,Oct 2014,20,CRI
OFICINA CONSULAR SAN JOSÉ,Nov 2014,25,CRI
OFICINA CONSULAR SAN JOSÉ,Dec 2014,6,CRI
OFICINA CONSULAR SAN JOSÉ,Jan 2015,41,CRI
OFICINA CONSULAR SAN JOSÉ,Feb 2015,37,CRI
OFICINA CONSULAR SAN JOSÉ,Mar 2015,41,CRI
OFICINA CONSULAR SAN JOSÉ,Apr 2015,37,CRI
OFICINA CONSULAR SAN JOSÉ,May 2015,23,CRI
OFICINA CONSULAR SAN JOSÉ,Jun 2015,27,CRI
OFICINA CONSULAR SAN JOSÉ,Jul 2015,34,CRI
OFICINA CONSULAR SAN JOSÉ,Aug 2015,35,CRI
OFICINA CONSULAR SAN JOSÉ,Sep 2015,31,CRI
OFICINA CONSULAR SAN JOSÉ,Oct 2015,19,CRI
OFICINA CONSULAR SAN JOSÉ,Nov 2015,21,CRI
OFICINA CONSULAR SAN JOSÉ,Dec 2015,8,CRI
OFICINA CONSULAR SAN JOSÉ,Jan 2016,61,CRI
OFICINA CONSULAR SAN JOSÉ,Feb 2016,21,CRI
OFICINA CONSULAR SAN JOSÉ,Mar 2016,22,CRI
OFICINA CONSULAR SAN JOSÉ,Apr 2016,34,CRI
OFICINA CONSULAR SAN JOSÉ,May 2016,12,CRI
OFICINA CONSULAR SAN JOSÉ,Jun 2016,22,CRI
OFICINA CONSULAR SAN JOSÉ,Jul 2016,33,CRI
OFICINA CONSULAR SAN JOSÉ,Aug 2016,57,CRI
OFICINA CONSULAR SAN JOSÉ,Sep 2016,17,CRI
OFICINA CONSULAR SAN JOSÉ,Oct 2016,16,CRI
OFICINA CONSULAR SAN JOSÉ,Nov 2016,27,CRI
OFICINA CONSULAR SAN JOSÉ,Dec 2016,14,CRI
OFICINA CONSULAR SAN JOSÉ,Jan 2017,52,CRI
OFICINA CONSULAR SAN JOSÉ,Feb 2017,13,CRI
OFICINA CONSULAR SAN JOSÉ,Mar 2017,15,CRI
OFICINA CONSULAR SAN JOSÉ,Apr 2017,13,CRI
OFICINA CONSULAR SAN JOSÉ,May 2017,13,CRI
OFICINA CONSULAR SAN JOSÉ,Jun 2017,19,CRI
OFICINA CONSULAR SAN JOSÉ,Jul 2017,19,CRI
OFICINA CONSULAR SAN JOSÉ,Aug 2017,33,CRI
OFICINA CONSULAR SAN JOSÉ,Sep 2017,19,CRI
OFICINA CONSULAR SAN JOSÉ,Oct 2017,30,CRI
OFICINA CONSULAR SAN JOSÉ,Nov 2017,18,CRI
OFICINA CONSULAR SAN JOSÉ,Dec 2017,12,CRI
