symbol,date,price,pais
OFICINA CONSULAR LA HABANA,Dec 2012,20,CUB
OFICINA CONSULAR LA HABANA,Jun 2013,59,CUB
OFICINA CONSULAR LA HABANA,Jul 2013,2830,CUB
OFICINA CONSULAR LA HABANA,Aug 2013,1569,CUB
OFICINA CONSULAR LA HABANA,Sep 2013,1637,CUB
OFICINA CONSULAR LA HABANA,Oct 2013,1640,CUB
OFICINA CONSULAR LA HABANA,Nov 2013,1712,CUB
OFICINA CONSULAR LA HABANA,Dec 2013,1649,CUB
OFICINA CONSULAR LA HABANA,Jan 2014,3854,CUB
OFICINA CONSULAR LA HABANA,Feb 2014,3098,CUB
OFICINA CONSULAR LA HABANA,Mar 2014,2762,CUB
OFICINA CONSULAR LA HABANA,Apr 2014,3184,CUB
OFICINA CONSULAR LA HABANA,May 2014,2298,CUB
OFICINA CONSULAR LA HABANA,Jun 2014,2327,CUB
OFICINA CONSULAR LA HABANA,Jul 2014,3426,CUB
OFICINA CONSULAR LA HABANA,Aug 2014,3464,CUB
OFICINA CONSULAR LA HABANA,Sep 2014,2265,CUB
OFICINA CONSULAR LA HABANA,Oct 2014,2514,CUB
OFICINA CONSULAR LA HABANA,Nov 2014,4639,CUB
OFICINA CONSULAR LA HABANA,Dec 2014,4368,CUB
OFICINA CONSULAR LA HABANA,Jan 2015,3302,CUB
OFICINA CONSULAR LA HABANA,Feb 2015,3410,CUB
OFICINA CONSULAR LA HABANA,Mar 2015,2388,CUB
OFICINA CONSULAR LA HABANA,Apr 2015,1417,CUB
OFICINA CONSULAR LA HABANA,May 2015,2693,CUB
OFICINA CONSULAR LA HABANA,Jun 2015,1588,CUB
OFICINA CONSULAR LA HABANA,Jul 2015,1651,CUB
OFICINA CONSULAR LA HABANA,Aug 2015,929,CUB
OFICINA CONSULAR LA HABANA,Sep 2015,1058,CUB
OFICINA CONSULAR LA HABANA,Oct 2015,1306,CUB
OFICINA CONSULAR LA HABANA,Nov 2015,1006,CUB
OFICINA CONSULAR LA HABANA,Dec 2015,1346,CUB
OFICINA CONSULAR LA HABANA,Jan 2016,834,CUB
OFICINA CONSULAR LA HABANA,Feb 2016,384,CUB
OFICINA CONSULAR LA HABANA,Mar 2016,684,CUB
OFICINA CONSULAR LA HABANA,Apr 2016,542,CUB
OFICINA CONSULAR LA HABANA,May 2016,578,CUB
OFICINA CONSULAR LA HABANA,Jun 2016,776,CUB
OFICINA CONSULAR LA HABANA,Jul 2016,463,CUB
OFICINA CONSULAR LA HABANA,Aug 2016,695,CUB
OFICINA CONSULAR LA HABANA,Sep 2016,657,CUB
OFICINA CONSULAR LA HABANA,Oct 2016,535,CUB
OFICINA CONSULAR LA HABANA,Nov 2016,874,CUB
OFICINA CONSULAR LA HABANA,Dec 2016,640,CUB
OFICINA CONSULAR LA HABANA,Jan 2017,547,CUB
OFICINA CONSULAR LA HABANA,Feb 2017,602,CUB
OFICINA CONSULAR LA HABANA,Mar 2017,633,CUB
OFICINA CONSULAR LA HABANA,Apr 2017,606,CUB
OFICINA CONSULAR LA HABANA,May 2017,561,CUB
OFICINA CONSULAR LA HABANA,Jun 2017,582,CUB
OFICINA CONSULAR LA HABANA,Jul 2017,681,CUB
OFICINA CONSULAR LA HABANA,Aug 2017,915,CUB
OFICINA CONSULAR LA HABANA,Sep 2017,625,CUB
OFICINA CONSULAR LA HABANA,Oct 2017,1034,CUB
OFICINA CONSULAR LA HABANA,Nov 2017,851,CUB
OFICINA CONSULAR LA HABANA,Dec 2017,651,CUB
