symbol,date,price,pais
OFICINA CONSULAR BERLIN,Dec 2012,15,DEU
OFICINA CONSULAR BERLIN,Jan 2013,48,DEU
OFICINA CONSULAR BERLIN,Feb 2013,82,DEU
OFICINA CONSULAR BERLIN,Mar 2013,48,DEU
OFICINA CONSULAR BERLIN,Apr 2013,20,DEU
OFICINA CONSULAR BERLIN,May 2013,33,DEU
OFICINA CONSULAR BERLIN,Jun 2013,105,DEU
OFICINA CONSULAR BERLIN,Jul 2013,181,DEU
OFICINA CONSULAR BERLIN,Aug 2013,179,DEU
OFICINA CONSULAR BERLIN,Sep 2013,53,DEU
OFICINA CONSULAR BERLIN,Oct 2013,58,DEU
OFICINA CONSULAR BERLIN,Nov 2013,33,DEU
OFICINA CONSULAR BERLIN,Dec 2013,36,DEU
OFICINA CONSULAR BERLIN,Jan 2014,68,DEU
OFICINA CONSULAR BERLIN,Feb 2014,41,DEU
OFICINA CONSULAR BERLIN,Mar 2014,46,DEU
OFICINA CONSULAR BERLIN,Apr 2014,47,DEU
OFICINA CONSULAR BERLIN,May 2014,42,DEU
OFICINA CONSULAR BERLIN,Jun 2014,84,DEU
OFICINA CONSULAR BERLIN,Jul 2014,216,DEU
OFICINA CONSULAR BERLIN,Aug 2014,123,DEU
OFICINA CONSULAR BERLIN,Sep 2014,66,DEU
OFICINA CONSULAR BERLIN,Oct 2014,56,DEU
OFICINA CONSULAR BERLIN,Nov 2014,27,DEU
OFICINA CONSULAR BERLIN,Dec 2014,58,DEU
OFICINA CONSULAR BERLIN,Jan 2015,28,DEU
OFICINA CONSULAR BERLIN,Feb 2015,69,DEU
OFICINA CONSULAR BERLIN,Mar 2015,70,DEU
OFICINA CONSULAR BERLIN,Apr 2015,60,DEU
OFICINA CONSULAR BERLIN,May 2015,52,DEU
OFICINA CONSULAR BERLIN,Jun 2015,126,DEU
OFICINA CONSULAR BERLIN,Jul 2015,183,DEU
OFICINA CONSULAR BERLIN,Aug 2015,123,DEU
OFICINA CONSULAR BERLIN,Sep 2015,43,DEU
OFICINA CONSULAR BERLIN,Oct 2015,37,DEU
OFICINA CONSULAR BERLIN,Nov 2015,34,DEU
OFICINA CONSULAR BERLIN,Dec 2015,30,DEU
OFICINA CONSULAR BERLIN,Jan 2016,26,DEU
OFICINA CONSULAR BERLIN,Feb 2016,37,DEU
OFICINA CONSULAR BERLIN,Mar 2016,20,DEU
OFICINA CONSULAR BERLIN,Apr 2016,37,DEU
OFICINA CONSULAR BERLIN,May 2016,25,DEU
OFICINA CONSULAR BERLIN,Jun 2016,44,DEU
OFICINA CONSULAR BERLIN,Jul 2016,86,DEU
OFICINA CONSULAR BERLIN,Aug 2016,121,DEU
OFICINA CONSULAR BERLIN,Sep 2016,40,DEU
OFICINA CONSULAR BERLIN,Oct 2016,26,DEU
OFICINA CONSULAR BERLIN,Nov 2016,20,DEU
OFICINA CONSULAR BERLIN,Dec 2016,29,DEU
OFICINA CONSULAR BERLIN,Jan 2017,33,DEU
OFICINA CONSULAR BERLIN,Feb 2017,28,DEU
OFICINA CONSULAR BERLIN,Mar 2017,23,DEU
OFICINA CONSULAR BERLIN,Apr 2017,22,DEU
OFICINA CONSULAR BERLIN,May 2017,6,DEU
OFICINA CONSULAR BERLIN,Jun 2017,3,DEU
OFICINA CONSULAR BERLIN,Jul 2017,12,DEU
OFICINA CONSULAR BERLIN,Aug 2017,110,DEU
OFICINA CONSULAR BERLIN,Sep 2017,35,DEU
OFICINA CONSULAR BERLIN,Oct 2017,17,DEU
OFICINA CONSULAR BERLIN,Nov 2017,7,DEU
OFICINA CONSULAR BERLIN,Dec 2017,28,DEU
OFICINA CONSULAR HAMBURGO,Jan 2013,23,DEU
OFICINA CONSULAR HAMBURGO,Feb 2013,48,DEU
OFICINA CONSULAR HAMBURGO,Mar 2013,32,DEU
OFICINA CONSULAR HAMBURGO,Apr 2013,19,DEU
OFICINA CONSULAR HAMBURGO,May 2013,49,DEU
OFICINA CONSULAR HAMBURGO,Jun 2013,60,DEU
OFICINA CONSULAR HAMBURGO,Jul 2013,97,DEU
OFICINA CONSULAR HAMBURGO,Aug 2013,59,DEU
OFICINA CONSULAR HAMBURGO,Sep 2013,34,DEU
OFICINA CONSULAR HAMBURGO,Oct 2013,35,DEU
OFICINA CONSULAR HAMBURGO,Nov 2013,24,DEU
OFICINA CONSULAR HAMBURGO,Dec 2013,17,DEU
OFICINA CONSULAR HAMBURGO,Jan 2014,17,DEU
OFICINA CONSULAR HAMBURGO,Feb 2014,44,DEU
OFICINA CONSULAR HAMBURGO,Mar 2014,17,DEU
OFICINA CONSULAR HAMBURGO,Apr 2014,23,DEU
OFICINA CONSULAR HAMBURGO,May 2014,62,DEU
OFICINA CONSULAR HAMBURGO,Jun 2014,55,DEU
OFICINA CONSULAR HAMBURGO,Jul 2014,95,DEU
OFICINA CONSULAR HAMBURGO,Aug 2014,57,DEU
OFICINA CONSULAR HAMBURGO,Sep 2014,40,DEU
OFICINA CONSULAR HAMBURGO,Oct 2014,31,DEU
OFICINA CONSULAR HAMBURGO,Nov 2014,23,DEU
OFICINA CONSULAR HAMBURGO,Dec 2014,35,DEU
OFICINA CONSULAR HAMBURGO,Jan 2015,45,DEU
OFICINA CONSULAR HAMBURGO,Apr 2015,42,DEU
OFICINA CONSULAR HAMBURGO,May 2015,34,DEU
OFICINA CONSULAR HAMBURGO,Jun 2015,56,DEU
OFICINA CONSULAR HAMBURGO,Jul 2015,90,DEU
OFICINA CONSULAR HAMBURGO,Aug 2015,117,DEU
OFICINA CONSULAR HAMBURGO,Sep 2015,66,DEU
OFICINA CONSULAR HAMBURGO,Oct 2015,22,DEU
OFICINA CONSULAR HAMBURGO,Nov 2015,30,DEU
OFICINA CONSULAR HAMBURGO,Dec 2015,41,DEU
OFICINA CONSULAR HAMBURGO,Jan 2016,37,DEU
OFICINA CONSULAR HAMBURGO,Feb 2016,33,DEU
OFICINA CONSULAR HAMBURGO,Mar 2016,24,DEU
OFICINA CONSULAR HAMBURGO,Apr 2016,13,DEU
OFICINA CONSULAR HAMBURGO,May 2016,37,DEU
OFICINA CONSULAR HAMBURGO,Jun 2016,26,DEU
OFICINA CONSULAR HAMBURGO,Jul 2016,66,DEU
OFICINA CONSULAR HAMBURGO,Aug 2016,99,DEU
OFICINA CONSULAR HAMBURGO,Sep 2016,34,DEU
OFICINA CONSULAR HAMBURGO,Oct 2016,38,DEU
OFICINA CONSULAR HAMBURGO,Nov 2016,33,DEU
OFICINA CONSULAR HAMBURGO,Dec 2016,26,DEU
OFICINA CONSULAR HAMBURGO,Jan 2017,23,DEU
OFICINA CONSULAR HAMBURGO,Feb 2017,22,DEU
OFICINA CONSULAR HAMBURGO,Mar 2017,16,DEU
OFICINA CONSULAR HAMBURGO,Apr 2017,7,DEU
OFICINA CONSULAR HAMBURGO,May 2017,32,DEU
OFICINA CONSULAR HAMBURGO,Jun 2017,37,DEU
OFICINA CONSULAR HAMBURGO,Jul 2017,67,DEU
OFICINA CONSULAR HAMBURGO,Aug 2017,69,DEU
OFICINA CONSULAR HAMBURGO,Sep 2017,30,DEU
OFICINA CONSULAR HAMBURGO,Oct 2017,50,DEU
OFICINA CONSULAR HAMBURGO,Nov 2017,28,DEU
OFICINA CONSULAR HAMBURGO,Dec 2017,25,DEU
