symbol,date,price,pais
OFICINA CONSULAR SANTO DOMINGO,Oct 2012,5,DOM
OFICINA CONSULAR SANTO DOMINGO,Nov 2012,17,DOM
OFICINA CONSULAR SANTO DOMINGO,Dec 2012,6,DOM
OFICINA CONSULAR SANTO DOMINGO,Jan 2013,13,DOM
OFICINA CONSULAR SANTO DOMINGO,Feb 2013,2,DOM
OFICINA CONSULAR SANTO DOMINGO,Mar 2013,11,DOM
OFICINA CONSULAR SANTO DOMINGO,Apr 2013,7,DOM
OFICINA CONSULAR SANTO DOMINGO,May 2013,37,DOM
OFICINA CONSULAR SANTO DOMINGO,Jun 2013,13,DOM
OFICINA CONSULAR SANTO DOMINGO,Jul 2013,7,DOM
OFICINA CONSULAR SANTO DOMINGO,Aug 2013,6,DOM
OFICINA CONSULAR SANTO DOMINGO,Sep 2013,8,DOM
OFICINA CONSULAR SANTO DOMINGO,Oct 2013,7,DOM
OFICINA CONSULAR SANTO DOMINGO,Nov 2013,19,DOM
OFICINA CONSULAR SANTO DOMINGO,Dec 2013,14,DOM
OFICINA CONSULAR SANTO DOMINGO,Jan 2014,9,DOM
OFICINA CONSULAR SANTO DOMINGO,Feb 2014,9,DOM
OFICINA CONSULAR SANTO DOMINGO,Mar 2014,7,DOM
OFICINA CONSULAR SANTO DOMINGO,Apr 2014,9,DOM
OFICINA CONSULAR SANTO DOMINGO,May 2014,4,DOM
OFICINA CONSULAR SANTO DOMINGO,Jun 2014,13,DOM
OFICINA CONSULAR SANTO DOMINGO,Jul 2014,9,DOM
OFICINA CONSULAR SANTO DOMINGO,Aug 2014,9,DOM
OFICINA CONSULAR SANTO DOMINGO,Sep 2014,12,DOM
OFICINA CONSULAR SANTO DOMINGO,Oct 2014,16,DOM
OFICINA CONSULAR SANTO DOMINGO,Nov 2014,13,DOM
OFICINA CONSULAR SANTO DOMINGO,Dec 2014,11,DOM
OFICINA CONSULAR SANTO DOMINGO,Jan 2015,11,DOM
OFICINA CONSULAR SANTO DOMINGO,Feb 2015,19,DOM
OFICINA CONSULAR SANTO DOMINGO,Mar 2015,18,DOM
OFICINA CONSULAR SANTO DOMINGO,Apr 2015,9,DOM
OFICINA CONSULAR SANTO DOMINGO,May 2015,7,DOM
OFICINA CONSULAR SANTO DOMINGO,Jun 2015,19,DOM
OFICINA CONSULAR SANTO DOMINGO,Jul 2015,12,DOM
OFICINA CONSULAR SANTO DOMINGO,Aug 2015,8,DOM
OFICINA CONSULAR SANTO DOMINGO,Sep 2015,9,DOM
OFICINA CONSULAR SANTO DOMINGO,Oct 2015,13,DOM
OFICINA CONSULAR SANTO DOMINGO,Nov 2015,8,DOM
OFICINA CONSULAR SANTO DOMINGO,Dec 2015,12,DOM
OFICINA CONSULAR SANTO DOMINGO,Jan 2016,16,DOM
OFICINA CONSULAR SANTO DOMINGO,Feb 2016,18,DOM
OFICINA CONSULAR SANTO DOMINGO,Mar 2016,13,DOM
OFICINA CONSULAR SANTO DOMINGO,Apr 2016,12,DOM
OFICINA CONSULAR SANTO DOMINGO,May 2016,3,DOM
OFICINA CONSULAR SANTO DOMINGO,Jun 2016,3,DOM
OFICINA CONSULAR SANTO DOMINGO,Jul 2016,5,DOM
OFICINA CONSULAR SANTO DOMINGO,Aug 2016,9,DOM
OFICINA CONSULAR SANTO DOMINGO,Sep 2016,18,DOM
OFICINA CONSULAR SANTO DOMINGO,Oct 2016,20,DOM
OFICINA CONSULAR SANTO DOMINGO,Nov 2016,10,DOM
OFICINA CONSULAR SANTO DOMINGO,Dec 2016,7,DOM
OFICINA CONSULAR SANTO DOMINGO,Jan 2017,10,DOM
OFICINA CONSULAR SANTO DOMINGO,Feb 2017,14,DOM
OFICINA CONSULAR SANTO DOMINGO,Mar 2017,23,DOM
OFICINA CONSULAR SANTO DOMINGO,Apr 2017,9,DOM
OFICINA CONSULAR SANTO DOMINGO,May 2017,20,DOM
OFICINA CONSULAR SANTO DOMINGO,Jun 2017,10,DOM
OFICINA CONSULAR SANTO DOMINGO,Jul 2017,18,DOM
OFICINA CONSULAR SANTO DOMINGO,Aug 2017,21,DOM
OFICINA CONSULAR SANTO DOMINGO,Sep 2017,10,DOM
OFICINA CONSULAR SANTO DOMINGO,Oct 2017,26,DOM
OFICINA CONSULAR SANTO DOMINGO,Nov 2017,13,DOM
OFICINA CONSULAR SANTO DOMINGO,Dec 2017,13,DOM
