symbol,date,price,pais
COORDINACION  ZONAL 7 - MACHALA,Nov 2011,412,ECU
COORDINACION  ZONAL 7 - MACHALA,Dec 2011,667,ECU
COORDINACION  ZONAL 7 - MACHALA,Jan 2012,1289,ECU
COORDINACION  ZONAL 7 - MACHALA,Feb 2012,1202,ECU
COORDINACION  ZONAL 7 - MACHALA,Mar 2012,1383,ECU
COORDINACION  ZONAL 7 - MACHALA,Apr 2012,1020,ECU
COORDINACION  ZONAL 7 - MACHALA,May 2012,936,ECU
COORDINACION  ZONAL 7 - MACHALA,Jun 2012,903,ECU
COORDINACION  ZONAL 7 - MACHALA,Jul 2012,1031,ECU
COORDINACION  ZONAL 7 - MACHALA,Aug 2012,928,ECU
COORDINACION  ZONAL 7 - MACHALA,Sep 2012,849,ECU
COORDINACION  ZONAL 7 - MACHALA,Oct 2012,966,ECU
COORDINACION  ZONAL 7 - MACHALA,Nov 2012,922,ECU
COORDINACION  ZONAL 7 - MACHALA,Dec 2012,841,ECU
COORDINACION  ZONAL 7 - MACHALA,Jan 2013,1097,ECU
COORDINACION  ZONAL 7 - MACHALA,Feb 2013,1153,ECU
COORDINACION  ZONAL 7 - MACHALA,Mar 2013,1327,ECU
COORDINACION  ZONAL 7 - MACHALA,Apr 2013,1438,ECU
COORDINACION  ZONAL 7 - MACHALA,May 2013,1249,ECU
COORDINACION  ZONAL 7 - MACHALA,Jun 2013,1199,ECU
COORDINACION  ZONAL 7 - MACHALA,Jul 2013,1273,ECU
COORDINACION  ZONAL 7 - MACHALA,Aug 2013,1192,ECU
COORDINACION  ZONAL 7 - MACHALA,Sep 2013,1369,ECU
COORDINACION  ZONAL 7 - MACHALA,Oct 2013,1486,ECU
COORDINACION  ZONAL 7 - MACHALA,Nov 2013,1183,ECU
COORDINACION  ZONAL 7 - MACHALA,Dec 2013,1129,ECU
COORDINACION  ZONAL 7 - MACHALA,Jan 2014,1382,ECU
COORDINACION  ZONAL 7 - MACHALA,Feb 2014,1305,ECU
COORDINACION  ZONAL 7 - MACHALA,Mar 2014,1643,ECU
COORDINACION  ZONAL 7 - MACHALA,Apr 2014,1286,ECU
COORDINACION  ZONAL 7 - MACHALA,May 2014,1464,ECU
COORDINACION  ZONAL 7 - MACHALA,Jun 2014,1521,ECU
COORDINACION  ZONAL 7 - MACHALA,Jul 2014,1553,ECU
COORDINACION  ZONAL 7 - MACHALA,Aug 2014,1605,ECU
COORDINACION  ZONAL 7 - MACHALA,Sep 2014,1693,ECU
COORDINACION  ZONAL 7 - MACHALA,Oct 2014,1662,ECU
COORDINACION  ZONAL 7 - MACHALA,Nov 2014,1300,ECU
COORDINACION  ZONAL 7 - MACHALA,Dec 2014,1448,ECU
COORDINACION  ZONAL 7 - MACHALA,Jan 2015,1585,ECU
COORDINACION  ZONAL 7 - MACHALA,Feb 2015,1589,ECU
COORDINACION  ZONAL 7 - MACHALA,Mar 2015,1968,ECU
COORDINACION  ZONAL 7 - MACHALA,Apr 2015,1711,ECU
COORDINACION  ZONAL 7 - MACHALA,May 2015,1647,ECU
COORDINACION  ZONAL 7 - MACHALA,Jun 2015,1606,ECU
COORDINACION  ZONAL 7 - MACHALA,Jul 2015,1807,ECU
COORDINACION  ZONAL 7 - MACHALA,Aug 2015,1663,ECU
COORDINACION  ZONAL 7 - MACHALA,Sep 2015,1832,ECU
COORDINACION  ZONAL 7 - MACHALA,Oct 2015,1815,ECU
COORDINACION  ZONAL 7 - MACHALA,Nov 2015,1329,ECU
COORDINACION  ZONAL 7 - MACHALA,Dec 2015,1469,ECU
COORDINACION  ZONAL 7 - MACHALA,Jan 2016,1241,ECU
COORDINACION  ZONAL 7 - MACHALA,Feb 2016,1495,ECU
COORDINACION  ZONAL 7 - MACHALA,Mar 2016,1726,ECU
COORDINACION  ZONAL 7 - MACHALA,Apr 2016,1767,ECU
COORDINACION  ZONAL 7 - MACHALA,May 2016,1533,ECU
COORDINACION  ZONAL 7 - MACHALA,Jun 2016,1607,ECU
COORDINACION  ZONAL 7 - MACHALA,Jul 2016,1540,ECU
COORDINACION  ZONAL 7 - MACHALA,Aug 2016,1740,ECU
COORDINACION  ZONAL 7 - MACHALA,Sep 2016,2025,ECU
COORDINACION  ZONAL 7 - MACHALA,Oct 2016,1616,ECU
COORDINACION  ZONAL 7 - MACHALA,Nov 2016,1536,ECU
COORDINACION  ZONAL 7 - MACHALA,Dec 2016,1376,ECU
COORDINACION  ZONAL 7 - MACHALA,Jan 2017,1719,ECU
COORDINACION  ZONAL 7 - MACHALA,Feb 2017,1660,ECU
COORDINACION  ZONAL 7 - MACHALA,Mar 2017,1996,ECU
COORDINACION  ZONAL 7 - MACHALA,Apr 2017,1623,ECU
COORDINACION  ZONAL 7 - MACHALA,May 2017,1969,ECU
COORDINACION  ZONAL 7 - MACHALA,Jun 2017,1881,ECU
COORDINACION  ZONAL 7 - MACHALA,Jul 2017,1730,ECU
COORDINACION  ZONAL 7 - MACHALA,Aug 2017,2238,ECU
COORDINACION  ZONAL 7 - MACHALA,Sep 2017,2101,ECU
COORDINACION  ZONAL 7 - MACHALA,Oct 2017,2024,ECU
COORDINACION  ZONAL 7 - MACHALA,Nov 2017,1820,ECU
COORDINACION  ZONAL 7 - MACHALA,Dec 2017,1643,ECU
COORDINACION ZONAL 1 - OFICINA ESMERALDAS,Mar 2016,94,ECU
COORDINACION ZONAL 1 - OFICINA ESMERALDAS,Apr 2016,166,ECU
COORDINACION ZONAL 1 - OFICINA ESMERALDAS,May 2016,230,ECU
COORDINACION ZONAL 1 - OFICINA ESMERALDAS,Jun 2016,235,ECU
COORDINACION ZONAL 1 - OFICINA ESMERALDAS,Jul 2016,232,ECU
COORDINACION ZONAL 1 - OFICINA ESMERALDAS,Aug 2016,137,ECU
COORDINACION ZONAL 1 - OFICINA ESMERALDAS,Sep 2016,306,ECU
COORDINACION ZONAL 1 - OFICINA ESMERALDAS,Oct 2016,240,ECU
COORDINACION ZONAL 1 - OFICINA ESMERALDAS,Nov 2016,221,ECU
COORDINACION ZONAL 1 - OFICINA ESMERALDAS,Dec 2016,209,ECU
COORDINACION ZONAL 1 - OFICINA ESMERALDAS,Jan 2017,231,ECU
COORDINACION ZONAL 1 - OFICINA ESMERALDAS,Feb 2017,250,ECU
COORDINACION ZONAL 1 - OFICINA ESMERALDAS,Mar 2017,333,ECU
COORDINACION ZONAL 1 - OFICINA ESMERALDAS,Apr 2017,273,ECU
COORDINACION ZONAL 1 - OFICINA ESMERALDAS,May 2017,367,ECU
COORDINACION ZONAL 1 - OFICINA ESMERALDAS,Jun 2017,538,ECU
COORDINACION ZONAL 1 - OFICINA ESMERALDAS,Jul 2017,381,ECU
COORDINACION ZONAL 1 - OFICINA ESMERALDAS,Aug 2017,433,ECU
COORDINACION ZONAL 1 - OFICINA ESMERALDAS,Sep 2017,365,ECU
COORDINACION ZONAL 1 - OFICINA ESMERALDAS,Oct 2017,420,ECU
COORDINACION ZONAL 1 - OFICINA ESMERALDAS,Nov 2017,514,ECU
COORDINACION ZONAL 1 - OFICINA ESMERALDAS,Dec 2017,558,ECU
COORDINACION ZONAL 1 - OFICINA IBARRA,Jul 2015,173,ECU
COORDINACION ZONAL 1 - OFICINA IBARRA,Aug 2015,260,ECU
COORDINACION ZONAL 1 - OFICINA IBARRA,Sep 2015,349,ECU
COORDINACION ZONAL 1 - OFICINA IBARRA,Oct 2015,324,ECU
COORDINACION ZONAL 1 - OFICINA IBARRA,Nov 2015,354,ECU
COORDINACION ZONAL 1 - OFICINA IBARRA,Dec 2015,241,ECU
COORDINACION ZONAL 1 - OFICINA IBARRA,Jan 2016,247,ECU
COORDINACION ZONAL 1 - OFICINA IBARRA,Feb 2016,294,ECU
COORDINACION ZONAL 1 - OFICINA IBARRA,Mar 2016,353,ECU
COORDINACION ZONAL 1 - OFICINA IBARRA,Apr 2016,291,ECU
COORDINACION ZONAL 1 - OFICINA IBARRA,May 2016,239,ECU
COORDINACION ZONAL 1 - OFICINA IBARRA,Jun 2016,369,ECU
COORDINACION ZONAL 1 - OFICINA IBARRA,Jul 2016,350,ECU
COORDINACION ZONAL 1 - OFICINA IBARRA,Aug 2016,358,ECU
COORDINACION ZONAL 1 - OFICINA IBARRA,Sep 2016,446,ECU
COORDINACION ZONAL 1 - OFICINA IBARRA,Oct 2016,380,ECU
COORDINACION ZONAL 1 - OFICINA IBARRA,Nov 2016,421,ECU
COORDINACION ZONAL 1 - OFICINA IBARRA,Dec 2016,343,ECU
COORDINACION ZONAL 1 - OFICINA IBARRA,Jan 2017,388,ECU
COORDINACION ZONAL 1 - OFICINA IBARRA,Feb 2017,382,ECU
COORDINACION ZONAL 1 - OFICINA IBARRA,Mar 2017,519,ECU
COORDINACION ZONAL 1 - OFICINA IBARRA,Apr 2017,398,ECU
COORDINACION ZONAL 1 - OFICINA IBARRA,May 2017,414,ECU
COORDINACION ZONAL 1 - OFICINA IBARRA,Jun 2017,477,ECU
COORDINACION ZONAL 1 - OFICINA IBARRA,Jul 2017,508,ECU
COORDINACION ZONAL 1 - OFICINA IBARRA,Aug 2017,648,ECU
COORDINACION ZONAL 1 - OFICINA IBARRA,Sep 2017,444,ECU
COORDINACION ZONAL 1 - OFICINA IBARRA,Oct 2017,536,ECU
COORDINACION ZONAL 1 - OFICINA IBARRA,Nov 2017,534,ECU
COORDINACION ZONAL 1 - OFICINA IBARRA,Dec 2017,639,ECU
COORDINACION ZONAL 1 - OFICINA LAGO AGRIO,Mar 2016,92,ECU
COORDINACION ZONAL 1 - OFICINA LAGO AGRIO,Apr 2016,152,ECU
COORDINACION ZONAL 1 - OFICINA LAGO AGRIO,May 2016,208,ECU
COORDINACION ZONAL 1 - OFICINA LAGO AGRIO,Jun 2016,273,ECU
COORDINACION ZONAL 1 - OFICINA LAGO AGRIO,Jul 2016,188,ECU
COORDINACION ZONAL 1 - OFICINA LAGO AGRIO,Aug 2016,286,ECU
COORDINACION ZONAL 1 - OFICINA LAGO AGRIO,Sep 2016,55,ECU
COORDINACION ZONAL 1 - OFICINA LAGO AGRIO,Oct 2016,138,ECU
COORDINACION ZONAL 1 - OFICINA LAGO AGRIO,Nov 2016,14,ECU
COORDINACION ZONAL 1 - OFICINA LAGO AGRIO,Dec 2016,8,ECU
COORDINACION ZONAL 1 - OFICINA LAGO AGRIO,Jan 2017,6,ECU
COORDINACION ZONAL 1 - OFICINA LAGO AGRIO,Feb 2017,23,ECU
COORDINACION ZONAL 1 - OFICINA LAGO AGRIO,Mar 2017,2,ECU
COORDINACION ZONAL 1 - OFICINA LAGO AGRIO,Apr 2017,4,ECU
COORDINACION ZONAL 1 - OFICINA LAGO AGRIO,May 2017,22,ECU
COORDINACION ZONAL 1 - OFICINA LAGO AGRIO,Jun 2017,129,ECU
COORDINACION ZONAL 1 - OFICINA LAGO AGRIO,Jul 2017,8,ECU
COORDINACION ZONAL 1 - OFICINA LAGO AGRIO,Aug 2017,15,ECU
COORDINACION ZONAL 1 - OFICINA LAGO AGRIO,Sep 2017,2,ECU
COORDINACION ZONAL 1 - OFICINA LAGO AGRIO,Oct 2017,39,ECU
COORDINACION ZONAL 1 - OFICINA LAGO AGRIO,Nov 2017,179,ECU
COORDINACION ZONAL 1 - OFICINA LAGO AGRIO,Dec 2017,377,ECU
COORDINACION ZONAL 1 - TULCAN,Jul 2011,24,ECU
COORDINACION ZONAL 1 - TULCAN,Aug 2011,52,ECU
COORDINACION ZONAL 1 - TULCAN,Sep 2011,20,ECU
COORDINACION ZONAL 1 - TULCAN,Oct 2011,17,ECU
COORDINACION ZONAL 1 - TULCAN,Nov 2011,33,ECU
COORDINACION ZONAL 1 - TULCAN,Dec 2011,20,ECU
COORDINACION ZONAL 1 - TULCAN,Jan 2012,33,ECU
COORDINACION ZONAL 1 - TULCAN,Feb 2012,11,ECU
COORDINACION ZONAL 1 - TULCAN,Mar 2012,46,ECU
COORDINACION ZONAL 1 - TULCAN,Apr 2012,16,ECU
COORDINACION ZONAL 1 - TULCAN,May 2012,34,ECU
COORDINACION ZONAL 1 - TULCAN,Jun 2012,23,ECU
COORDINACION ZONAL 1 - TULCAN,Jul 2012,43,ECU
COORDINACION ZONAL 1 - TULCAN,Aug 2012,57,ECU
COORDINACION ZONAL 1 - TULCAN,Sep 2012,41,ECU
COORDINACION ZONAL 1 - TULCAN,Oct 2012,29,ECU
COORDINACION ZONAL 1 - TULCAN,Nov 2012,31,ECU
COORDINACION ZONAL 1 - TULCAN,Dec 2012,39,ECU
COORDINACION ZONAL 1 - TULCAN,Jan 2013,55,ECU
COORDINACION ZONAL 1 - TULCAN,Feb 2013,41,ECU
COORDINACION ZONAL 1 - TULCAN,Mar 2013,45,ECU
COORDINACION ZONAL 1 - TULCAN,Apr 2013,67,ECU
COORDINACION ZONAL 1 - TULCAN,May 2013,54,ECU
COORDINACION ZONAL 1 - TULCAN,Jun 2013,91,ECU
COORDINACION ZONAL 1 - TULCAN,Jul 2013,64,ECU
COORDINACION ZONAL 1 - TULCAN,Aug 2013,80,ECU
COORDINACION ZONAL 1 - TULCAN,Sep 2013,91,ECU
COORDINACION ZONAL 1 - TULCAN,Oct 2013,75,ECU
COORDINACION ZONAL 1 - TULCAN,Nov 2013,112,ECU
COORDINACION ZONAL 1 - TULCAN,Dec 2013,109,ECU
COORDINACION ZONAL 1 - TULCAN,Jan 2014,161,ECU
COORDINACION ZONAL 1 - TULCAN,Feb 2014,138,ECU
COORDINACION ZONAL 1 - TULCAN,Mar 2014,89,ECU
COORDINACION ZONAL 1 - TULCAN,Apr 2014,103,ECU
COORDINACION ZONAL 1 - TULCAN,May 2014,85,ECU
COORDINACION ZONAL 1 - TULCAN,Jun 2014,102,ECU
COORDINACION ZONAL 1 - TULCAN,Jul 2014,112,ECU
COORDINACION ZONAL 1 - TULCAN,Aug 2014,221,ECU
COORDINACION ZONAL 1 - TULCAN,Sep 2014,355,ECU
COORDINACION ZONAL 1 - TULCAN,Oct 2014,480,ECU
COORDINACION ZONAL 1 - TULCAN,Nov 2014,658,ECU
COORDINACION ZONAL 1 - TULCAN,Dec 2014,585,ECU
COORDINACION ZONAL 1 - TULCAN,Jan 2015,475,ECU
COORDINACION ZONAL 1 - TULCAN,Feb 2015,488,ECU
COORDINACION ZONAL 1 - TULCAN,Mar 2015,790,ECU
COORDINACION ZONAL 1 - TULCAN,Apr 2015,888,ECU
COORDINACION ZONAL 1 - TULCAN,May 2015,976,ECU
COORDINACION ZONAL 1 - TULCAN,Jun 2015,1055,ECU
COORDINACION ZONAL 1 - TULCAN,Jul 2015,990,ECU
COORDINACION ZONAL 1 - TULCAN,Aug 2015,726,ECU
COORDINACION ZONAL 1 - TULCAN,Sep 2015,1102,ECU
COORDINACION ZONAL 1 - TULCAN,Oct 2015,760,ECU
COORDINACION ZONAL 1 - TULCAN,Nov 2015,733,ECU
COORDINACION ZONAL 1 - TULCAN,Dec 2015,510,ECU
COORDINACION ZONAL 1 - TULCAN,Jan 2016,526,ECU
COORDINACION ZONAL 1 - TULCAN,Feb 2016,644,ECU
COORDINACION ZONAL 1 - TULCAN,Mar 2016,495,ECU
COORDINACION ZONAL 1 - TULCAN,Apr 2016,377,ECU
COORDINACION ZONAL 1 - TULCAN,May 2016,352,ECU
COORDINACION ZONAL 1 - TULCAN,Jun 2016,404,ECU
COORDINACION ZONAL 1 - TULCAN,Jul 2016,325,ECU
COORDINACION ZONAL 1 - TULCAN,Aug 2016,358,ECU
COORDINACION ZONAL 1 - TULCAN,Sep 2016,571,ECU
COORDINACION ZONAL 1 - TULCAN,Oct 2016,461,ECU
COORDINACION ZONAL 1 - TULCAN,Nov 2016,687,ECU
COORDINACION ZONAL 1 - TULCAN,Dec 2016,463,ECU
COORDINACION ZONAL 1 - TULCAN,Jan 2017,516,ECU
COORDINACION ZONAL 1 - TULCAN,Feb 2017,611,ECU
COORDINACION ZONAL 1 - TULCAN,Mar 2017,578,ECU
COORDINACION ZONAL 1 - TULCAN,Apr 2017,419,ECU
COORDINACION ZONAL 1 - TULCAN,May 2017,475,ECU
COORDINACION ZONAL 1 - TULCAN,Jun 2017,535,ECU
COORDINACION ZONAL 1 - TULCAN,Jul 2017,503,ECU
COORDINACION ZONAL 1 - TULCAN,Aug 2017,628,ECU
COORDINACION ZONAL 1 - TULCAN,Sep 2017,519,ECU
