symbol,date,price,pais
OFICINA CONSULAR EL CAIRO,Mar 2013,24,EGY
OFICINA CONSULAR EL CAIRO,Apr 2013,21,EGY
OFICINA CONSULAR EL CAIRO,May 2013,11,EGY
OFICINA CONSULAR EL CAIRO,Jun 2013,35,EGY
OFICINA CONSULAR EL CAIRO,Jul 2013,33,EGY
OFICINA CONSULAR EL CAIRO,Aug 2013,28,EGY
OFICINA CONSULAR EL CAIRO,Sep 2013,15,EGY
OFICINA CONSULAR EL CAIRO,Oct 2013,14,EGY
OFICINA CONSULAR EL CAIRO,Nov 2013,38,EGY
OFICINA CONSULAR EL CAIRO,Dec 2013,8,EGY
OFICINA CONSULAR EL CAIRO,Jan 2014,22,EGY
OFICINA CONSULAR EL CAIRO,Feb 2014,15,EGY
OFICINA CONSULAR EL CAIRO,Mar 2014,21,EGY
OFICINA CONSULAR EL CAIRO,Apr 2014,24,EGY
OFICINA CONSULAR EL CAIRO,May 2014,14,EGY
OFICINA CONSULAR EL CAIRO,Jun 2014,11,EGY
OFICINA CONSULAR EL CAIRO,Jul 2014,7,EGY
OFICINA CONSULAR EL CAIRO,Aug 2014,15,EGY
OFICINA CONSULAR EL CAIRO,Sep 2014,22,EGY
OFICINA CONSULAR EL CAIRO,Oct 2014,46,EGY
OFICINA CONSULAR EL CAIRO,Nov 2014,19,EGY
OFICINA CONSULAR EL CAIRO,Dec 2014,164,EGY
OFICINA CONSULAR EL CAIRO,Jan 2015,40,EGY
OFICINA CONSULAR EL CAIRO,Feb 2015,20,EGY
OFICINA CONSULAR EL CAIRO,Mar 2015,11,EGY
OFICINA CONSULAR EL CAIRO,Apr 2015,28,EGY
OFICINA CONSULAR EL CAIRO,May 2015,23,EGY
OFICINA CONSULAR EL CAIRO,Jun 2015,53,EGY
OFICINA CONSULAR EL CAIRO,Jul 2015,16,EGY
OFICINA CONSULAR EL CAIRO,Aug 2015,32,EGY
OFICINA CONSULAR EL CAIRO,Sep 2015,12,EGY
OFICINA CONSULAR EL CAIRO,Oct 2015,31,EGY
OFICINA CONSULAR EL CAIRO,Nov 2015,62,EGY
OFICINA CONSULAR EL CAIRO,Dec 2015,41,EGY
OFICINA CONSULAR EL CAIRO,Jan 2016,22,EGY
OFICINA CONSULAR EL CAIRO,Feb 2016,37,EGY
OFICINA CONSULAR EL CAIRO,Mar 2016,31,EGY
OFICINA CONSULAR EL CAIRO,Apr 2016,42,EGY
OFICINA CONSULAR EL CAIRO,May 2016,115,EGY
OFICINA CONSULAR EL CAIRO,Jun 2016,15,EGY
OFICINA CONSULAR EL CAIRO,Jul 2016,33,EGY
OFICINA CONSULAR EL CAIRO,Aug 2016,48,EGY
OFICINA CONSULAR EL CAIRO,Sep 2016,76,EGY
OFICINA CONSULAR EL CAIRO,Oct 2016,74,EGY
OFICINA CONSULAR EL CAIRO,Nov 2016,47,EGY
OFICINA CONSULAR EL CAIRO,Dec 2016,37,EGY
OFICINA CONSULAR EL CAIRO,Jan 2017,41,EGY
OFICINA CONSULAR EL CAIRO,Feb 2017,64,EGY
OFICINA CONSULAR EL CAIRO,Mar 2017,104,EGY
OFICINA CONSULAR EL CAIRO,Apr 2017,84,EGY
OFICINA CONSULAR EL CAIRO,May 2017,116,EGY
OFICINA CONSULAR EL CAIRO,Jun 2017,61,EGY
OFICINA CONSULAR EL CAIRO,Jul 2017,81,EGY
OFICINA CONSULAR EL CAIRO,Aug 2017,90,EGY
OFICINA CONSULAR EL CAIRO,Sep 2017,54,EGY
OFICINA CONSULAR EL CAIRO,Oct 2017,193,EGY
OFICINA CONSULAR EL CAIRO,Nov 2017,61,EGY
OFICINA CONSULAR EL CAIRO,Dec 2017,92,EGY
