symbol,date,price,pais
CONSULADO GENERAL BARCELONA,Oct 2012,150,ESP
CONSULADO GENERAL BARCELONA,Nov 2012,337,ESP
CONSULADO GENERAL BARCELONA,Dec 2012,236,ESP
CONSULADO GENERAL BARCELONA,Jan 2013,401,ESP
CONSULADO GENERAL BARCELONA,Feb 2013,343,ESP
CONSULADO GENERAL BARCELONA,Mar 2013,349,ESP
CONSULADO GENERAL BARCELONA,Apr 2013,353,ESP
CONSULADO GENERAL BARCELONA,May 2013,348,ESP
CONSULADO GENERAL BARCELONA,Jun 2013,380,ESP
CONSULADO GENERAL BARCELONA,Jul 2013,357,ESP
CONSULADO GENERAL BARCELONA,Aug 2013,336,ESP
CONSULADO GENERAL BARCELONA,Sep 2013,344,ESP
CONSULADO GENERAL BARCELONA,Oct 2013,409,ESP
CONSULADO GENERAL BARCELONA,Nov 2013,403,ESP
CONSULADO GENERAL BARCELONA,Dec 2013,258,ESP
CONSULADO GENERAL BARCELONA,Jan 2014,343,ESP
CONSULADO GENERAL BARCELONA,Feb 2014,346,ESP
CONSULADO GENERAL BARCELONA,Mar 2014,343,ESP
CONSULADO GENERAL BARCELONA,Apr 2014,322,ESP
CONSULADO GENERAL BARCELONA,May 2014,381,ESP
CONSULADO GENERAL BARCELONA,Jun 2014,407,ESP
CONSULADO GENERAL BARCELONA,Jul 2014,460,ESP
CONSULADO GENERAL BARCELONA,Aug 2014,331,ESP
CONSULADO GENERAL BARCELONA,Sep 2014,303,ESP
CONSULADO GENERAL BARCELONA,Oct 2014,348,ESP
CONSULADO GENERAL BARCELONA,Nov 2014,304,ESP
CONSULADO GENERAL BARCELONA,Dec 2014,287,ESP
CONSULADO GENERAL BARCELONA,Jan 2015,331,ESP
CONSULADO GENERAL BARCELONA,Feb 2015,355,ESP
CONSULADO GENERAL BARCELONA,Mar 2015,407,ESP
CONSULADO GENERAL BARCELONA,Apr 2015,379,ESP
CONSULADO GENERAL BARCELONA,May 2015,335,ESP
CONSULADO GENERAL BARCELONA,Jun 2015,423,ESP
CONSULADO GENERAL BARCELONA,Jul 2015,383,ESP
CONSULADO GENERAL BARCELONA,Aug 2015,341,ESP
CONSULADO GENERAL BARCELONA,Sep 2015,354,ESP
CONSULADO GENERAL BARCELONA,Oct 2015,374,ESP
CONSULADO GENERAL BARCELONA,Nov 2015,377,ESP
CONSULADO GENERAL BARCELONA,Dec 2015,318,ESP
CONSULADO GENERAL BARCELONA,Jan 2016,420,ESP
CONSULADO GENERAL BARCELONA,Feb 2016,510,ESP
CONSULADO GENERAL BARCELONA,Mar 2016,547,ESP
CONSULADO GENERAL BARCELONA,Apr 2016,478,ESP
CONSULADO GENERAL BARCELONA,May 2016,437,ESP
CONSULADO GENERAL BARCELONA,Jun 2016,564,ESP
CONSULADO GENERAL BARCELONA,Jul 2016,508,ESP
CONSULADO GENERAL BARCELONA,Aug 2016,592,ESP
CONSULADO GENERAL BARCELONA,Sep 2016,507,ESP
CONSULADO GENERAL BARCELONA,Oct 2016,462,ESP
CONSULADO GENERAL BARCELONA,Nov 2016,471,ESP
CONSULADO GENERAL BARCELONA,Dec 2016,432,ESP
CONSULADO GENERAL BARCELONA,Jan 2017,484,ESP
CONSULADO GENERAL BARCELONA,Feb 2017,516,ESP
CONSULADO GENERAL BARCELONA,Mar 2017,534,ESP
CONSULADO GENERAL BARCELONA,Apr 2017,426,ESP
CONSULADO GENERAL BARCELONA,May 2017,482,ESP
CONSULADO GENERAL BARCELONA,Jun 2017,524,ESP
CONSULADO GENERAL BARCELONA,Jul 2017,487,ESP
CONSULADO GENERAL BARCELONA,Aug 2017,526,ESP
CONSULADO GENERAL BARCELONA,Sep 2017,446,ESP
CONSULADO GENERAL BARCELONA,Oct 2017,404,ESP
CONSULADO GENERAL BARCELONA,Nov 2017,411,ESP
CONSULADO GENERAL BARCELONA,Dec 2017,336,ESP
CONSULADO GENERAL MADRID,Feb 2012,398,ESP
CONSULADO GENERAL MADRID,Mar 2012,1587,ESP
CONSULADO GENERAL MADRID,Apr 2012,1630,ESP
CONSULADO GENERAL MADRID,May 2012,1388,ESP
CONSULADO GENERAL MADRID,Jun 2012,1474,ESP
CONSULADO GENERAL MADRID,Jul 2012,1502,ESP
CONSULADO GENERAL MADRID,Aug 2012,1613,ESP
CONSULADO GENERAL MADRID,Sep 2012,1493,ESP
CONSULADO GENERAL MADRID,Oct 2012,1647,ESP
CONSULADO GENERAL MADRID,Nov 2012,1283,ESP
CONSULADO GENERAL MADRID,Dec 2012,984,ESP
CONSULADO GENERAL MADRID,Jan 2013,1292,ESP
CONSULADO GENERAL MADRID,Feb 2013,1194,ESP
CONSULADO GENERAL MADRID,Mar 2013,1137,ESP
CONSULADO GENERAL MADRID,Apr 2013,1217,ESP
CONSULADO GENERAL MADRID,May 2013,1276,ESP
CONSULADO GENERAL MADRID,Jun 2013,1230,ESP
CONSULADO GENERAL MADRID,Jul 2013,1298,ESP
CONSULADO GENERAL MADRID,Aug 2013,1213,ESP
CONSULADO GENERAL MADRID,Sep 2013,1114,ESP
CONSULADO GENERAL MADRID,Oct 2013,1149,ESP
CONSULADO GENERAL MADRID,Nov 2013,1080,ESP
CONSULADO GENERAL MADRID,Dec 2013,847,ESP
CONSULADO GENERAL MADRID,Jan 2014,1129,ESP
CONSULADO GENERAL MADRID,Feb 2014,1008,ESP
CONSULADO GENERAL MADRID,Mar 2014,1040,ESP
CONSULADO GENERAL MADRID,Apr 2014,1055,ESP
CONSULADO GENERAL MADRID,May 2014,972,ESP
CONSULADO GENERAL MADRID,Jun 2014,974,ESP
CONSULADO GENERAL MADRID,Jul 2014,1123,ESP
CONSULADO GENERAL MADRID,Aug 2014,957,ESP
CONSULADO GENERAL MADRID,Sep 2014,1040,ESP
CONSULADO GENERAL MADRID,Oct 2014,1057,ESP
CONSULADO GENERAL MADRID,Nov 2014,802,ESP
CONSULADO GENERAL MADRID,Dec 2014,767,ESP
CONSULADO GENERAL MADRID,Jan 2015,899,ESP
CONSULADO GENERAL MADRID,Feb 2015,956,ESP
CONSULADO GENERAL MADRID,Mar 2015,1034,ESP
CONSULADO GENERAL MADRID,Apr 2015,916,ESP
CONSULADO GENERAL MADRID,May 2015,936,ESP
CONSULADO GENERAL MADRID,Jun 2015,1013,ESP
CONSULADO GENERAL MADRID,Jul 2015,949,ESP
CONSULADO GENERAL MADRID,Aug 2015,892,ESP
CONSULADO GENERAL MADRID,Sep 2015,1022,ESP
CONSULADO GENERAL MADRID,Oct 2015,956,ESP
CONSULADO GENERAL MADRID,Nov 2015,770,ESP
CONSULADO GENERAL MADRID,Dec 2015,708,ESP
CONSULADO GENERAL MADRID,Jan 2016,974,ESP
CONSULADO GENERAL MADRID,Feb 2016,1223,ESP
CONSULADO GENERAL MADRID,Mar 2016,1401,ESP
CONSULADO GENERAL MADRID,Apr 2016,1125,ESP
CONSULADO GENERAL MADRID,May 2016,999,ESP
CONSULADO GENERAL MADRID,Jun 2016,1071,ESP
CONSULADO GENERAL MADRID,Jul 2016,958,ESP
CONSULADO GENERAL MADRID,Aug 2016,1041,ESP
CONSULADO GENERAL MADRID,Sep 2016,1079,ESP
CONSULADO GENERAL MADRID,Oct 2016,1030,ESP
CONSULADO GENERAL MADRID,Nov 2016,894,ESP
CONSULADO GENERAL MADRID,Dec 2016,925,ESP
CONSULADO GENERAL MADRID,Jan 2017,971,ESP
CONSULADO GENERAL MADRID,Feb 2017,943,ESP
CONSULADO GENERAL MADRID,Mar 2017,1270,ESP
CONSULADO GENERAL MADRID,Apr 2017,950,ESP
CONSULADO GENERAL MADRID,May 2017,1009,ESP
CONSULADO GENERAL MADRID,Jun 2017,1100,ESP
CONSULADO GENERAL MADRID,Jul 2017,992,ESP
CONSULADO GENERAL MADRID,Aug 2017,1095,ESP
CONSULADO GENERAL MADRID,Sep 2017,970,ESP
CONSULADO GENERAL MADRID,Oct 2017,989,ESP
CONSULADO GENERAL MADRID,Nov 2017,1022,ESP
CONSULADO GENERAL MADRID,Dec 2017,871,ESP
OFICINA CONSULAR ALICANTE,Nov 2012,43,ESP
OFICINA CONSULAR ALICANTE,Dec 2012,61,ESP
OFICINA CONSULAR ALICANTE,Jan 2013,95,ESP
OFICINA CONSULAR ALICANTE,Feb 2013,63,ESP
OFICINA CONSULAR ALICANTE,Mar 2013,84,ESP
OFICINA CONSULAR ALICANTE,Apr 2013,77,ESP
OFICINA CONSULAR ALICANTE,May 2013,71,ESP
OFICINA CONSULAR ALICANTE,Jun 2013,75,ESP
OFICINA CONSULAR ALICANTE,Jul 2013,81,ESP
OFICINA CONSULAR ALICANTE,Aug 2013,78,ESP
OFICINA CONSULAR ALICANTE,Sep 2013,85,ESP
OFICINA CONSULAR ALICANTE,Oct 2013,114,ESP
OFICINA CONSULAR ALICANTE,Nov 2013,100,ESP
OFICINA CONSULAR ALICANTE,Dec 2013,81,ESP
OFICINA CONSULAR ALICANTE,Jan 2014,114,ESP
OFICINA CONSULAR ALICANTE,Feb 2014,110,ESP
OFICINA CONSULAR ALICANTE,Mar 2014,92,ESP
OFICINA CONSULAR ALICANTE,Apr 2014,80,ESP
OFICINA CONSULAR ALICANTE,May 2014,85,ESP
OFICINA CONSULAR ALICANTE,Jun 2014,96,ESP
OFICINA CONSULAR ALICANTE,Jul 2014,82,ESP
OFICINA CONSULAR ALICANTE,Aug 2014,98,ESP
OFICINA CONSULAR ALICANTE,Sep 2014,79,ESP
OFICINA CONSULAR ALICANTE,Oct 2014,84,ESP
OFICINA CONSULAR ALICANTE,Nov 2014,100,ESP
OFICINA CONSULAR ALICANTE,Dec 2014,79,ESP
OFICINA CONSULAR ALICANTE,Jan 2015,106,ESP
OFICINA CONSULAR ALICANTE,Feb 2015,86,ESP
OFICINA CONSULAR ALICANTE,Mar 2015,101,ESP
OFICINA CONSULAR ALICANTE,Apr 2015,79,ESP
OFICINA CONSULAR ALICANTE,May 2015,102,ESP
OFICINA CONSULAR ALICANTE,Jun 2015,96,ESP
OFICINA CONSULAR ALICANTE,Jul 2015,94,ESP
OFICINA CONSULAR ALICANTE,Aug 2015,87,ESP
OFICINA CONSULAR ALICANTE,Sep 2015,78,ESP
OFICINA CONSULAR ALICANTE,Oct 2015,84,ESP
OFICINA CONSULAR ALICANTE,Nov 2015,85,ESP
OFICINA CONSULAR ALICANTE,Dec 2015,77,ESP
OFICINA CONSULAR ALICANTE,Jan 2016,142,ESP
OFICINA CONSULAR ALICANTE,Feb 2016,145,ESP
OFICINA CONSULAR ALICANTE,Mar 2016,143,ESP
OFICINA CONSULAR ALICANTE,Apr 2016,127,ESP
OFICINA CONSULAR ALICANTE,May 2016,139,ESP
OFICINA CONSULAR ALICANTE,Jun 2016,152,ESP
OFICINA CONSULAR ALICANTE,Jul 2016,144,ESP
OFICINA CONSULAR ALICANTE,Aug 2016,113,ESP
OFICINA CONSULAR ALICANTE,Sep 2016,115,ESP
OFICINA CONSULAR ALICANTE,Oct 2016,126,ESP
