symbol,date,price,pais
EMBAJADA ETIOPIA  SECCION CONSULAR,Jun 2016,1,ETH
EMBAJADA ETIOPIA  SECCION CONSULAR,Sep 2016,5,ETH
EMBAJADA ETIOPIA  SECCION CONSULAR,Oct 2016,40,ETH
EMBAJADA ETIOPIA  SECCION CONSULAR,Feb 2017,1,ETH
EMBAJADA ETIOPIA  SECCION CONSULAR,Mar 2017,14,ETH
EMBAJADA ETIOPIA  SECCION CONSULAR,Apr 2017,1,ETH
EMBAJADA ETIOPIA  SECCION CONSULAR,May 2017,3,ETH
EMBAJADA ETIOPIA  SECCION CONSULAR,Jul 2017,6,ETH
EMBAJADA ETIOPIA  SECCION CONSULAR,Aug 2017,15,ETH
EMBAJADA ETIOPIA  SECCION CONSULAR,Sep 2017,10,ETH
EMBAJADA ETIOPIA  SECCION CONSULAR,Oct 2017,7,ETH
EMBAJADA ETIOPIA  SECCION CONSULAR,Nov 2017,6,ETH
EMBAJADA ETIOPIA  SECCION CONSULAR,Dec 2017,7,ETH
