symbol,date,price,pais
OFICINA CONSULAR PARIS,Dec 2012,78,FRA
OFICINA CONSULAR PARIS,Jan 2013,134,FRA
OFICINA CONSULAR PARIS,Feb 2013,131,FRA
OFICINA CONSULAR PARIS,Mar 2013,106,FRA
OFICINA CONSULAR PARIS,Apr 2013,115,FRA
OFICINA CONSULAR PARIS,May 2013,97,FRA
OFICINA CONSULAR PARIS,Jun 2013,96,FRA
OFICINA CONSULAR PARIS,Jul 2013,142,FRA
OFICINA CONSULAR PARIS,Aug 2013,118,FRA
OFICINA CONSULAR PARIS,Sep 2013,155,FRA
OFICINA CONSULAR PARIS,Oct 2013,84,FRA
OFICINA CONSULAR PARIS,Nov 2013,83,FRA
OFICINA CONSULAR PARIS,Dec 2013,100,FRA
OFICINA CONSULAR PARIS,Jan 2014,99,FRA
OFICINA CONSULAR PARIS,Feb 2014,131,FRA
OFICINA CONSULAR PARIS,Mar 2014,131,FRA
OFICINA CONSULAR PARIS,Apr 2014,149,FRA
OFICINA CONSULAR PARIS,May 2014,118,FRA
OFICINA CONSULAR PARIS,Jun 2014,126,FRA
OFICINA CONSULAR PARIS,Jul 2014,171,FRA
OFICINA CONSULAR PARIS,Aug 2014,127,FRA
OFICINA CONSULAR PARIS,Sep 2014,181,FRA
OFICINA CONSULAR PARIS,Oct 2014,142,FRA
OFICINA CONSULAR PARIS,Nov 2014,90,FRA
OFICINA CONSULAR PARIS,Dec 2014,147,FRA
OFICINA CONSULAR PARIS,Jan 2015,92,FRA
OFICINA CONSULAR PARIS,Feb 2015,94,FRA
OFICINA CONSULAR PARIS,Mar 2015,116,FRA
OFICINA CONSULAR PARIS,Apr 2015,100,FRA
OFICINA CONSULAR PARIS,May 2015,112,FRA
OFICINA CONSULAR PARIS,Jun 2015,171,FRA
OFICINA CONSULAR PARIS,Jul 2015,201,FRA
OFICINA CONSULAR PARIS,Aug 2015,128,FRA
OFICINA CONSULAR PARIS,Sep 2015,127,FRA
OFICINA CONSULAR PARIS,Oct 2015,122,FRA
OFICINA CONSULAR PARIS,Nov 2015,103,FRA
OFICINA CONSULAR PARIS,Dec 2015,137,FRA
OFICINA CONSULAR PARIS,Jan 2016,135,FRA
OFICINA CONSULAR PARIS,Feb 2016,125,FRA
OFICINA CONSULAR PARIS,Mar 2016,143,FRA
OFICINA CONSULAR PARIS,Apr 2016,130,FRA
OFICINA CONSULAR PARIS,May 2016,120,FRA
OFICINA CONSULAR PARIS,Jun 2016,109,FRA
OFICINA CONSULAR PARIS,Jul 2016,135,FRA
OFICINA CONSULAR PARIS,Aug 2016,132,FRA
OFICINA CONSULAR PARIS,Sep 2016,132,FRA
OFICINA CONSULAR PARIS,Oct 2016,167,FRA
OFICINA CONSULAR PARIS,Nov 2016,64,FRA
OFICINA CONSULAR PARIS,Dec 2016,82,FRA
OFICINA CONSULAR PARIS,Jan 2017,101,FRA
OFICINA CONSULAR PARIS,Feb 2017,101,FRA
OFICINA CONSULAR PARIS,Mar 2017,138,FRA
OFICINA CONSULAR PARIS,Apr 2017,121,FRA
OFICINA CONSULAR PARIS,May 2017,106,FRA
OFICINA CONSULAR PARIS,Jun 2017,127,FRA
OFICINA CONSULAR PARIS,Jul 2017,155,FRA
OFICINA CONSULAR PARIS,Aug 2017,134,FRA
OFICINA CONSULAR PARIS,Sep 2017,105,FRA
OFICINA CONSULAR PARIS,Oct 2017,119,FRA
OFICINA CONSULAR PARIS,Nov 2017,101,FRA
OFICINA CONSULAR PARIS,Dec 2017,74,FRA
