symbol,date,price,pais
OFICINA CONSULAR CIUDAD DE GUATEMALA,Apr 2013,45,GTM
OFICINA CONSULAR CIUDAD DE GUATEMALA,May 2013,49,GTM
OFICINA CONSULAR CIUDAD DE GUATEMALA,Jun 2013,70,GTM
OFICINA CONSULAR CIUDAD DE GUATEMALA,Jul 2013,96,GTM
OFICINA CONSULAR CIUDAD DE GUATEMALA,Aug 2013,52,GTM
OFICINA CONSULAR CIUDAD DE GUATEMALA,Sep 2013,61,GTM
OFICINA CONSULAR CIUDAD DE GUATEMALA,Oct 2013,52,GTM
OFICINA CONSULAR CIUDAD DE GUATEMALA,Nov 2013,34,GTM
OFICINA CONSULAR CIUDAD DE GUATEMALA,Dec 2013,20,GTM
OFICINA CONSULAR CIUDAD DE GUATEMALA,Jan 2014,58,GTM
OFICINA CONSULAR CIUDAD DE GUATEMALA,Feb 2014,53,GTM
OFICINA CONSULAR CIUDAD DE GUATEMALA,Mar 2014,72,GTM
OFICINA CONSULAR CIUDAD DE GUATEMALA,Apr 2014,29,GTM
OFICINA CONSULAR CIUDAD DE GUATEMALA,May 2014,63,GTM
OFICINA CONSULAR CIUDAD DE GUATEMALA,Jun 2014,41,GTM
OFICINA CONSULAR CIUDAD DE GUATEMALA,Jul 2014,75,GTM
OFICINA CONSULAR CIUDAD DE GUATEMALA,Aug 2014,39,GTM
OFICINA CONSULAR CIUDAD DE GUATEMALA,Sep 2014,53,GTM
OFICINA CONSULAR CIUDAD DE GUATEMALA,Oct 2014,37,GTM
OFICINA CONSULAR CIUDAD DE GUATEMALA,Nov 2014,51,GTM
OFICINA CONSULAR CIUDAD DE GUATEMALA,Dec 2014,43,GTM
OFICINA CONSULAR CIUDAD DE GUATEMALA,Jan 2015,51,GTM
OFICINA CONSULAR CIUDAD DE GUATEMALA,Feb 2015,39,GTM
OFICINA CONSULAR CIUDAD DE GUATEMALA,Mar 2015,56,GTM
OFICINA CONSULAR CIUDAD DE GUATEMALA,Apr 2015,36,GTM
OFICINA CONSULAR CIUDAD DE GUATEMALA,May 2015,35,GTM
OFICINA CONSULAR CIUDAD DE GUATEMALA,Jun 2015,54,GTM
OFICINA CONSULAR CIUDAD DE GUATEMALA,Jul 2015,78,GTM
OFICINA CONSULAR CIUDAD DE GUATEMALA,Aug 2015,33,GTM
OFICINA CONSULAR CIUDAD DE GUATEMALA,Sep 2015,51,GTM
OFICINA CONSULAR CIUDAD DE GUATEMALA,Oct 2015,44,GTM
OFICINA CONSULAR CIUDAD DE GUATEMALA,Nov 2015,27,GTM
OFICINA CONSULAR CIUDAD DE GUATEMALA,Dec 2015,45,GTM
OFICINA CONSULAR CIUDAD DE GUATEMALA,Jan 2016,45,GTM
OFICINA CONSULAR CIUDAD DE GUATEMALA,Feb 2016,72,GTM
OFICINA CONSULAR CIUDAD DE GUATEMALA,Mar 2016,36,GTM
OFICINA CONSULAR CIUDAD DE GUATEMALA,Apr 2016,49,GTM
OFICINA CONSULAR CIUDAD DE GUATEMALA,May 2016,44,GTM
OFICINA CONSULAR CIUDAD DE GUATEMALA,Jun 2016,32,GTM
OFICINA CONSULAR CIUDAD DE GUATEMALA,Jul 2016,52,GTM
OFICINA CONSULAR CIUDAD DE GUATEMALA,Aug 2016,50,GTM
OFICINA CONSULAR CIUDAD DE GUATEMALA,Sep 2016,50,GTM
OFICINA CONSULAR CIUDAD DE GUATEMALA,Oct 2016,70,GTM
OFICINA CONSULAR CIUDAD DE GUATEMALA,Nov 2016,43,GTM
OFICINA CONSULAR CIUDAD DE GUATEMALA,Dec 2016,35,GTM
OFICINA CONSULAR CIUDAD DE GUATEMALA,Jan 2017,56,GTM
OFICINA CONSULAR CIUDAD DE GUATEMALA,Feb 2017,61,GTM
OFICINA CONSULAR CIUDAD DE GUATEMALA,Mar 2017,57,GTM
OFICINA CONSULAR CIUDAD DE GUATEMALA,Apr 2017,40,GTM
OFICINA CONSULAR CIUDAD DE GUATEMALA,May 2017,44,GTM
OFICINA CONSULAR CIUDAD DE GUATEMALA,Jun 2017,49,GTM
OFICINA CONSULAR CIUDAD DE GUATEMALA,Jul 2017,73,GTM
OFICINA CONSULAR CIUDAD DE GUATEMALA,Aug 2017,36,GTM
OFICINA CONSULAR CIUDAD DE GUATEMALA,Sep 2017,25,GTM
OFICINA CONSULAR CIUDAD DE GUATEMALA,Oct 2017,19,GTM
OFICINA CONSULAR CIUDAD DE GUATEMALA,Nov 2017,10,GTM
OFICINA CONSULAR CIUDAD DE GUATEMALA,Dec 2017,16,GTM
