symbol,date,price,pais
OFICINA CONSULAR TEGUCIGALPA,Dec 2012,4,HND
OFICINA CONSULAR TEGUCIGALPA,Jan 2013,12,HND
OFICINA CONSULAR TEGUCIGALPA,Feb 2013,12,HND
OFICINA CONSULAR TEGUCIGALPA,Mar 2013,3,HND
OFICINA CONSULAR TEGUCIGALPA,Apr 2013,6,HND
OFICINA CONSULAR TEGUCIGALPA,May 2013,3,HND
OFICINA CONSULAR TEGUCIGALPA,Jun 2013,19,HND
OFICINA CONSULAR TEGUCIGALPA,Jul 2013,23,HND
OFICINA CONSULAR TEGUCIGALPA,Aug 2013,10,HND
OFICINA CONSULAR TEGUCIGALPA,Sep 2013,17,HND
OFICINA CONSULAR TEGUCIGALPA,Oct 2013,22,HND
OFICINA CONSULAR TEGUCIGALPA,Nov 2013,23,HND
OFICINA CONSULAR TEGUCIGALPA,Dec 2013,9,HND
OFICINA CONSULAR TEGUCIGALPA,Jan 2014,8,HND
OFICINA CONSULAR TEGUCIGALPA,Feb 2014,8,HND
OFICINA CONSULAR TEGUCIGALPA,Mar 2014,4,HND
OFICINA CONSULAR TEGUCIGALPA,Apr 2014,7,HND
OFICINA CONSULAR TEGUCIGALPA,May 2014,15,HND
OFICINA CONSULAR TEGUCIGALPA,Jun 2014,9,HND
OFICINA CONSULAR TEGUCIGALPA,Jul 2014,11,HND
OFICINA CONSULAR TEGUCIGALPA,Aug 2014,3,HND
OFICINA CONSULAR TEGUCIGALPA,Sep 2014,15,HND
OFICINA CONSULAR TEGUCIGALPA,Oct 2014,2,HND
OFICINA CONSULAR TEGUCIGALPA,Nov 2014,14,HND
OFICINA CONSULAR TEGUCIGALPA,Dec 2014,5,HND
OFICINA CONSULAR TEGUCIGALPA,Jan 2015,19,HND
OFICINA CONSULAR TEGUCIGALPA,Feb 2015,9,HND
OFICINA CONSULAR TEGUCIGALPA,Mar 2015,28,HND
OFICINA CONSULAR TEGUCIGALPA,Apr 2015,5,HND
OFICINA CONSULAR TEGUCIGALPA,May 2015,7,HND
OFICINA CONSULAR TEGUCIGALPA,Jun 2015,7,HND
OFICINA CONSULAR TEGUCIGALPA,Jul 2015,9,HND
OFICINA CONSULAR TEGUCIGALPA,Aug 2015,4,HND
OFICINA CONSULAR TEGUCIGALPA,Sep 2015,2,HND
OFICINA CONSULAR TEGUCIGALPA,Oct 2015,7,HND
OFICINA CONSULAR TEGUCIGALPA,Nov 2015,11,HND
OFICINA CONSULAR TEGUCIGALPA,Dec 2015,5,HND
OFICINA CONSULAR TEGUCIGALPA,Feb 2016,6,HND
OFICINA CONSULAR TEGUCIGALPA,Mar 2016,15,HND
OFICINA CONSULAR TEGUCIGALPA,Apr 2016,4,HND
OFICINA CONSULAR TEGUCIGALPA,May 2016,2,HND
OFICINA CONSULAR TEGUCIGALPA,Jun 2016,3,HND
OFICINA CONSULAR TEGUCIGALPA,Jul 2016,8,HND
OFICINA CONSULAR TEGUCIGALPA,Aug 2016,6,HND
OFICINA CONSULAR TEGUCIGALPA,Sep 2016,3,HND
OFICINA CONSULAR TEGUCIGALPA,Oct 2016,2,HND
OFICINA CONSULAR TEGUCIGALPA,Nov 2016,3,HND
OFICINA CONSULAR TEGUCIGALPA,Dec 2016,6,HND
OFICINA CONSULAR TEGUCIGALPA,Jan 2017,2,HND
OFICINA CONSULAR TEGUCIGALPA,Feb 2017,5,HND
OFICINA CONSULAR TEGUCIGALPA,Mar 2017,4,HND
OFICINA CONSULAR TEGUCIGALPA,Apr 2017,5,HND
OFICINA CONSULAR TEGUCIGALPA,May 2017,8,HND
OFICINA CONSULAR TEGUCIGALPA,Jun 2017,5,HND
OFICINA CONSULAR TEGUCIGALPA,Jul 2017,1,HND
OFICINA CONSULAR TEGUCIGALPA,Aug 2017,6,HND
OFICINA CONSULAR TEGUCIGALPA,Sep 2017,6,HND
OFICINA CONSULAR TEGUCIGALPA,Oct 2017,6,HND
OFICINA CONSULAR TEGUCIGALPA,Nov 2017,4,HND
OFICINA CONSULAR TEGUCIGALPA,Dec 2017,5,HND
