symbol,date,price,pais
OFICINA CONSULAR BUDAPEST,Nov 2012,1,HUN
OFICINA CONSULAR BUDAPEST,Dec 2012,4,HUN
OFICINA CONSULAR BUDAPEST,Jan 2013,7,HUN
OFICINA CONSULAR BUDAPEST,Feb 2013,3,HUN
OFICINA CONSULAR BUDAPEST,Mar 2013,3,HUN
OFICINA CONSULAR BUDAPEST,Apr 2013,11,HUN
OFICINA CONSULAR BUDAPEST,May 2013,8,HUN
OFICINA CONSULAR BUDAPEST,Jun 2013,4,HUN
OFICINA CONSULAR BUDAPEST,Jul 2013,5,HUN
OFICINA CONSULAR BUDAPEST,Aug 2013,11,HUN
OFICINA CONSULAR BUDAPEST,Sep 2013,9,HUN
OFICINA CONSULAR BUDAPEST,Oct 2013,11,HUN
OFICINA CONSULAR BUDAPEST,Nov 2013,5,HUN
OFICINA CONSULAR BUDAPEST,Dec 2013,9,HUN
OFICINA CONSULAR BUDAPEST,Jan 2014,3,HUN
OFICINA CONSULAR BUDAPEST,Feb 2014,6,HUN
OFICINA CONSULAR BUDAPEST,Mar 2014,9,HUN
OFICINA CONSULAR BUDAPEST,Apr 2014,13,HUN
OFICINA CONSULAR BUDAPEST,May 2014,4,HUN
OFICINA CONSULAR BUDAPEST,Jun 2014,14,HUN
OFICINA CONSULAR BUDAPEST,Jul 2014,8,HUN
OFICINA CONSULAR BUDAPEST,Aug 2014,4,HUN
OFICINA CONSULAR BUDAPEST,Sep 2014,1,HUN
OFICINA CONSULAR BUDAPEST,Oct 2014,4,HUN
OFICINA CONSULAR BUDAPEST,Nov 2014,7,HUN
OFICINA CONSULAR BUDAPEST,Dec 2014,9,HUN
OFICINA CONSULAR BUDAPEST,Jan 2015,17,HUN
OFICINA CONSULAR BUDAPEST,Feb 2015,10,HUN
OFICINA CONSULAR BUDAPEST,Mar 2015,6,HUN
OFICINA CONSULAR BUDAPEST,Apr 2015,5,HUN
OFICINA CONSULAR BUDAPEST,May 2015,17,HUN
OFICINA CONSULAR BUDAPEST,Jun 2015,12,HUN
OFICINA CONSULAR BUDAPEST,Jul 2015,12,HUN
OFICINA CONSULAR BUDAPEST,Aug 2015,11,HUN
OFICINA CONSULAR BUDAPEST,Sep 2015,3,HUN
OFICINA CONSULAR BUDAPEST,Oct 2015,7,HUN
OFICINA CONSULAR BUDAPEST,Nov 2015,7,HUN
OFICINA CONSULAR BUDAPEST,Jan 2016,28,HUN
OFICINA CONSULAR BUDAPEST,Feb 2016,4,HUN
OFICINA CONSULAR BUDAPEST,Mar 2016,10,HUN
OFICINA CONSULAR BUDAPEST,Apr 2016,1,HUN
OFICINA CONSULAR BUDAPEST,May 2016,5,HUN
OFICINA CONSULAR BUDAPEST,Jun 2016,3,HUN
OFICINA CONSULAR BUDAPEST,Jul 2016,5,HUN
OFICINA CONSULAR BUDAPEST,Aug 2016,7,HUN
OFICINA CONSULAR BUDAPEST,Sep 2016,3,HUN
OFICINA CONSULAR BUDAPEST,Oct 2016,6,HUN
OFICINA CONSULAR BUDAPEST,Nov 2016,2,HUN
OFICINA CONSULAR BUDAPEST,Dec 2016,4,HUN
OFICINA CONSULAR BUDAPEST,Jan 2017,8,HUN
OFICINA CONSULAR BUDAPEST,Feb 2017,2,HUN
OFICINA CONSULAR BUDAPEST,Mar 2017,1,HUN
OFICINA CONSULAR BUDAPEST,Apr 2017,1,HUN
OFICINA CONSULAR BUDAPEST,May 2017,2,HUN
OFICINA CONSULAR BUDAPEST,Jun 2017,7,HUN
OFICINA CONSULAR BUDAPEST,Aug 2017,11,HUN
OFICINA CONSULAR BUDAPEST,Sep 2017,10,HUN
OFICINA CONSULAR BUDAPEST,Oct 2017,1,HUN
OFICINA CONSULAR BUDAPEST,Nov 2017,10,HUN
OFICINA CONSULAR BUDAPEST,Dec 2017,4,HUN
