symbol,date,price,pais
OFICINA CONSULAR YAKARTA,Dec 2010,28,IDN
OFICINA CONSULAR YAKARTA,Jan 2011,54,IDN
OFICINA CONSULAR YAKARTA,Feb 2011,81,IDN
OFICINA CONSULAR YAKARTA,Mar 2011,52,IDN
OFICINA CONSULAR YAKARTA,Apr 2011,22,IDN
OFICINA CONSULAR YAKARTA,May 2011,26,IDN
OFICINA CONSULAR YAKARTA,Jun 2011,12,IDN
OFICINA CONSULAR YAKARTA,Jul 2011,10,IDN
OFICINA CONSULAR YAKARTA,Aug 2011,48,IDN
OFICINA CONSULAR YAKARTA,Sep 2011,2,IDN
OFICINA CONSULAR YAKARTA,Jan 2012,2,IDN
OFICINA CONSULAR YAKARTA,Jun 2012,1,IDN
OFICINA CONSULAR YAKARTA,Jul 2012,4,IDN
OFICINA CONSULAR YAKARTA,Dec 2012,8,IDN
OFICINA CONSULAR YAKARTA,Jan 2013,1,IDN
OFICINA CONSULAR YAKARTA,Apr 2013,6,IDN
OFICINA CONSULAR YAKARTA,May 2013,1,IDN
OFICINA CONSULAR YAKARTA,Jun 2013,3,IDN
OFICINA CONSULAR YAKARTA,Jul 2013,2,IDN
OFICINA CONSULAR YAKARTA,Sep 2013,3,IDN
OFICINA CONSULAR YAKARTA,Oct 2013,1,IDN
OFICINA CONSULAR YAKARTA,Nov 2013,1,IDN
OFICINA CONSULAR YAKARTA,Dec 2013,9,IDN
OFICINA CONSULAR YAKARTA,Jan 2014,2,IDN
OFICINA CONSULAR YAKARTA,Feb 2014,6,IDN
OFICINA CONSULAR YAKARTA,Apr 2014,16,IDN
OFICINA CONSULAR YAKARTA,May 2014,5,IDN
OFICINA CONSULAR YAKARTA,Jun 2014,7,IDN
OFICINA CONSULAR YAKARTA,Jul 2014,63,IDN
OFICINA CONSULAR YAKARTA,Aug 2014,17,IDN
OFICINA CONSULAR YAKARTA,Sep 2014,3,IDN
OFICINA CONSULAR YAKARTA,Oct 2014,16,IDN
OFICINA CONSULAR YAKARTA,Nov 2014,69,IDN
OFICINA CONSULAR YAKARTA,Dec 2014,26,IDN
OFICINA CONSULAR YAKARTA,Jan 2015,5,IDN
OFICINA CONSULAR YAKARTA,Feb 2015,26,IDN
OFICINA CONSULAR YAKARTA,Mar 2015,16,IDN
OFICINA CONSULAR YAKARTA,Apr 2015,24,IDN
OFICINA CONSULAR YAKARTA,May 2015,22,IDN
OFICINA CONSULAR YAKARTA,Jun 2015,16,IDN
OFICINA CONSULAR YAKARTA,Jul 2015,6,IDN
OFICINA CONSULAR YAKARTA,Aug 2015,16,IDN
OFICINA CONSULAR YAKARTA,Sep 2015,13,IDN
OFICINA CONSULAR YAKARTA,Oct 2015,21,IDN
OFICINA CONSULAR YAKARTA,Nov 2015,15,IDN
OFICINA CONSULAR YAKARTA,Dec 2015,21,IDN
OFICINA CONSULAR YAKARTA,Jan 2016,10,IDN
OFICINA CONSULAR YAKARTA,Feb 2016,6,IDN
OFICINA CONSULAR YAKARTA,Mar 2016,4,IDN
OFICINA CONSULAR YAKARTA,Apr 2016,10,IDN
OFICINA CONSULAR YAKARTA,May 2016,16,IDN
OFICINA CONSULAR YAKARTA,Jun 2016,6,IDN
OFICINA CONSULAR YAKARTA,Jul 2016,14,IDN
OFICINA CONSULAR YAKARTA,Aug 2016,9,IDN
OFICINA CONSULAR YAKARTA,Sep 2016,17,IDN
OFICINA CONSULAR YAKARTA,Oct 2016,13,IDN
OFICINA CONSULAR YAKARTA,Nov 2016,16,IDN
OFICINA CONSULAR YAKARTA,Dec 2016,3,IDN
OFICINA CONSULAR YAKARTA,Jan 2017,10,IDN
OFICINA CONSULAR YAKARTA,Feb 2017,14,IDN
OFICINA CONSULAR YAKARTA,Mar 2017,10,IDN
OFICINA CONSULAR YAKARTA,Apr 2017,9,IDN
OFICINA CONSULAR YAKARTA,May 2017,27,IDN
OFICINA CONSULAR YAKARTA,Jun 2017,2,IDN
OFICINA CONSULAR YAKARTA,Jul 2017,9,IDN
OFICINA CONSULAR YAKARTA,Aug 2017,29,IDN
OFICINA CONSULAR YAKARTA,Sep 2017,24,IDN
OFICINA CONSULAR YAKARTA,Oct 2017,16,IDN
OFICINA CONSULAR YAKARTA,Nov 2017,13,IDN
OFICINA CONSULAR YAKARTA,Dec 2017,1,IDN
