symbol,date,price,pais
OFICINA CONSULAR NUEVA DELHI,Dec 2012,9,IND
OFICINA CONSULAR NUEVA DELHI,Jan 2013,32,IND
OFICINA CONSULAR NUEVA DELHI,Feb 2013,98,IND
OFICINA CONSULAR NUEVA DELHI,Mar 2013,61,IND
OFICINA CONSULAR NUEVA DELHI,Apr 2013,105,IND
OFICINA CONSULAR NUEVA DELHI,May 2013,99,IND
OFICINA CONSULAR NUEVA DELHI,Jun 2013,70,IND
OFICINA CONSULAR NUEVA DELHI,Jul 2013,56,IND
OFICINA CONSULAR NUEVA DELHI,Aug 2013,18,IND
OFICINA CONSULAR NUEVA DELHI,Sep 2013,47,IND
OFICINA CONSULAR NUEVA DELHI,Oct 2013,68,IND
OFICINA CONSULAR NUEVA DELHI,Nov 2013,44,IND
OFICINA CONSULAR NUEVA DELHI,Dec 2013,21,IND
OFICINA CONSULAR NUEVA DELHI,Jan 2014,73,IND
OFICINA CONSULAR NUEVA DELHI,Feb 2014,38,IND
OFICINA CONSULAR NUEVA DELHI,Mar 2014,28,IND
OFICINA CONSULAR NUEVA DELHI,Apr 2014,156,IND
OFICINA CONSULAR NUEVA DELHI,May 2014,88,IND
OFICINA CONSULAR NUEVA DELHI,Jun 2014,69,IND
OFICINA CONSULAR NUEVA DELHI,Jul 2014,62,IND
OFICINA CONSULAR NUEVA DELHI,Aug 2014,93,IND
OFICINA CONSULAR NUEVA DELHI,Sep 2014,85,IND
OFICINA CONSULAR NUEVA DELHI,Oct 2014,46,IND
OFICINA CONSULAR NUEVA DELHI,Nov 2014,75,IND
OFICINA CONSULAR NUEVA DELHI,Dec 2014,47,IND
OFICINA CONSULAR NUEVA DELHI,Jan 2015,62,IND
OFICINA CONSULAR NUEVA DELHI,Feb 2015,71,IND
OFICINA CONSULAR NUEVA DELHI,Mar 2015,72,IND
OFICINA CONSULAR NUEVA DELHI,Apr 2015,90,IND
OFICINA CONSULAR NUEVA DELHI,May 2015,66,IND
OFICINA CONSULAR NUEVA DELHI,Jun 2015,99,IND
OFICINA CONSULAR NUEVA DELHI,Jul 2015,141,IND
OFICINA CONSULAR NUEVA DELHI,Aug 2015,99,IND
OFICINA CONSULAR NUEVA DELHI,Sep 2015,84,IND
OFICINA CONSULAR NUEVA DELHI,Oct 2015,110,IND
OFICINA CONSULAR NUEVA DELHI,Nov 2015,43,IND
OFICINA CONSULAR NUEVA DELHI,Dec 2015,51,IND
OFICINA CONSULAR NUEVA DELHI,Jan 2016,134,IND
OFICINA CONSULAR NUEVA DELHI,Feb 2016,156,IND
OFICINA CONSULAR NUEVA DELHI,Mar 2016,152,IND
OFICINA CONSULAR NUEVA DELHI,Apr 2016,77,IND
OFICINA CONSULAR NUEVA DELHI,May 2016,203,IND
OFICINA CONSULAR NUEVA DELHI,Jun 2016,138,IND
OFICINA CONSULAR NUEVA DELHI,Jul 2016,66,IND
OFICINA CONSULAR NUEVA DELHI,Aug 2016,138,IND
OFICINA CONSULAR NUEVA DELHI,Sep 2016,279,IND
OFICINA CONSULAR NUEVA DELHI,Oct 2016,271,IND
OFICINA CONSULAR NUEVA DELHI,Nov 2016,150,IND
OFICINA CONSULAR NUEVA DELHI,Dec 2016,130,IND
OFICINA CONSULAR NUEVA DELHI,Jan 2017,80,IND
OFICINA CONSULAR NUEVA DELHI,Feb 2017,118,IND
OFICINA CONSULAR NUEVA DELHI,Mar 2017,137,IND
OFICINA CONSULAR NUEVA DELHI,Apr 2017,137,IND
OFICINA CONSULAR NUEVA DELHI,May 2017,264,IND
OFICINA CONSULAR NUEVA DELHI,Jun 2017,171,IND
OFICINA CONSULAR NUEVA DELHI,Jul 2017,104,IND
OFICINA CONSULAR NUEVA DELHI,Aug 2017,172,IND
OFICINA CONSULAR NUEVA DELHI,Sep 2017,128,IND
OFICINA CONSULAR NUEVA DELHI,Oct 2017,138,IND
OFICINA CONSULAR NUEVA DELHI,Nov 2017,125,IND
OFICINA CONSULAR NUEVA DELHI,Dec 2017,21,IND
