symbol,date,price,pais
OFICINA CONSULAR TEL AVIV,Nov 2012,5,ISR
OFICINA CONSULAR TEL AVIV,Dec 2012,16,ISR
OFICINA CONSULAR TEL AVIV,Jan 2013,19,ISR
OFICINA CONSULAR TEL AVIV,Feb 2013,9,ISR
OFICINA CONSULAR TEL AVIV,Mar 2013,6,ISR
OFICINA CONSULAR TEL AVIV,Apr 2013,12,ISR
OFICINA CONSULAR TEL AVIV,May 2013,1,ISR
OFICINA CONSULAR TEL AVIV,Jun 2013,13,ISR
OFICINA CONSULAR TEL AVIV,Jul 2013,14,ISR
OFICINA CONSULAR TEL AVIV,Aug 2013,16,ISR
OFICINA CONSULAR TEL AVIV,Sep 2013,7,ISR
OFICINA CONSULAR TEL AVIV,Oct 2013,9,ISR
OFICINA CONSULAR TEL AVIV,Nov 2013,8,ISR
OFICINA CONSULAR TEL AVIV,Dec 2013,4,ISR
OFICINA CONSULAR TEL AVIV,Jan 2014,3,ISR
OFICINA CONSULAR TEL AVIV,Feb 2014,10,ISR
OFICINA CONSULAR TEL AVIV,Mar 2014,5,ISR
OFICINA CONSULAR TEL AVIV,Apr 2014,5,ISR
OFICINA CONSULAR TEL AVIV,May 2014,8,ISR
OFICINA CONSULAR TEL AVIV,Jun 2014,15,ISR
OFICINA CONSULAR TEL AVIV,Jul 2014,5,ISR
OFICINA CONSULAR TEL AVIV,Aug 2014,33,ISR
OFICINA CONSULAR TEL AVIV,Sep 2014,10,ISR
OFICINA CONSULAR TEL AVIV,Oct 2014,4,ISR
OFICINA CONSULAR TEL AVIV,Nov 2014,19,ISR
OFICINA CONSULAR TEL AVIV,Dec 2014,9,ISR
OFICINA CONSULAR TEL AVIV,Jan 2015,4,ISR
OFICINA CONSULAR TEL AVIV,Feb 2015,8,ISR
OFICINA CONSULAR TEL AVIV,Mar 2015,7,ISR
OFICINA CONSULAR TEL AVIV,Apr 2015,7,ISR
OFICINA CONSULAR TEL AVIV,May 2015,11,ISR
OFICINA CONSULAR TEL AVIV,Jun 2015,4,ISR
OFICINA CONSULAR TEL AVIV,Jul 2015,17,ISR
OFICINA CONSULAR TEL AVIV,Aug 2015,12,ISR
OFICINA CONSULAR TEL AVIV,Sep 2015,4,ISR
OFICINA CONSULAR TEL AVIV,Oct 2015,11,ISR
OFICINA CONSULAR TEL AVIV,Nov 2015,11,ISR
OFICINA CONSULAR TEL AVIV,Dec 2015,5,ISR
OFICINA CONSULAR TEL AVIV,Jan 2016,12,ISR
OFICINA CONSULAR TEL AVIV,Feb 2016,4,ISR
OFICINA CONSULAR TEL AVIV,Mar 2016,12,ISR
OFICINA CONSULAR TEL AVIV,Apr 2016,7,ISR
OFICINA CONSULAR TEL AVIV,May 2016,11,ISR
OFICINA CONSULAR TEL AVIV,Jun 2016,25,ISR
OFICINA CONSULAR TEL AVIV,Jul 2016,12,ISR
OFICINA CONSULAR TEL AVIV,Aug 2016,12,ISR
OFICINA CONSULAR TEL AVIV,Sep 2016,9,ISR
OFICINA CONSULAR TEL AVIV,Oct 2016,5,ISR
OFICINA CONSULAR TEL AVIV,Nov 2016,15,ISR
OFICINA CONSULAR TEL AVIV,Dec 2016,7,ISR
OFICINA CONSULAR TEL AVIV,Jan 2017,9,ISR
OFICINA CONSULAR TEL AVIV,Feb 2017,7,ISR
OFICINA CONSULAR TEL AVIV,Mar 2017,18,ISR
OFICINA CONSULAR TEL AVIV,Apr 2017,2,ISR
OFICINA CONSULAR TEL AVIV,May 2017,5,ISR
OFICINA CONSULAR TEL AVIV,Jun 2017,19,ISR
OFICINA CONSULAR TEL AVIV,Jul 2017,18,ISR
OFICINA CONSULAR TEL AVIV,Aug 2017,17,ISR
OFICINA CONSULAR TEL AVIV,Sep 2017,3,ISR
OFICINA CONSULAR TEL AVIV,Oct 2017,14,ISR
OFICINA CONSULAR TEL AVIV,Nov 2017,11,ISR
OFICINA CONSULAR TEL AVIV,Dec 2017,6,ISR
