symbol,date,price,pais
CONSULADO GENERAL MILAN,May 2012,465,ITA
CONSULADO GENERAL MILAN,Jun 2012,628,ITA
CONSULADO GENERAL MILAN,Jul 2012,545,ITA
CONSULADO GENERAL MILAN,Aug 2012,507,ITA
CONSULADO GENERAL MILAN,Sep 2012,466,ITA
CONSULADO GENERAL MILAN,Oct 2012,509,ITA
CONSULADO GENERAL MILAN,Nov 2012,448,ITA
CONSULADO GENERAL MILAN,Dec 2012,340,ITA
CONSULADO GENERAL MILAN,Jan 2013,603,ITA
CONSULADO GENERAL MILAN,Feb 2013,568,ITA
CONSULADO GENERAL MILAN,Mar 2013,579,ITA
CONSULADO GENERAL MILAN,Apr 2013,552,ITA
CONSULADO GENERAL MILAN,May 2013,677,ITA
CONSULADO GENERAL MILAN,Jun 2013,650,ITA
CONSULADO GENERAL MILAN,Jul 2013,697,ITA
CONSULADO GENERAL MILAN,Aug 2013,647,ITA
CONSULADO GENERAL MILAN,Sep 2013,532,ITA
CONSULADO GENERAL MILAN,Oct 2013,635,ITA
CONSULADO GENERAL MILAN,Nov 2013,533,ITA
CONSULADO GENERAL MILAN,Dec 2013,472,ITA
CONSULADO GENERAL MILAN,Jan 2014,577,ITA
CONSULADO GENERAL MILAN,Feb 2014,626,ITA
CONSULADO GENERAL MILAN,Mar 2014,620,ITA
CONSULADO GENERAL MILAN,Apr 2014,605,ITA
CONSULADO GENERAL MILAN,May 2014,681,ITA
CONSULADO GENERAL MILAN,Jun 2014,741,ITA
CONSULADO GENERAL MILAN,Jul 2014,796,ITA
CONSULADO GENERAL MILAN,Aug 2014,548,ITA
CONSULADO GENERAL MILAN,Sep 2014,621,ITA
CONSULADO GENERAL MILAN,Oct 2014,596,ITA
CONSULADO GENERAL MILAN,Nov 2014,487,ITA
CONSULADO GENERAL MILAN,Dec 2014,472,ITA
CONSULADO GENERAL MILAN,Jan 2015,591,ITA
CONSULADO GENERAL MILAN,Feb 2015,606,ITA
CONSULADO GENERAL MILAN,Mar 2015,632,ITA
CONSULADO GENERAL MILAN,Apr 2015,565,ITA
CONSULADO GENERAL MILAN,May 2015,696,ITA
CONSULADO GENERAL MILAN,Jun 2015,749,ITA
CONSULADO GENERAL MILAN,Jul 2015,721,ITA
CONSULADO GENERAL MILAN,Aug 2015,586,ITA
CONSULADO GENERAL MILAN,Sep 2015,607,ITA
CONSULADO GENERAL MILAN,Oct 2015,648,ITA
CONSULADO GENERAL MILAN,Nov 2015,582,ITA
CONSULADO GENERAL MILAN,Dec 2015,461,ITA
CONSULADO GENERAL MILAN,Jan 2016,654,ITA
CONSULADO GENERAL MILAN,Feb 2016,656,ITA
CONSULADO GENERAL MILAN,Mar 2016,567,ITA
CONSULADO GENERAL MILAN,Apr 2016,599,ITA
CONSULADO GENERAL MILAN,May 2016,632,ITA
CONSULADO GENERAL MILAN,Jun 2016,738,ITA
CONSULADO GENERAL MILAN,Jul 2016,616,ITA
CONSULADO GENERAL MILAN,Aug 2016,534,ITA
CONSULADO GENERAL MILAN,Sep 2016,593,ITA
CONSULADO GENERAL MILAN,Oct 2016,564,ITA
CONSULADO GENERAL MILAN,Nov 2016,607,ITA
CONSULADO GENERAL MILAN,Dec 2016,509,ITA
CONSULADO GENERAL MILAN,Jan 2017,611,ITA
CONSULADO GENERAL MILAN,Feb 2017,650,ITA
CONSULADO GENERAL MILAN,Mar 2017,737,ITA
CONSULADO GENERAL MILAN,Apr 2017,596,ITA
CONSULADO GENERAL MILAN,May 2017,686,ITA
CONSULADO GENERAL MILAN,Jun 2017,785,ITA
CONSULADO GENERAL MILAN,Jul 2017,683,ITA
CONSULADO GENERAL MILAN,Aug 2017,574,ITA
CONSULADO GENERAL MILAN,Sep 2017,581,ITA
CONSULADO GENERAL MILAN,Oct 2017,595,ITA
CONSULADO GENERAL MILAN,Nov 2017,566,ITA
CONSULADO GENERAL MILAN,Dec 2017,455,ITA
OFICINA CONSULAR GÉNOVA,Nov 2012,15,ITA
OFICINA CONSULAR GÉNOVA,Dec 2012,193,ITA
OFICINA CONSULAR GÉNOVA,Jan 2013,225,ITA
OFICINA CONSULAR GÉNOVA,Feb 2013,197,ITA
OFICINA CONSULAR GÉNOVA,Mar 2013,284,ITA
OFICINA CONSULAR GÉNOVA,Apr 2013,300,ITA
OFICINA CONSULAR GÉNOVA,May 2013,312,ITA
OFICINA CONSULAR GÉNOVA,Jun 2013,274,ITA
OFICINA CONSULAR GÉNOVA,Jul 2013,319,ITA
OFICINA CONSULAR GÉNOVA,Aug 2013,340,ITA
OFICINA CONSULAR GÉNOVA,Sep 2013,288,ITA
OFICINA CONSULAR GÉNOVA,Oct 2013,322,ITA
OFICINA CONSULAR GÉNOVA,Nov 2013,324,ITA
OFICINA CONSULAR GÉNOVA,Dec 2013,210,ITA
OFICINA CONSULAR GÉNOVA,Jan 2014,341,ITA
OFICINA CONSULAR GÉNOVA,Feb 2014,313,ITA
OFICINA CONSULAR GÉNOVA,Mar 2014,316,ITA
OFICINA CONSULAR GÉNOVA,Apr 2014,277,ITA
OFICINA CONSULAR GÉNOVA,May 2014,370,ITA
OFICINA CONSULAR GÉNOVA,Jun 2014,283,ITA
OFICINA CONSULAR GÉNOVA,Jul 2014,317,ITA
OFICINA CONSULAR GÉNOVA,Aug 2014,232,ITA
OFICINA CONSULAR GÉNOVA,Sep 2014,256,ITA
OFICINA CONSULAR GÉNOVA,Oct 2014,259,ITA
OFICINA CONSULAR GÉNOVA,Nov 2014,231,ITA
OFICINA CONSULAR GÉNOVA,Dec 2014,215,ITA
OFICINA CONSULAR GÉNOVA,Jan 2015,244,ITA
OFICINA CONSULAR GÉNOVA,Feb 2015,274,ITA
OFICINA CONSULAR GÉNOVA,Mar 2015,305,ITA
OFICINA CONSULAR GÉNOVA,Apr 2015,272,ITA
OFICINA CONSULAR GÉNOVA,May 2015,316,ITA
OFICINA CONSULAR GÉNOVA,Jun 2015,337,ITA
OFICINA CONSULAR GÉNOVA,Jul 2015,280,ITA
OFICINA CONSULAR GÉNOVA,Aug 2015,266,ITA
OFICINA CONSULAR GÉNOVA,Sep 2015,274,ITA
OFICINA CONSULAR GÉNOVA,Oct 2015,262,ITA
OFICINA CONSULAR GÉNOVA,Nov 2015,286,ITA
OFICINA CONSULAR GÉNOVA,Dec 2015,212,ITA
OFICINA CONSULAR GÉNOVA,Jan 2016,243,ITA
OFICINA CONSULAR GÉNOVA,Feb 2016,259,ITA
OFICINA CONSULAR GÉNOVA,Mar 2016,263,ITA
OFICINA CONSULAR GÉNOVA,Apr 2016,284,ITA
OFICINA CONSULAR GÉNOVA,May 2016,301,ITA
OFICINA CONSULAR GÉNOVA,Jun 2016,313,ITA
OFICINA CONSULAR GÉNOVA,Jul 2016,233,ITA
OFICINA CONSULAR GÉNOVA,Aug 2016,248,ITA
OFICINA CONSULAR GÉNOVA,Sep 2016,291,ITA
OFICINA CONSULAR GÉNOVA,Oct 2016,248,ITA
OFICINA CONSULAR GÉNOVA,Nov 2016,266,ITA
OFICINA CONSULAR GÉNOVA,Dec 2016,224,ITA
OFICINA CONSULAR GÉNOVA,Jan 2017,255,ITA
OFICINA CONSULAR GÉNOVA,Feb 2017,275,ITA
OFICINA CONSULAR GÉNOVA,Mar 2017,323,ITA
OFICINA CONSULAR GÉNOVA,Apr 2017,210,ITA
OFICINA CONSULAR GÉNOVA,May 2017,390,ITA
OFICINA CONSULAR GÉNOVA,Jun 2017,318,ITA
OFICINA CONSULAR GÉNOVA,Jul 2017,362,ITA
OFICINA CONSULAR GÉNOVA,Aug 2017,302,ITA
OFICINA CONSULAR GÉNOVA,Sep 2017,286,ITA
OFICINA CONSULAR GÉNOVA,Oct 2017,308,ITA
OFICINA CONSULAR GÉNOVA,Nov 2017,324,ITA
OFICINA CONSULAR GÉNOVA,Dec 2017,218,ITA
OFICINA CONSULAR ROMA,Nov 2012,82,ITA
OFICINA CONSULAR ROMA,Dec 2012,124,ITA
OFICINA CONSULAR ROMA,Jan 2013,193,ITA
OFICINA CONSULAR ROMA,Feb 2013,123,ITA
OFICINA CONSULAR ROMA,Mar 2013,162,ITA
OFICINA CONSULAR ROMA,Apr 2013,148,ITA
OFICINA CONSULAR ROMA,May 2013,205,ITA
OFICINA CONSULAR ROMA,Jun 2013,188,ITA
OFICINA CONSULAR ROMA,Jul 2013,226,ITA
OFICINA CONSULAR ROMA,Aug 2013,211,ITA
OFICINA CONSULAR ROMA,Sep 2013,216,ITA
OFICINA CONSULAR ROMA,Oct 2013,177,ITA
OFICINA CONSULAR ROMA,Nov 2013,220,ITA
OFICINA CONSULAR ROMA,Dec 2013,88,ITA
OFICINA CONSULAR ROMA,Jan 2014,154,ITA
OFICINA CONSULAR ROMA,Feb 2014,179,ITA
OFICINA CONSULAR ROMA,Mar 2014,174,ITA
OFICINA CONSULAR ROMA,Apr 2014,155,ITA
OFICINA CONSULAR ROMA,May 2014,188,ITA
OFICINA CONSULAR ROMA,Jun 2014,231,ITA
OFICINA CONSULAR ROMA,Jul 2014,241,ITA
OFICINA CONSULAR ROMA,Aug 2014,183,ITA
OFICINA CONSULAR ROMA,Sep 2014,138,ITA
OFICINA CONSULAR ROMA,Oct 2014,172,ITA
OFICINA CONSULAR ROMA,Nov 2014,165,ITA
OFICINA CONSULAR ROMA,Dec 2014,128,ITA
OFICINA CONSULAR ROMA,Jan 2015,179,ITA
OFICINA CONSULAR ROMA,Feb 2015,182,ITA
OFICINA CONSULAR ROMA,Mar 2015,215,ITA
OFICINA CONSULAR ROMA,Apr 2015,189,ITA
OFICINA CONSULAR ROMA,May 2015,157,ITA
OFICINA CONSULAR ROMA,Jun 2015,219,ITA
OFICINA CONSULAR ROMA,Jul 2015,218,ITA
OFICINA CONSULAR ROMA,Aug 2015,149,ITA
OFICINA CONSULAR ROMA,Sep 2015,178,ITA
