symbol,date,price,pais
OFICINA CONSULAR SEUL,Nov 2012,52,KOR
OFICINA CONSULAR SEUL,Dec 2012,71,KOR
OFICINA CONSULAR SEUL,Jan 2013,53,KOR
OFICINA CONSULAR SEUL,Feb 2013,72,KOR
OFICINA CONSULAR SEUL,Mar 2013,127,KOR
OFICINA CONSULAR SEUL,Apr 2013,59,KOR
OFICINA CONSULAR SEUL,May 2013,144,KOR
OFICINA CONSULAR SEUL,Jun 2013,41,KOR
OFICINA CONSULAR SEUL,Jul 2013,67,KOR
OFICINA CONSULAR SEUL,Aug 2013,48,KOR
OFICINA CONSULAR SEUL,Sep 2013,43,KOR
OFICINA CONSULAR SEUL,Oct 2013,49,KOR
OFICINA CONSULAR SEUL,Nov 2013,63,KOR
OFICINA CONSULAR SEUL,Dec 2013,64,KOR
OFICINA CONSULAR SEUL,Jan 2014,60,KOR
OFICINA CONSULAR SEUL,Feb 2014,38,KOR
OFICINA CONSULAR SEUL,Mar 2014,75,KOR
OFICINA CONSULAR SEUL,Apr 2014,93,KOR
OFICINA CONSULAR SEUL,May 2014,93,KOR
OFICINA CONSULAR SEUL,Jun 2014,97,KOR
OFICINA CONSULAR SEUL,Jul 2014,67,KOR
OFICINA CONSULAR SEUL,Aug 2014,40,KOR
OFICINA CONSULAR SEUL,Sep 2014,79,KOR
OFICINA CONSULAR SEUL,Oct 2014,38,KOR
OFICINA CONSULAR SEUL,Nov 2014,75,KOR
OFICINA CONSULAR SEUL,Dec 2014,48,KOR
OFICINA CONSULAR SEUL,Jan 2015,45,KOR
OFICINA CONSULAR SEUL,Feb 2015,70,KOR
OFICINA CONSULAR SEUL,Mar 2015,29,KOR
OFICINA CONSULAR SEUL,Apr 2015,41,KOR
OFICINA CONSULAR SEUL,May 2015,34,KOR
OFICINA CONSULAR SEUL,Jun 2015,55,KOR
OFICINA CONSULAR SEUL,Jul 2015,44,KOR
OFICINA CONSULAR SEUL,Aug 2015,29,KOR
OFICINA CONSULAR SEUL,Sep 2015,35,KOR
OFICINA CONSULAR SEUL,Oct 2015,27,KOR
OFICINA CONSULAR SEUL,Nov 2015,32,KOR
OFICINA CONSULAR SEUL,Dec 2015,33,KOR
OFICINA CONSULAR SEUL,Jan 2016,17,KOR
OFICINA CONSULAR SEUL,Feb 2016,21,KOR
OFICINA CONSULAR SEUL,Mar 2016,29,KOR
OFICINA CONSULAR SEUL,Apr 2016,36,KOR
OFICINA CONSULAR SEUL,May 2016,14,KOR
OFICINA CONSULAR SEUL,Jun 2016,14,KOR
OFICINA CONSULAR SEUL,Jul 2016,34,KOR
OFICINA CONSULAR SEUL,Aug 2016,41,KOR
OFICINA CONSULAR SEUL,Sep 2016,33,KOR
OFICINA CONSULAR SEUL,Oct 2016,14,KOR
OFICINA CONSULAR SEUL,Nov 2016,14,KOR
OFICINA CONSULAR SEUL,Dec 2016,19,KOR
OFICINA CONSULAR SEUL,Jan 2017,9,KOR
OFICINA CONSULAR SEUL,Feb 2017,21,KOR
OFICINA CONSULAR SEUL,Mar 2017,21,KOR
OFICINA CONSULAR SEUL,Apr 2017,11,KOR
OFICINA CONSULAR SEUL,May 2017,7,KOR
OFICINA CONSULAR SEUL,Jun 2017,9,KOR
OFICINA CONSULAR SEUL,Jul 2017,20,KOR
OFICINA CONSULAR SEUL,Aug 2017,14,KOR
OFICINA CONSULAR SEUL,Sep 2017,14,KOR
OFICINA CONSULAR SEUL,Oct 2017,3,KOR
OFICINA CONSULAR SEUL,Nov 2017,13,KOR
OFICINA CONSULAR SEUL,Dec 2017,12,KOR
