symbol,date,price,pais
CONSULADO GENERAL GUADALAJARA - MEXICO,Jul 2013,8,MEX
CONSULADO GENERAL GUADALAJARA - MEXICO,Aug 2013,6,MEX
CONSULADO GENERAL GUADALAJARA - MEXICO,Sep 2013,17,MEX
CONSULADO GENERAL GUADALAJARA - MEXICO,Oct 2013,12,MEX
CONSULADO GENERAL GUADALAJARA - MEXICO,Nov 2013,24,MEX
OFICINA CONSULAR MÉXICO D.F.,Dec 2011,49,MEX
OFICINA CONSULAR MÉXICO D.F.,Jan 2012,121,MEX
OFICINA CONSULAR MÉXICO D.F.,Feb 2012,87,MEX
OFICINA CONSULAR MÉXICO D.F.,Mar 2012,117,MEX
OFICINA CONSULAR MÉXICO D.F.,Apr 2012,113,MEX
OFICINA CONSULAR MÉXICO D.F.,May 2012,119,MEX
OFICINA CONSULAR MÉXICO D.F.,Jun 2012,110,MEX
OFICINA CONSULAR MÉXICO D.F.,Jul 2012,119,MEX
OFICINA CONSULAR MÉXICO D.F.,Aug 2012,149,MEX
OFICINA CONSULAR MÉXICO D.F.,Sep 2012,108,MEX
OFICINA CONSULAR MÉXICO D.F.,Oct 2012,139,MEX
OFICINA CONSULAR MÉXICO D.F.,Nov 2012,81,MEX
OFICINA CONSULAR MÉXICO D.F.,Dec 2012,67,MEX
OFICINA CONSULAR MÉXICO D.F.,Jan 2013,121,MEX
OFICINA CONSULAR MÉXICO D.F.,Feb 2013,131,MEX
OFICINA CONSULAR MÉXICO D.F.,Mar 2013,136,MEX
OFICINA CONSULAR MÉXICO D.F.,Apr 2013,115,MEX
OFICINA CONSULAR MÉXICO D.F.,May 2013,181,MEX
OFICINA CONSULAR MÉXICO D.F.,Jun 2013,89,MEX
OFICINA CONSULAR MÉXICO D.F.,Jul 2013,151,MEX
OFICINA CONSULAR MÉXICO D.F.,Aug 2013,181,MEX
OFICINA CONSULAR MÉXICO D.F.,Sep 2013,92,MEX
OFICINA CONSULAR MÉXICO D.F.,Oct 2013,119,MEX
OFICINA CONSULAR MÉXICO D.F.,Nov 2013,109,MEX
OFICINA CONSULAR MÉXICO D.F.,Dec 2013,83,MEX
OFICINA CONSULAR MÉXICO D.F.,Jan 2014,120,MEX
OFICINA CONSULAR MÉXICO D.F.,Feb 2014,112,MEX
OFICINA CONSULAR MÉXICO D.F.,Mar 2014,104,MEX
OFICINA CONSULAR MÉXICO D.F.,Apr 2014,242,MEX
OFICINA CONSULAR MÉXICO D.F.,May 2014,152,MEX
OFICINA CONSULAR MÉXICO D.F.,Jun 2014,117,MEX
OFICINA CONSULAR MÉXICO D.F.,Jul 2014,246,MEX
OFICINA CONSULAR MÉXICO D.F.,Aug 2014,158,MEX
OFICINA CONSULAR MÉXICO D.F.,Sep 2014,126,MEX
OFICINA CONSULAR MÉXICO D.F.,Oct 2014,197,MEX
OFICINA CONSULAR MÉXICO D.F.,Nov 2014,176,MEX
OFICINA CONSULAR MÉXICO D.F.,Dec 2014,115,MEX
OFICINA CONSULAR MÉXICO D.F.,Jan 2015,116,MEX
OFICINA CONSULAR MÉXICO D.F.,Feb 2015,93,MEX
OFICINA CONSULAR MÉXICO D.F.,Mar 2015,135,MEX
OFICINA CONSULAR MÉXICO D.F.,Apr 2015,95,MEX
OFICINA CONSULAR MÉXICO D.F.,May 2015,130,MEX
OFICINA CONSULAR MÉXICO D.F.,Jun 2015,168,MEX
OFICINA CONSULAR MÉXICO D.F.,Jul 2015,182,MEX
OFICINA CONSULAR MÉXICO D.F.,Aug 2015,123,MEX
OFICINA CONSULAR MÉXICO D.F.,Sep 2015,93,MEX
OFICINA CONSULAR MÉXICO D.F.,Oct 2015,134,MEX
OFICINA CONSULAR MÉXICO D.F.,Nov 2015,121,MEX
OFICINA CONSULAR MÉXICO D.F.,Dec 2015,108,MEX
OFICINA CONSULAR MÉXICO D.F.,Jan 2016,93,MEX
OFICINA CONSULAR MÉXICO D.F.,Feb 2016,67,MEX
OFICINA CONSULAR MÉXICO D.F.,Mar 2016,66,MEX
OFICINA CONSULAR MÉXICO D.F.,Apr 2016,67,MEX
OFICINA CONSULAR MÉXICO D.F.,May 2016,105,MEX
OFICINA CONSULAR MÉXICO D.F.,Jun 2016,61,MEX
OFICINA CONSULAR MÉXICO D.F.,Jul 2016,91,MEX
OFICINA CONSULAR MÉXICO D.F.,Aug 2016,117,MEX
OFICINA CONSULAR MÉXICO D.F.,Sep 2016,108,MEX
OFICINA CONSULAR MÉXICO D.F.,Oct 2016,130,MEX
OFICINA CONSULAR MÉXICO D.F.,Nov 2016,90,MEX
OFICINA CONSULAR MÉXICO D.F.,Dec 2016,83,MEX
OFICINA CONSULAR MÉXICO D.F.,Jan 2017,98,MEX
OFICINA CONSULAR MÉXICO D.F.,Feb 2017,71,MEX
OFICINA CONSULAR MÉXICO D.F.,Mar 2017,87,MEX
OFICINA CONSULAR MÉXICO D.F.,Apr 2017,57,MEX
OFICINA CONSULAR MÉXICO D.F.,May 2017,80,MEX
OFICINA CONSULAR MÉXICO D.F.,Jun 2017,79,MEX
OFICINA CONSULAR MÉXICO D.F.,Jul 2017,85,MEX
OFICINA CONSULAR MÉXICO D.F.,Aug 2017,83,MEX
OFICINA CONSULAR MÉXICO D.F.,Sep 2017,113,MEX
OFICINA CONSULAR MÉXICO D.F.,Oct 2017,74,MEX
OFICINA CONSULAR MÉXICO D.F.,Nov 2017,71,MEX
OFICINA CONSULAR MÉXICO D.F.,Dec 2017,76,MEX
OFICINA CONSULAR MONTERREY,Jun 2013,4,MEX
OFICINA CONSULAR MONTERREY,Jul 2013,14,MEX
OFICINA CONSULAR MONTERREY,Aug 2013,3,MEX
OFICINA CONSULAR MONTERREY,Sep 2013,6,MEX
OFICINA CONSULAR MONTERREY,Oct 2013,4,MEX
OFICINA CONSULAR MONTERREY,Nov 2013,6,MEX
OFICINA CONSULAR MONTERREY,Dec 2013,7,MEX
OFICINA CONSULAR MONTERREY,Jan 2014,7,MEX
OFICINA CONSULAR MONTERREY,Feb 2014,11,MEX
OFICINA CONSULAR MONTERREY,Mar 2014,2,MEX
OFICINA CONSULAR MONTERREY,Apr 2014,4,MEX
OFICINA CONSULAR MONTERREY,May 2014,19,MEX
OFICINA CONSULAR MONTERREY,Jun 2014,14,MEX
OFICINA CONSULAR MONTERREY,Jul 2014,7,MEX
OFICINA CONSULAR MONTERREY,Aug 2014,4,MEX
OFICINA CONSULAR MONTERREY,Sep 2014,6,MEX
OFICINA CONSULAR MONTERREY,Oct 2014,11,MEX
OFICINA CONSULAR MONTERREY,Nov 2014,6,MEX
OFICINA CONSULAR MONTERREY,Dec 2014,25,MEX
OFICINA CONSULAR MONTERREY,Jan 2015,27,MEX
OFICINA CONSULAR MONTERREY,Feb 2015,10,MEX
OFICINA CONSULAR MONTERREY,Mar 2015,4,MEX
OFICINA CONSULAR MONTERREY,Apr 2015,7,MEX
OFICINA CONSULAR MONTERREY,May 2015,10,MEX
OFICINA CONSULAR MONTERREY,Jun 2015,8,MEX
OFICINA CONSULAR MONTERREY,Jul 2015,18,MEX
OFICINA CONSULAR MONTERREY,Aug 2015,1,MEX
OFICINA CONSULAR MONTERREY,Sep 2015,19,MEX
OFICINA CONSULAR MONTERREY,Oct 2015,11,MEX
OFICINA CONSULAR MONTERREY,Nov 2015,10,MEX
OFICINA CONSULAR MONTERREY,Dec 2015,17,MEX
OFICINA CONSULAR MONTERREY,Jan 2016,4,MEX
OFICINA CONSULAR MONTERREY,Feb 2016,13,MEX
OFICINA CONSULAR MONTERREY,Mar 2016,6,MEX
OFICINA CONSULAR MONTERREY,Apr 2016,10,MEX
OFICINA CONSULAR MONTERREY,May 2016,4,MEX
OFICINA CONSULAR MONTERREY,Jun 2016,10,MEX
OFICINA CONSULAR MONTERREY,Jul 2016,12,MEX
OFICINA CONSULAR MONTERREY,Aug 2016,13,MEX
OFICINA CONSULAR MONTERREY,Sep 2016,4,MEX
OFICINA CONSULAR MONTERREY,Oct 2016,9,MEX
OFICINA CONSULAR MONTERREY,Nov 2016,10,MEX
OFICINA CONSULAR MONTERREY,Dec 2016,7,MEX
OFICINA CONSULAR MONTERREY,Jan 2017,8,MEX
OFICINA CONSULAR MONTERREY,Feb 2017,5,MEX
OFICINA CONSULAR MONTERREY,Mar 2017,7,MEX
