symbol,date,price,pais
OFICINA CONSULAR KUALA LUMPUR,Dec 2010,4,MYS
OFICINA CONSULAR KUALA LUMPUR,Jan 2011,2,MYS
OFICINA CONSULAR KUALA LUMPUR,Mar 2011,4,MYS
OFICINA CONSULAR KUALA LUMPUR,Apr 2011,9,MYS
OFICINA CONSULAR KUALA LUMPUR,May 2011,6,MYS
OFICINA CONSULAR KUALA LUMPUR,Jun 2011,2,MYS
OFICINA CONSULAR KUALA LUMPUR,Oct 2011,4,MYS
OFICINA CONSULAR KUALA LUMPUR,Nov 2011,1,MYS
OFICINA CONSULAR KUALA LUMPUR,May 2012,4,MYS
OFICINA CONSULAR KUALA LUMPUR,Jun 2012,2,MYS
OFICINA CONSULAR KUALA LUMPUR,Nov 2012,11,MYS
OFICINA CONSULAR KUALA LUMPUR,Dec 2012,7,MYS
OFICINA CONSULAR KUALA LUMPUR,Jan 2013,14,MYS
OFICINA CONSULAR KUALA LUMPUR,Feb 2013,9,MYS
OFICINA CONSULAR KUALA LUMPUR,Mar 2013,32,MYS
OFICINA CONSULAR KUALA LUMPUR,Apr 2013,19,MYS
OFICINA CONSULAR KUALA LUMPUR,May 2013,10,MYS
OFICINA CONSULAR KUALA LUMPUR,Jun 2013,13,MYS
OFICINA CONSULAR KUALA LUMPUR,Jul 2013,39,MYS
OFICINA CONSULAR KUALA LUMPUR,Aug 2013,11,MYS
OFICINA CONSULAR KUALA LUMPUR,Sep 2013,15,MYS
OFICINA CONSULAR KUALA LUMPUR,Oct 2013,23,MYS
OFICINA CONSULAR KUALA LUMPUR,Nov 2013,14,MYS
OFICINA CONSULAR KUALA LUMPUR,Dec 2013,9,MYS
OFICINA CONSULAR KUALA LUMPUR,Jan 2014,9,MYS
OFICINA CONSULAR KUALA LUMPUR,Feb 2014,4,MYS
OFICINA CONSULAR KUALA LUMPUR,Mar 2014,17,MYS
OFICINA CONSULAR KUALA LUMPUR,Apr 2014,36,MYS
OFICINA CONSULAR KUALA LUMPUR,May 2014,15,MYS
OFICINA CONSULAR KUALA LUMPUR,Jun 2014,18,MYS
OFICINA CONSULAR KUALA LUMPUR,Jul 2014,45,MYS
OFICINA CONSULAR KUALA LUMPUR,Aug 2014,19,MYS
OFICINA CONSULAR KUALA LUMPUR,Sep 2014,24,MYS
OFICINA CONSULAR KUALA LUMPUR,Oct 2014,26,MYS
OFICINA CONSULAR KUALA LUMPUR,Nov 2014,31,MYS
OFICINA CONSULAR KUALA LUMPUR,Dec 2014,24,MYS
OFICINA CONSULAR KUALA LUMPUR,Jan 2015,27,MYS
OFICINA CONSULAR KUALA LUMPUR,Feb 2015,7,MYS
OFICINA CONSULAR KUALA LUMPUR,Mar 2015,26,MYS
OFICINA CONSULAR KUALA LUMPUR,Apr 2015,5,MYS
OFICINA CONSULAR KUALA LUMPUR,May 2015,18,MYS
OFICINA CONSULAR KUALA LUMPUR,Jun 2015,18,MYS
OFICINA CONSULAR KUALA LUMPUR,Jul 2015,7,MYS
OFICINA CONSULAR KUALA LUMPUR,Aug 2015,22,MYS
OFICINA CONSULAR KUALA LUMPUR,Sep 2015,12,MYS
OFICINA CONSULAR KUALA LUMPUR,Oct 2015,8,MYS
OFICINA CONSULAR KUALA LUMPUR,Nov 2015,3,MYS
OFICINA CONSULAR KUALA LUMPUR,Dec 2015,4,MYS
OFICINA CONSULAR KUALA LUMPUR,Jan 2016,5,MYS
OFICINA CONSULAR KUALA LUMPUR,Feb 2016,18,MYS
OFICINA CONSULAR KUALA LUMPUR,Mar 2016,7,MYS
OFICINA CONSULAR KUALA LUMPUR,Apr 2016,3,MYS
OFICINA CONSULAR KUALA LUMPUR,May 2016,31,MYS
OFICINA CONSULAR KUALA LUMPUR,Jun 2016,39,MYS
OFICINA CONSULAR KUALA LUMPUR,Jul 2016,5,MYS
OFICINA CONSULAR KUALA LUMPUR,Aug 2016,12,MYS
OFICINA CONSULAR KUALA LUMPUR,Sep 2016,7,MYS
OFICINA CONSULAR KUALA LUMPUR,Oct 2016,17,MYS
OFICINA CONSULAR KUALA LUMPUR,Nov 2016,5,MYS
OFICINA CONSULAR KUALA LUMPUR,Dec 2016,7,MYS
OFICINA CONSULAR KUALA LUMPUR,Jan 2017,4,MYS
OFICINA CONSULAR KUALA LUMPUR,Feb 2017,7,MYS
OFICINA CONSULAR KUALA LUMPUR,Mar 2017,19,MYS
OFICINA CONSULAR KUALA LUMPUR,Apr 2017,24,MYS
OFICINA CONSULAR KUALA LUMPUR,May 2017,2,MYS
OFICINA CONSULAR KUALA LUMPUR,Jun 2017,13,MYS
OFICINA CONSULAR KUALA LUMPUR,Jul 2017,6,MYS
OFICINA CONSULAR KUALA LUMPUR,Aug 2017,8,MYS
OFICINA CONSULAR KUALA LUMPUR,Sep 2017,10,MYS
OFICINA CONSULAR KUALA LUMPUR,Oct 2017,16,MYS
OFICINA CONSULAR KUALA LUMPUR,Nov 2017,28,MYS
OFICINA CONSULAR KUALA LUMPUR,Dec 2017,12,MYS
