symbol,date,price,pais
EMBAJADA NIGERIA - SECCION CONSULAR EN ABUJA,Jul 2016,2,NER
EMBAJADA NIGERIA - SECCION CONSULAR EN ABUJA,Aug 2016,1,NER
EMBAJADA NIGERIA - SECCION CONSULAR EN ABUJA,Sep 2016,45,NER
EMBAJADA NIGERIA - SECCION CONSULAR EN ABUJA,Oct 2016,146,NER
EMBAJADA NIGERIA - SECCION CONSULAR EN ABUJA,Nov 2016,7,NER
EMBAJADA NIGERIA - SECCION CONSULAR EN ABUJA,Dec 2016,34,NER
EMBAJADA NIGERIA - SECCION CONSULAR EN ABUJA,Jan 2017,23,NER
EMBAJADA NIGERIA - SECCION CONSULAR EN ABUJA,Feb 2017,6,NER
EMBAJADA NIGERIA - SECCION CONSULAR EN ABUJA,Mar 2017,21,NER
EMBAJADA NIGERIA - SECCION CONSULAR EN ABUJA,Apr 2017,29,NER
EMBAJADA NIGERIA - SECCION CONSULAR EN ABUJA,May 2017,81,NER
EMBAJADA NIGERIA - SECCION CONSULAR EN ABUJA,Jun 2017,84,NER
EMBAJADA NIGERIA - SECCION CONSULAR EN ABUJA,Jul 2017,80,NER
EMBAJADA NIGERIA - SECCION CONSULAR EN ABUJA,Aug 2017,41,NER
EMBAJADA NIGERIA - SECCION CONSULAR EN ABUJA,Sep 2017,32,NER
EMBAJADA NIGERIA - SECCION CONSULAR EN ABUJA,Oct 2017,18,NER
EMBAJADA NIGERIA - SECCION CONSULAR EN ABUJA,Nov 2017,53,NER
EMBAJADA NIGERIA - SECCION CONSULAR EN ABUJA,Dec 2017,22,NER
