symbol,date,price,pais
OFICINA CONSULAR MANAGUA,Dec 2012,14,NIC
OFICINA CONSULAR MANAGUA,Jan 2013,27,NIC
OFICINA CONSULAR MANAGUA,Feb 2013,9,NIC
OFICINA CONSULAR MANAGUA,Mar 2013,16,NIC
OFICINA CONSULAR MANAGUA,Apr 2013,10,NIC
OFICINA CONSULAR MANAGUA,May 2013,12,NIC
OFICINA CONSULAR MANAGUA,Jun 2013,11,NIC
OFICINA CONSULAR MANAGUA,Jul 2013,1,NIC
OFICINA CONSULAR MANAGUA,Aug 2013,3,NIC
OFICINA CONSULAR MANAGUA,Sep 2013,4,NIC
OFICINA CONSULAR MANAGUA,Oct 2013,7,NIC
OFICINA CONSULAR MANAGUA,Nov 2013,7,NIC
OFICINA CONSULAR MANAGUA,Dec 2013,10,NIC
OFICINA CONSULAR MANAGUA,Feb 2014,4,NIC
OFICINA CONSULAR MANAGUA,Mar 2014,5,NIC
OFICINA CONSULAR MANAGUA,Apr 2014,5,NIC
OFICINA CONSULAR MANAGUA,May 2014,6,NIC
OFICINA CONSULAR MANAGUA,Jul 2014,2,NIC
OFICINA CONSULAR MANAGUA,Aug 2014,7,NIC
OFICINA CONSULAR MANAGUA,Sep 2014,10,NIC
OFICINA CONSULAR MANAGUA,Oct 2014,3,NIC
OFICINA CONSULAR MANAGUA,Dec 2014,3,NIC
OFICINA CONSULAR MANAGUA,Feb 2015,2,NIC
OFICINA CONSULAR MANAGUA,Mar 2015,1,NIC
OFICINA CONSULAR MANAGUA,Apr 2015,1,NIC
OFICINA CONSULAR MANAGUA,May 2015,4,NIC
OFICINA CONSULAR MANAGUA,Jun 2015,4,NIC
OFICINA CONSULAR MANAGUA,Aug 2015,2,NIC
OFICINA CONSULAR MANAGUA,Sep 2015,10,NIC
OFICINA CONSULAR MANAGUA,Dec 2015,4,NIC
OFICINA CONSULAR MANAGUA,Jan 2016,3,NIC
OFICINA CONSULAR MANAGUA,Feb 2016,1,NIC
OFICINA CONSULAR MANAGUA,Apr 2016,2,NIC
OFICINA CONSULAR MANAGUA,May 2016,3,NIC
OFICINA CONSULAR MANAGUA,Jun 2016,2,NIC
OFICINA CONSULAR MANAGUA,Aug 2016,3,NIC
OFICINA CONSULAR MANAGUA,Nov 2016,2,NIC
OFICINA CONSULAR MANAGUA,Dec 2016,1,NIC
OFICINA CONSULAR MANAGUA,Jan 2017,1,NIC
OFICINA CONSULAR MANAGUA,Feb 2017,2,NIC
OFICINA CONSULAR MANAGUA,Mar 2017,3,NIC
OFICINA CONSULAR MANAGUA,Apr 2017,1,NIC
OFICINA CONSULAR MANAGUA,May 2017,2,NIC
OFICINA CONSULAR MANAGUA,Jun 2017,4,NIC
OFICINA CONSULAR MANAGUA,Jul 2017,2,NIC
OFICINA CONSULAR MANAGUA,Aug 2017,8,NIC
OFICINA CONSULAR MANAGUA,Sep 2017,2,NIC
OFICINA CONSULAR MANAGUA,Oct 2017,5,NIC
OFICINA CONSULAR MANAGUA,Nov 2017,7,NIC
OFICINA CONSULAR MANAGUA,Dec 2017,1,NIC
