symbol,date,price,pais
CONSULADO LA HAYA,Jan 2013,53,NLD
CONSULADO LA HAYA,Feb 2013,37,NLD
CONSULADO LA HAYA,Mar 2013,34,NLD
CONSULADO LA HAYA,Apr 2013,45,NLD
CONSULADO LA HAYA,May 2013,35,NLD
CONSULADO LA HAYA,Jun 2013,46,NLD
CONSULADO LA HAYA,Jul 2013,76,NLD
CONSULADO LA HAYA,Aug 2013,53,NLD
CONSULADO LA HAYA,Sep 2013,51,NLD
CONSULADO LA HAYA,Oct 2013,48,NLD
CONSULADO LA HAYA,Nov 2013,79,NLD
CONSULADO LA HAYA,Dec 2013,33,NLD
CONSULADO LA HAYA,Jan 2014,62,NLD
CONSULADO LA HAYA,Feb 2014,57,NLD
CONSULADO LA HAYA,Mar 2014,38,NLD
CONSULADO LA HAYA,Apr 2014,45,NLD
CONSULADO LA HAYA,May 2014,27,NLD
CONSULADO LA HAYA,Jun 2014,59,NLD
CONSULADO LA HAYA,Jul 2014,49,NLD
CONSULADO LA HAYA,Aug 2014,73,NLD
CONSULADO LA HAYA,Sep 2014,48,NLD
CONSULADO LA HAYA,Oct 2014,96,NLD
CONSULADO LA HAYA,Nov 2014,62,NLD
CONSULADO LA HAYA,Dec 2014,36,NLD
CONSULADO LA HAYA,Jan 2015,48,NLD
CONSULADO LA HAYA,Feb 2015,46,NLD
CONSULADO LA HAYA,Mar 2015,37,NLD
CONSULADO LA HAYA,Apr 2015,41,NLD
CONSULADO LA HAYA,May 2015,33,NLD
CONSULADO LA HAYA,Jun 2015,80,NLD
CONSULADO LA HAYA,Jul 2015,35,NLD
CONSULADO LA HAYA,Aug 2015,54,NLD
CONSULADO LA HAYA,Sep 2015,47,NLD
CONSULADO LA HAYA,Oct 2015,27,NLD
CONSULADO LA HAYA,Nov 2015,31,NLD
CONSULADO LA HAYA,Dec 2015,43,NLD
CONSULADO LA HAYA,Jan 2016,37,NLD
CONSULADO LA HAYA,Feb 2016,32,NLD
CONSULADO LA HAYA,Mar 2016,26,NLD
CONSULADO LA HAYA,Apr 2016,9,NLD
CONSULADO LA HAYA,May 2016,33,NLD
CONSULADO LA HAYA,Jun 2016,57,NLD
CONSULADO LA HAYA,Jul 2016,49,NLD
CONSULADO LA HAYA,Aug 2016,53,NLD
CONSULADO LA HAYA,Sep 2016,34,NLD
CONSULADO LA HAYA,Oct 2016,36,NLD
CONSULADO LA HAYA,Nov 2016,33,NLD
CONSULADO LA HAYA,Dec 2016,34,NLD
CONSULADO LA HAYA,Jan 2017,45,NLD
CONSULADO LA HAYA,Feb 2017,30,NLD
CONSULADO LA HAYA,Mar 2017,24,NLD
CONSULADO LA HAYA,Apr 2017,20,NLD
CONSULADO LA HAYA,May 2017,24,NLD
CONSULADO LA HAYA,Jun 2017,55,NLD
CONSULADO LA HAYA,Jul 2017,46,NLD
CONSULADO LA HAYA,Aug 2017,59,NLD
CONSULADO LA HAYA,Sep 2017,34,NLD
CONSULADO LA HAYA,Oct 2017,36,NLD
CONSULADO LA HAYA,Nov 2017,32,NLD
CONSULADO LA HAYA,Dec 2017,25,NLD
