symbol,date,price,pais
OFICINA CONSULAR PANAMÁ,Oct 2012,27,PAN
OFICINA CONSULAR PANAMÁ,Nov 2012,51,PAN
OFICINA CONSULAR PANAMÁ,Dec 2012,97,PAN
OFICINA CONSULAR PANAMÁ,Jan 2013,77,PAN
OFICINA CONSULAR PANAMÁ,Feb 2013,119,PAN
OFICINA CONSULAR PANAMÁ,Mar 2013,57,PAN
OFICINA CONSULAR PANAMÁ,Apr 2013,91,PAN
OFICINA CONSULAR PANAMÁ,May 2013,137,PAN
OFICINA CONSULAR PANAMÁ,Jun 2013,134,PAN
OFICINA CONSULAR PANAMÁ,Jul 2013,90,PAN
OFICINA CONSULAR PANAMÁ,Aug 2013,113,PAN
OFICINA CONSULAR PANAMÁ,Sep 2013,119,PAN
OFICINA CONSULAR PANAMÁ,Oct 2013,110,PAN
OFICINA CONSULAR PANAMÁ,Nov 2013,87,PAN
OFICINA CONSULAR PANAMÁ,Dec 2013,59,PAN
OFICINA CONSULAR PANAMÁ,Jan 2014,131,PAN
OFICINA CONSULAR PANAMÁ,Feb 2014,85,PAN
OFICINA CONSULAR PANAMÁ,Mar 2014,76,PAN
OFICINA CONSULAR PANAMÁ,Apr 2014,128,PAN
OFICINA CONSULAR PANAMÁ,May 2014,107,PAN
OFICINA CONSULAR PANAMÁ,Jun 2014,99,PAN
OFICINA CONSULAR PANAMÁ,Jul 2014,71,PAN
OFICINA CONSULAR PANAMÁ,Aug 2014,107,PAN
OFICINA CONSULAR PANAMÁ,Sep 2014,130,PAN
OFICINA CONSULAR PANAMÁ,Oct 2014,70,PAN
OFICINA CONSULAR PANAMÁ,Nov 2014,55,PAN
OFICINA CONSULAR PANAMÁ,Dec 2014,70,PAN
OFICINA CONSULAR PANAMÁ,Jan 2015,67,PAN
OFICINA CONSULAR PANAMÁ,Feb 2015,22,PAN
OFICINA CONSULAR PANAMÁ,Mar 2015,55,PAN
OFICINA CONSULAR PANAMÁ,Apr 2015,65,PAN
OFICINA CONSULAR PANAMÁ,May 2015,119,PAN
OFICINA CONSULAR PANAMÁ,Jun 2015,87,PAN
OFICINA CONSULAR PANAMÁ,Jul 2015,72,PAN
OFICINA CONSULAR PANAMÁ,Aug 2015,88,PAN
OFICINA CONSULAR PANAMÁ,Sep 2015,75,PAN
OFICINA CONSULAR PANAMÁ,Oct 2015,78,PAN
OFICINA CONSULAR PANAMÁ,Nov 2015,50,PAN
OFICINA CONSULAR PANAMÁ,Dec 2015,62,PAN
OFICINA CONSULAR PANAMÁ,Jan 2016,60,PAN
OFICINA CONSULAR PANAMÁ,Feb 2016,63,PAN
OFICINA CONSULAR PANAMÁ,Mar 2016,73,PAN
OFICINA CONSULAR PANAMÁ,Apr 2016,69,PAN
OFICINA CONSULAR PANAMÁ,May 2016,53,PAN
OFICINA CONSULAR PANAMÁ,Jun 2016,76,PAN
OFICINA CONSULAR PANAMÁ,Jul 2016,101,PAN
OFICINA CONSULAR PANAMÁ,Aug 2016,94,PAN
OFICINA CONSULAR PANAMÁ,Sep 2016,83,PAN
OFICINA CONSULAR PANAMÁ,Oct 2016,89,PAN
OFICINA CONSULAR PANAMÁ,Nov 2016,98,PAN
OFICINA CONSULAR PANAMÁ,Dec 2016,61,PAN
OFICINA CONSULAR PANAMÁ,Jan 2017,74,PAN
OFICINA CONSULAR PANAMÁ,Feb 2017,66,PAN
OFICINA CONSULAR PANAMÁ,Mar 2017,85,PAN
OFICINA CONSULAR PANAMÁ,Apr 2017,56,PAN
OFICINA CONSULAR PANAMÁ,May 2017,64,PAN
OFICINA CONSULAR PANAMÁ,Jun 2017,58,PAN
OFICINA CONSULAR PANAMÁ,Jul 2017,52,PAN
OFICINA CONSULAR PANAMÁ,Aug 2017,90,PAN
OFICINA CONSULAR PANAMÁ,Sep 2017,50,PAN
OFICINA CONSULAR PANAMÁ,Oct 2017,71,PAN
OFICINA CONSULAR PANAMÁ,Nov 2017,57,PAN
OFICINA CONSULAR PANAMÁ,Dec 2017,72,PAN
