symbol,date,price,pais
CONSULADO GENERAL PIURA,Nov 2012,2,PER
CONSULADO GENERAL PIURA,Dec 2012,14,PER
CONSULADO GENERAL PIURA,Jan 2013,6,PER
CONSULADO GENERAL PIURA,Feb 2013,2,PER
CONSULADO GENERAL PIURA,Mar 2013,6,PER
CONSULADO GENERAL PIURA,Apr 2013,21,PER
CONSULADO GENERAL PIURA,May 2013,17,PER
CONSULADO GENERAL PIURA,Jun 2013,8,PER
CONSULADO GENERAL PIURA,Jul 2013,6,PER
CONSULADO GENERAL PIURA,Aug 2013,24,PER
CONSULADO GENERAL PIURA,Sep 2013,37,PER
CONSULADO GENERAL PIURA,Oct 2013,20,PER
CONSULADO GENERAL PIURA,Nov 2013,42,PER
OFICINA CONSULAR LIMA,Jan 2012,2,PER
OFICINA CONSULAR LIMA,Feb 2012,38,PER
OFICINA CONSULAR LIMA,Mar 2012,149,PER
OFICINA CONSULAR LIMA,Apr 2012,156,PER
OFICINA CONSULAR LIMA,May 2012,135,PER
OFICINA CONSULAR LIMA,Jun 2012,116,PER
OFICINA CONSULAR LIMA,Jul 2012,141,PER
OFICINA CONSULAR LIMA,Aug 2012,97,PER
OFICINA CONSULAR LIMA,Sep 2012,148,PER
OFICINA CONSULAR LIMA,Oct 2012,151,PER
OFICINA CONSULAR LIMA,Nov 2012,90,PER
OFICINA CONSULAR LIMA,Dec 2012,118,PER
OFICINA CONSULAR LIMA,Jan 2013,160,PER
OFICINA CONSULAR LIMA,Feb 2013,161,PER
OFICINA CONSULAR LIMA,Mar 2013,156,PER
OFICINA CONSULAR LIMA,Apr 2013,161,PER
OFICINA CONSULAR LIMA,May 2013,154,PER
OFICINA CONSULAR LIMA,Jun 2013,156,PER
OFICINA CONSULAR LIMA,Jul 2013,175,PER
OFICINA CONSULAR LIMA,Aug 2013,144,PER
OFICINA CONSULAR LIMA,Sep 2013,144,PER
OFICINA CONSULAR LIMA,Oct 2013,133,PER
OFICINA CONSULAR LIMA,Nov 2013,142,PER
OFICINA CONSULAR LIMA,Dec 2013,154,PER
OFICINA CONSULAR LIMA,Jan 2014,108,PER
OFICINA CONSULAR LIMA,Feb 2014,135,PER
OFICINA CONSULAR LIMA,Mar 2014,107,PER
OFICINA CONSULAR LIMA,Apr 2014,113,PER
OFICINA CONSULAR LIMA,May 2014,120,PER
OFICINA CONSULAR LIMA,Jun 2014,139,PER
OFICINA CONSULAR LIMA,Jul 2014,180,PER
OFICINA CONSULAR LIMA,Aug 2014,131,PER
OFICINA CONSULAR LIMA,Sep 2014,146,PER
OFICINA CONSULAR LIMA,Oct 2014,99,PER
OFICINA CONSULAR LIMA,Nov 2014,105,PER
OFICINA CONSULAR LIMA,Dec 2014,112,PER
OFICINA CONSULAR LIMA,Jan 2015,168,PER
OFICINA CONSULAR LIMA,Feb 2015,139,PER
OFICINA CONSULAR LIMA,Mar 2015,137,PER
OFICINA CONSULAR LIMA,Apr 2015,161,PER
OFICINA CONSULAR LIMA,May 2015,147,PER
OFICINA CONSULAR LIMA,Jun 2015,125,PER
OFICINA CONSULAR LIMA,Jul 2015,78,PER
OFICINA CONSULAR LIMA,Aug 2015,118,PER
OFICINA CONSULAR LIMA,Sep 2015,123,PER
OFICINA CONSULAR LIMA,Oct 2015,87,PER
OFICINA CONSULAR LIMA,Nov 2015,87,PER
OFICINA CONSULAR LIMA,Dec 2015,221,PER
OFICINA CONSULAR LIMA,Jan 2016,146,PER
OFICINA CONSULAR LIMA,Feb 2016,234,PER
OFICINA CONSULAR LIMA,Mar 2016,296,PER
OFICINA CONSULAR LIMA,Apr 2016,155,PER
OFICINA CONSULAR LIMA,May 2016,192,PER
OFICINA CONSULAR LIMA,Jun 2016,144,PER
OFICINA CONSULAR LIMA,Jul 2016,140,PER
OFICINA CONSULAR LIMA,Aug 2016,181,PER
OFICINA CONSULAR LIMA,Sep 2016,207,PER
OFICINA CONSULAR LIMA,Oct 2016,181,PER
OFICINA CONSULAR LIMA,Nov 2016,140,PER
OFICINA CONSULAR LIMA,Dec 2016,117,PER
OFICINA CONSULAR LIMA,Jan 2017,187,PER
OFICINA CONSULAR LIMA,Feb 2017,91,PER
OFICINA CONSULAR LIMA,Mar 2017,177,PER
OFICINA CONSULAR LIMA,Apr 2017,165,PER
OFICINA CONSULAR LIMA,May 2017,154,PER
OFICINA CONSULAR LIMA,Jun 2017,166,PER
OFICINA CONSULAR LIMA,Jul 2017,183,PER
OFICINA CONSULAR LIMA,Aug 2017,181,PER
OFICINA CONSULAR LIMA,Sep 2017,176,PER
OFICINA CONSULAR LIMA,Oct 2017,163,PER
OFICINA CONSULAR LIMA,Nov 2017,142,PER
OFICINA CONSULAR LIMA,Dec 2017,112,PER
OFICINA CONSULAR TUMBES,Nov 2012,21,PER
OFICINA CONSULAR TUMBES,Dec 2012,15,PER
OFICINA CONSULAR TUMBES,Jan 2013,37,PER
OFICINA CONSULAR TUMBES,Feb 2013,32,PER
OFICINA CONSULAR TUMBES,Mar 2013,36,PER
OFICINA CONSULAR TUMBES,Apr 2013,68,PER
OFICINA CONSULAR TUMBES,May 2013,74,PER
OFICINA CONSULAR TUMBES,Jun 2013,52,PER
OFICINA CONSULAR TUMBES,Jul 2013,67,PER
OFICINA CONSULAR TUMBES,Aug 2013,77,PER
OFICINA CONSULAR TUMBES,Sep 2013,76,PER
OFICINA CONSULAR TUMBES,Oct 2013,70,PER
OFICINA CONSULAR TUMBES,Nov 2013,60,PER
OFICINA CONSULAR TUMBES,Dec 2013,37,PER
OFICINA CONSULAR TUMBES,Jan 2014,68,PER
OFICINA CONSULAR TUMBES,Feb 2014,57,PER
OFICINA CONSULAR TUMBES,Mar 2014,42,PER
OFICINA CONSULAR TUMBES,Apr 2014,53,PER
OFICINA CONSULAR TUMBES,May 2014,70,PER
OFICINA CONSULAR TUMBES,Jun 2014,99,PER
OFICINA CONSULAR TUMBES,Jul 2014,112,PER
OFICINA CONSULAR TUMBES,Aug 2014,122,PER
OFICINA CONSULAR TUMBES,Sep 2014,128,PER
OFICINA CONSULAR TUMBES,Oct 2014,139,PER
OFICINA CONSULAR TUMBES,Nov 2014,90,PER
OFICINA CONSULAR TUMBES,Dec 2014,86,PER
