symbol,date,price,pais
OFICINA CONSULAR VARSOVIA,Jan 2013,14,POL
OFICINA CONSULAR VARSOVIA,Feb 2013,4,POL
OFICINA CONSULAR VARSOVIA,Mar 2013,4,POL
OFICINA CONSULAR VARSOVIA,May 2013,7,POL
OFICINA CONSULAR VARSOVIA,Jun 2013,3,POL
OFICINA CONSULAR VARSOVIA,Jul 2013,5,POL
OFICINA CONSULAR VARSOVIA,Aug 2013,3,POL
OFICINA CONSULAR VARSOVIA,Sep 2013,20,POL
OFICINA CONSULAR VARSOVIA,Oct 2013,1,POL
OFICINA CONSULAR VARSOVIA,Nov 2013,4,POL
OFICINA CONSULAR VARSOVIA,Dec 2013,6,POL
OFICINA CONSULAR VARSOVIA,Jan 2014,12,POL
OFICINA CONSULAR VARSOVIA,Feb 2014,7,POL
OFICINA CONSULAR VARSOVIA,Mar 2014,10,POL
OFICINA CONSULAR VARSOVIA,Apr 2014,4,POL
OFICINA CONSULAR VARSOVIA,May 2014,2,POL
