symbol,date,price,pais
CONSULADO GENERAL LISBOA,Nov 2012,1,PRT
CONSULADO GENERAL LISBOA,Dec 2012,5,PRT
CONSULADO GENERAL LISBOA,Jan 2013,3,PRT
CONSULADO GENERAL LISBOA,Feb 2013,1,PRT
CONSULADO GENERAL LISBOA,Mar 2013,4,PRT
CONSULADO GENERAL LISBOA,Apr 2013,5,PRT
CONSULADO GENERAL LISBOA,May 2013,6,PRT
CONSULADO GENERAL LISBOA,Jun 2013,4,PRT
CONSULADO GENERAL LISBOA,Jul 2013,4,PRT
CONSULADO GENERAL LISBOA,Aug 2013,6,PRT
CONSULADO GENERAL LISBOA,Sep 2013,8,PRT
CONSULADO GENERAL LISBOA,Nov 2013,12,PRT
CONSULADO GENERAL LISBOA,Dec 2013,1,PRT
