symbol,date,price,pais
OFICINA CONSULAR ASUNCION,Nov 2012,14,PRY
OFICINA CONSULAR ASUNCION,Dec 2012,48,PRY
OFICINA CONSULAR ASUNCION,Jan 2013,55,PRY
OFICINA CONSULAR ASUNCION,Feb 2013,42,PRY
OFICINA CONSULAR ASUNCION,Mar 2013,21,PRY
OFICINA CONSULAR ASUNCION,Apr 2013,39,PRY
OFICINA CONSULAR ASUNCION,May 2013,34,PRY
OFICINA CONSULAR ASUNCION,Jun 2013,18,PRY
OFICINA CONSULAR ASUNCION,Jul 2013,32,PRY
OFICINA CONSULAR ASUNCION,Aug 2013,29,PRY
OFICINA CONSULAR ASUNCION,Sep 2013,17,PRY
OFICINA CONSULAR ASUNCION,Oct 2013,37,PRY
OFICINA CONSULAR ASUNCION,Nov 2013,31,PRY
OFICINA CONSULAR ASUNCION,Dec 2013,43,PRY
OFICINA CONSULAR ASUNCION,Jan 2014,46,PRY
OFICINA CONSULAR ASUNCION,Feb 2014,28,PRY
OFICINA CONSULAR ASUNCION,Mar 2014,29,PRY
OFICINA CONSULAR ASUNCION,Apr 2014,28,PRY
OFICINA CONSULAR ASUNCION,May 2014,43,PRY
OFICINA CONSULAR ASUNCION,Jun 2014,28,PRY
OFICINA CONSULAR ASUNCION,Jul 2014,15,PRY
OFICINA CONSULAR ASUNCION,Aug 2014,41,PRY
OFICINA CONSULAR ASUNCION,Sep 2014,9,PRY
OFICINA CONSULAR ASUNCION,Oct 2014,5,PRY
OFICINA CONSULAR ASUNCION,Nov 2014,6,PRY
OFICINA CONSULAR ASUNCION,Dec 2014,14,PRY
OFICINA CONSULAR ASUNCION,Jan 2015,24,PRY
OFICINA CONSULAR ASUNCION,Feb 2015,3,PRY
OFICINA CONSULAR ASUNCION,Mar 2015,9,PRY
OFICINA CONSULAR ASUNCION,Apr 2015,15,PRY
OFICINA CONSULAR ASUNCION,May 2015,6,PRY
OFICINA CONSULAR ASUNCION,Jul 2015,6,PRY
OFICINA CONSULAR ASUNCION,Aug 2015,8,PRY
OFICINA CONSULAR ASUNCION,Sep 2015,4,PRY
OFICINA CONSULAR ASUNCION,Oct 2015,3,PRY
OFICINA CONSULAR ASUNCION,Nov 2015,7,PRY
OFICINA CONSULAR ASUNCION,Dec 2015,9,PRY
OFICINA CONSULAR ASUNCION,Jan 2016,11,PRY
OFICINA CONSULAR ASUNCION,Feb 2016,12,PRY
OFICINA CONSULAR ASUNCION,Mar 2016,8,PRY
OFICINA CONSULAR ASUNCION,May 2016,15,PRY
OFICINA CONSULAR ASUNCION,Jun 2016,14,PRY
OFICINA CONSULAR ASUNCION,Jul 2016,15,PRY
OFICINA CONSULAR ASUNCION,Aug 2016,8,PRY
OFICINA CONSULAR ASUNCION,Sep 2016,9,PRY
OFICINA CONSULAR ASUNCION,Oct 2016,11,PRY
OFICINA CONSULAR ASUNCION,Nov 2016,7,PRY
OFICINA CONSULAR ASUNCION,Dec 2016,13,PRY
OFICINA CONSULAR ASUNCION,Jan 2017,23,PRY
OFICINA CONSULAR ASUNCION,Feb 2017,13,PRY
OFICINA CONSULAR ASUNCION,Mar 2017,13,PRY
OFICINA CONSULAR ASUNCION,Apr 2017,9,PRY
OFICINA CONSULAR ASUNCION,May 2017,10,PRY
OFICINA CONSULAR ASUNCION,Jun 2017,8,PRY
OFICINA CONSULAR ASUNCION,Jul 2017,3,PRY
OFICINA CONSULAR ASUNCION,Aug 2017,15,PRY
OFICINA CONSULAR ASUNCION,Sep 2017,13,PRY
OFICINA CONSULAR ASUNCION,Oct 2017,9,PRY
OFICINA CONSULAR ASUNCION,Nov 2017,13,PRY
OFICINA CONSULAR ASUNCION,Dec 2017,5,PRY
