symbol,date,price,pais
OFICINA CONSULAR DOHA,Nov 2012,13,QAT
OFICINA CONSULAR DOHA,Dec 2012,3,QAT
OFICINA CONSULAR DOHA,Jan 2013,1,QAT
OFICINA CONSULAR DOHA,Feb 2013,12,QAT
OFICINA CONSULAR DOHA,Mar 2013,18,QAT
OFICINA CONSULAR DOHA,Apr 2013,42,QAT
OFICINA CONSULAR DOHA,May 2013,5,QAT
OFICINA CONSULAR DOHA,Jun 2013,10,QAT
OFICINA CONSULAR DOHA,Jul 2013,7,QAT
OFICINA CONSULAR DOHA,Sep 2013,118,QAT
OFICINA CONSULAR DOHA,Oct 2013,16,QAT
OFICINA CONSULAR DOHA,Nov 2013,7,QAT
OFICINA CONSULAR DOHA,Dec 2013,11,QAT
OFICINA CONSULAR DOHA,Jan 2014,35,QAT
OFICINA CONSULAR DOHA,Feb 2014,8,QAT
OFICINA CONSULAR DOHA,Mar 2014,7,QAT
OFICINA CONSULAR DOHA,Apr 2014,10,QAT
OFICINA CONSULAR DOHA,May 2014,12,QAT
OFICINA CONSULAR DOHA,Jun 2014,2,QAT
OFICINA CONSULAR DOHA,Jul 2014,5,QAT
OFICINA CONSULAR DOHA,Aug 2014,8,QAT
OFICINA CONSULAR DOHA,Sep 2014,8,QAT
OFICINA CONSULAR DOHA,Oct 2014,4,QAT
OFICINA CONSULAR DOHA,Nov 2014,13,QAT
OFICINA CONSULAR DOHA,Dec 2014,3,QAT
OFICINA CONSULAR DOHA,Jan 2015,19,QAT
OFICINA CONSULAR DOHA,Feb 2015,4,QAT
OFICINA CONSULAR DOHA,Mar 2015,8,QAT
OFICINA CONSULAR DOHA,Apr 2015,24,QAT
OFICINA CONSULAR DOHA,May 2015,19,QAT
OFICINA CONSULAR DOHA,Jun 2015,18,QAT
OFICINA CONSULAR DOHA,Jul 2015,10,QAT
OFICINA CONSULAR DOHA,Aug 2015,17,QAT
OFICINA CONSULAR DOHA,Oct 2015,10,QAT
OFICINA CONSULAR DOHA,Nov 2015,3,QAT
OFICINA CONSULAR DOHA,Dec 2015,21,QAT
OFICINA CONSULAR DOHA,Jan 2016,4,QAT
OFICINA CONSULAR DOHA,Feb 2016,2,QAT
OFICINA CONSULAR DOHA,Mar 2016,6,QAT
OFICINA CONSULAR DOHA,Apr 2016,8,QAT
OFICINA CONSULAR DOHA,May 2016,28,QAT
OFICINA CONSULAR DOHA,Jun 2016,11,QAT
OFICINA CONSULAR DOHA,Jul 2016,7,QAT
OFICINA CONSULAR DOHA,Aug 2016,2,QAT
OFICINA CONSULAR DOHA,Sep 2016,8,QAT
OFICINA CONSULAR DOHA,Oct 2016,13,QAT
OFICINA CONSULAR DOHA,Nov 2016,3,QAT
OFICINA CONSULAR DOHA,Dec 2016,23,QAT
OFICINA CONSULAR DOHA,Jan 2017,7,QAT
OFICINA CONSULAR DOHA,Feb 2017,6,QAT
OFICINA CONSULAR DOHA,Mar 2017,44,QAT
OFICINA CONSULAR DOHA,Apr 2017,46,QAT
OFICINA CONSULAR DOHA,May 2017,17,QAT
OFICINA CONSULAR DOHA,Jun 2017,9,QAT
OFICINA CONSULAR DOHA,Jul 2017,11,QAT
OFICINA CONSULAR DOHA,Aug 2017,14,QAT
OFICINA CONSULAR DOHA,Sep 2017,12,QAT
OFICINA CONSULAR DOHA,Oct 2017,24,QAT
OFICINA CONSULAR DOHA,Nov 2017,3,QAT
OFICINA CONSULAR DOHA,Dec 2017,12,QAT
