symbol,date,price,pais
OFICINA CONSULAR MOSCU,Dec 2012,22,RUS
OFICINA CONSULAR MOSCU,Jan 2013,36,RUS
OFICINA CONSULAR MOSCU,Feb 2013,35,RUS
OFICINA CONSULAR MOSCU,Mar 2013,27,RUS
OFICINA CONSULAR MOSCU,Apr 2013,42,RUS
OFICINA CONSULAR MOSCU,May 2013,27,RUS
OFICINA CONSULAR MOSCU,Jun 2013,31,RUS
OFICINA CONSULAR MOSCU,Jul 2013,52,RUS
OFICINA CONSULAR MOSCU,Aug 2013,80,RUS
OFICINA CONSULAR MOSCU,Sep 2013,58,RUS
OFICINA CONSULAR MOSCU,Oct 2013,18,RUS
OFICINA CONSULAR MOSCU,Nov 2013,82,RUS
OFICINA CONSULAR MOSCU,Dec 2013,37,RUS
OFICINA CONSULAR MOSCU,Jan 2014,75,RUS
OFICINA CONSULAR MOSCU,Feb 2014,24,RUS
OFICINA CONSULAR MOSCU,Mar 2014,7,RUS
OFICINA CONSULAR MOSCU,Apr 2014,39,RUS
OFICINA CONSULAR MOSCU,May 2014,32,RUS
OFICINA CONSULAR MOSCU,Jun 2014,23,RUS
OFICINA CONSULAR MOSCU,Jul 2014,41,RUS
OFICINA CONSULAR MOSCU,Aug 2014,60,RUS
OFICINA CONSULAR MOSCU,Sep 2014,50,RUS
OFICINA CONSULAR MOSCU,Oct 2014,71,RUS
OFICINA CONSULAR MOSCU,Nov 2014,10,RUS
OFICINA CONSULAR MOSCU,Dec 2014,39,RUS
OFICINA CONSULAR MOSCU,Jan 2015,20,RUS
OFICINA CONSULAR MOSCU,Feb 2015,30,RUS
OFICINA CONSULAR MOSCU,Mar 2015,28,RUS
OFICINA CONSULAR MOSCU,Apr 2015,32,RUS
OFICINA CONSULAR MOSCU,May 2015,33,RUS
OFICINA CONSULAR MOSCU,Jun 2015,67,RUS
OFICINA CONSULAR MOSCU,Jul 2015,45,RUS
OFICINA CONSULAR MOSCU,Aug 2015,71,RUS
OFICINA CONSULAR MOSCU,Sep 2015,65,RUS
OFICINA CONSULAR MOSCU,Oct 2015,43,RUS
OFICINA CONSULAR MOSCU,Nov 2015,40,RUS
OFICINA CONSULAR MOSCU,Dec 2015,28,RUS
OFICINA CONSULAR MOSCU,Jan 2016,28,RUS
OFICINA CONSULAR MOSCU,Feb 2016,36,RUS
OFICINA CONSULAR MOSCU,Mar 2016,27,RUS
OFICINA CONSULAR MOSCU,Apr 2016,39,RUS
OFICINA CONSULAR MOSCU,May 2016,34,RUS
OFICINA CONSULAR MOSCU,Jun 2016,46,RUS
OFICINA CONSULAR MOSCU,Jul 2016,30,RUS
OFICINA CONSULAR MOSCU,Aug 2016,52,RUS
OFICINA CONSULAR MOSCU,Sep 2016,26,RUS
OFICINA CONSULAR MOSCU,Oct 2016,46,RUS
OFICINA CONSULAR MOSCU,Nov 2016,54,RUS
OFICINA CONSULAR MOSCU,Dec 2016,23,RUS
OFICINA CONSULAR MOSCU,Jan 2017,40,RUS
OFICINA CONSULAR MOSCU,Feb 2017,58,RUS
OFICINA CONSULAR MOSCU,Mar 2017,34,RUS
OFICINA CONSULAR MOSCU,Apr 2017,27,RUS
OFICINA CONSULAR MOSCU,May 2017,26,RUS
OFICINA CONSULAR MOSCU,Jun 2017,91,RUS
OFICINA CONSULAR MOSCU,Jul 2017,112,RUS
OFICINA CONSULAR MOSCU,Aug 2017,215,RUS
OFICINA CONSULAR MOSCU,Sep 2017,107,RUS
OFICINA CONSULAR MOSCU,Oct 2017,99,RUS
OFICINA CONSULAR MOSCU,Nov 2017,100,RUS
OFICINA CONSULAR MOSCU,Dec 2017,109,RUS
