symbol,date,price,pais
OFICINA CONSULAR SAN SALVADOR,Dec 2012,8,SLV
OFICINA CONSULAR SAN SALVADOR,Jan 2013,15,SLV
OFICINA CONSULAR SAN SALVADOR,Feb 2013,5,SLV
OFICINA CONSULAR SAN SALVADOR,Mar 2013,2,SLV
OFICINA CONSULAR SAN SALVADOR,Apr 2013,17,SLV
OFICINA CONSULAR SAN SALVADOR,May 2013,16,SLV
OFICINA CONSULAR SAN SALVADOR,Jun 2013,3,SLV
OFICINA CONSULAR SAN SALVADOR,Jul 2013,9,SLV
OFICINA CONSULAR SAN SALVADOR,Aug 2013,1,SLV
OFICINA CONSULAR SAN SALVADOR,Sep 2013,16,SLV
OFICINA CONSULAR SAN SALVADOR,Oct 2013,23,SLV
OFICINA CONSULAR SAN SALVADOR,Nov 2013,19,SLV
OFICINA CONSULAR SAN SALVADOR,Dec 2013,9,SLV
OFICINA CONSULAR SAN SALVADOR,Jan 2014,25,SLV
OFICINA CONSULAR SAN SALVADOR,Feb 2014,6,SLV
OFICINA CONSULAR SAN SALVADOR,Mar 2014,14,SLV
OFICINA CONSULAR SAN SALVADOR,Apr 2014,5,SLV
OFICINA CONSULAR SAN SALVADOR,May 2014,6,SLV
OFICINA CONSULAR SAN SALVADOR,Jul 2014,12,SLV
OFICINA CONSULAR SAN SALVADOR,Aug 2014,12,SLV
OFICINA CONSULAR SAN SALVADOR,Sep 2014,12,SLV
OFICINA CONSULAR SAN SALVADOR,Oct 2014,2,SLV
OFICINA CONSULAR SAN SALVADOR,Nov 2014,7,SLV
OFICINA CONSULAR SAN SALVADOR,Dec 2014,7,SLV
OFICINA CONSULAR SAN SALVADOR,Jan 2015,5,SLV
OFICINA CONSULAR SAN SALVADOR,Feb 2015,4,SLV
OFICINA CONSULAR SAN SALVADOR,Mar 2015,2,SLV
OFICINA CONSULAR SAN SALVADOR,Apr 2015,9,SLV
OFICINA CONSULAR SAN SALVADOR,May 2015,6,SLV
OFICINA CONSULAR SAN SALVADOR,Jun 2015,19,SLV
OFICINA CONSULAR SAN SALVADOR,Jul 2015,5,SLV
OFICINA CONSULAR SAN SALVADOR,Aug 2015,6,SLV
OFICINA CONSULAR SAN SALVADOR,Sep 2015,3,SLV
OFICINA CONSULAR SAN SALVADOR,Oct 2015,3,SLV
OFICINA CONSULAR SAN SALVADOR,Nov 2015,8,SLV
OFICINA CONSULAR SAN SALVADOR,Dec 2015,1,SLV
OFICINA CONSULAR SAN SALVADOR,Jan 2016,8,SLV
OFICINA CONSULAR SAN SALVADOR,Feb 2016,4,SLV
OFICINA CONSULAR SAN SALVADOR,Mar 2016,12,SLV
OFICINA CONSULAR SAN SALVADOR,Apr 2016,2,SLV
OFICINA CONSULAR SAN SALVADOR,May 2016,11,SLV
OFICINA CONSULAR SAN SALVADOR,Jun 2016,4,SLV
OFICINA CONSULAR SAN SALVADOR,Jul 2016,2,SLV
OFICINA CONSULAR SAN SALVADOR,Aug 2016,2,SLV
OFICINA CONSULAR SAN SALVADOR,Sep 2016,8,SLV
OFICINA CONSULAR SAN SALVADOR,Oct 2016,6,SLV
OFICINA CONSULAR SAN SALVADOR,Nov 2016,4,SLV
OFICINA CONSULAR SAN SALVADOR,Dec 2016,7,SLV
OFICINA CONSULAR SAN SALVADOR,Jan 2017,6,SLV
OFICINA CONSULAR SAN SALVADOR,Feb 2017,4,SLV
OFICINA CONSULAR SAN SALVADOR,Mar 2017,6,SLV
OFICINA CONSULAR SAN SALVADOR,Apr 2017,1,SLV
OFICINA CONSULAR SAN SALVADOR,May 2017,4,SLV
OFICINA CONSULAR SAN SALVADOR,Jun 2017,35,SLV
OFICINA CONSULAR SAN SALVADOR,Jul 2017,12,SLV
OFICINA CONSULAR SAN SALVADOR,Aug 2017,14,SLV
OFICINA CONSULAR SAN SALVADOR,Sep 2017,7,SLV
OFICINA CONSULAR SAN SALVADOR,Oct 2017,22,SLV
OFICINA CONSULAR SAN SALVADOR,Nov 2017,7,SLV
OFICINA CONSULAR SAN SALVADOR,Dec 2017,7,SLV
