symbol,date,price,pais
OFICINA CONSULAR ESTOCOLMO,Dec 2012,21,SWE
OFICINA CONSULAR ESTOCOLMO,Jan 2013,26,SWE
OFICINA CONSULAR ESTOCOLMO,Feb 2013,14,SWE
OFICINA CONSULAR ESTOCOLMO,Mar 2013,13,SWE
OFICINA CONSULAR ESTOCOLMO,Apr 2013,18,SWE
OFICINA CONSULAR ESTOCOLMO,May 2013,18,SWE
OFICINA CONSULAR ESTOCOLMO,Jun 2013,22,SWE
OFICINA CONSULAR ESTOCOLMO,Jul 2013,62,SWE
OFICINA CONSULAR ESTOCOLMO,Aug 2013,56,SWE
OFICINA CONSULAR ESTOCOLMO,Sep 2013,25,SWE
OFICINA CONSULAR ESTOCOLMO,Oct 2013,28,SWE
OFICINA CONSULAR ESTOCOLMO,Nov 2013,27,SWE
OFICINA CONSULAR ESTOCOLMO,Dec 2013,23,SWE
OFICINA CONSULAR ESTOCOLMO,Jan 2014,11,SWE
OFICINA CONSULAR ESTOCOLMO,Feb 2014,24,SWE
OFICINA CONSULAR ESTOCOLMO,Mar 2014,21,SWE
OFICINA CONSULAR ESTOCOLMO,Apr 2014,13,SWE
OFICINA CONSULAR ESTOCOLMO,May 2014,12,SWE
OFICINA CONSULAR ESTOCOLMO,Jun 2014,19,SWE
OFICINA CONSULAR ESTOCOLMO,Jul 2014,17,SWE
OFICINA CONSULAR ESTOCOLMO,Aug 2014,95,SWE
OFICINA CONSULAR ESTOCOLMO,Sep 2014,35,SWE
OFICINA CONSULAR ESTOCOLMO,Oct 2014,20,SWE
OFICINA CONSULAR ESTOCOLMO,Nov 2014,19,SWE
OFICINA CONSULAR ESTOCOLMO,Dec 2014,19,SWE
OFICINA CONSULAR ESTOCOLMO,Jan 2015,25,SWE
OFICINA CONSULAR ESTOCOLMO,Feb 2015,11,SWE
OFICINA CONSULAR ESTOCOLMO,Mar 2015,23,SWE
OFICINA CONSULAR ESTOCOLMO,Apr 2015,15,SWE
OFICINA CONSULAR ESTOCOLMO,May 2015,15,SWE
OFICINA CONSULAR ESTOCOLMO,Jun 2015,20,SWE
OFICINA CONSULAR ESTOCOLMO,Jul 2015,33,SWE
OFICINA CONSULAR ESTOCOLMO,Aug 2015,65,SWE
OFICINA CONSULAR ESTOCOLMO,Sep 2015,16,SWE
OFICINA CONSULAR ESTOCOLMO,Oct 2015,17,SWE
OFICINA CONSULAR ESTOCOLMO,Nov 2015,3,SWE
OFICINA CONSULAR ESTOCOLMO,Dec 2015,13,SWE
OFICINA CONSULAR ESTOCOLMO,Jan 2016,10,SWE
OFICINA CONSULAR ESTOCOLMO,Feb 2016,7,SWE
OFICINA CONSULAR ESTOCOLMO,Mar 2016,14,SWE
OFICINA CONSULAR ESTOCOLMO,Apr 2016,11,SWE
OFICINA CONSULAR ESTOCOLMO,May 2016,12,SWE
OFICINA CONSULAR ESTOCOLMO,Jun 2016,26,SWE
OFICINA CONSULAR ESTOCOLMO,Jul 2016,29,SWE
OFICINA CONSULAR ESTOCOLMO,Aug 2016,40,SWE
OFICINA CONSULAR ESTOCOLMO,Sep 2016,30,SWE
OFICINA CONSULAR ESTOCOLMO,Oct 2016,5,SWE
OFICINA CONSULAR ESTOCOLMO,Nov 2016,11,SWE
OFICINA CONSULAR ESTOCOLMO,Dec 2016,15,SWE
OFICINA CONSULAR ESTOCOLMO,Jan 2017,19,SWE
OFICINA CONSULAR ESTOCOLMO,Feb 2017,11,SWE
OFICINA CONSULAR ESTOCOLMO,Mar 2017,12,SWE
OFICINA CONSULAR ESTOCOLMO,Apr 2017,15,SWE
OFICINA CONSULAR ESTOCOLMO,May 2017,5,SWE
OFICINA CONSULAR ESTOCOLMO,Jun 2017,25,SWE
OFICINA CONSULAR ESTOCOLMO,Jul 2017,31,SWE
OFICINA CONSULAR ESTOCOLMO,Aug 2017,63,SWE
OFICINA CONSULAR ESTOCOLMO,Sep 2017,24,SWE
OFICINA CONSULAR ESTOCOLMO,Oct 2017,15,SWE
OFICINA CONSULAR ESTOCOLMO,Nov 2017,9,SWE
OFICINA CONSULAR ESTOCOLMO,Dec 2017,12,SWE
