symbol,date,price,pais
CONSULADO GENERAL LAUSANNE,Dec 2012,63,SWZ
CONSULADO GENERAL LAUSANNE,Jan 2013,71,SWZ
CONSULADO GENERAL LAUSANNE,Feb 2013,75,SWZ
CONSULADO GENERAL LAUSANNE,Mar 2013,71,SWZ
CONSULADO GENERAL LAUSANNE,Apr 2013,81,SWZ
CONSULADO GENERAL LAUSANNE,May 2013,77,SWZ
CONSULADO GENERAL LAUSANNE,Jun 2013,85,SWZ
CONSULADO GENERAL LAUSANNE,Jul 2013,99,SWZ
CONSULADO GENERAL LAUSANNE,Aug 2013,101,SWZ
CONSULADO GENERAL LAUSANNE,Sep 2013,74,SWZ
CONSULADO GENERAL LAUSANNE,Oct 2013,100,SWZ
CONSULADO GENERAL LAUSANNE,Nov 2013,137,SWZ
OFICINA CONSULAR BERNA,Dec 2012,23,SWZ
OFICINA CONSULAR BERNA,Jan 2013,36,SWZ
OFICINA CONSULAR BERNA,Feb 2013,49,SWZ
OFICINA CONSULAR BERNA,Mar 2013,32,SWZ
OFICINA CONSULAR BERNA,Apr 2013,52,SWZ
OFICINA CONSULAR BERNA,May 2013,53,SWZ
OFICINA CONSULAR BERNA,Jun 2013,44,SWZ
OFICINA CONSULAR BERNA,Jul 2013,66,SWZ
OFICINA CONSULAR BERNA,Aug 2013,74,SWZ
OFICINA CONSULAR BERNA,Sep 2013,97,SWZ
OFICINA CONSULAR BERNA,Oct 2013,48,SWZ
OFICINA CONSULAR BERNA,Nov 2013,93,SWZ
OFICINA CONSULAR BERNA,Dec 2013,67,SWZ
OFICINA CONSULAR BERNA,Jan 2014,80,SWZ
OFICINA CONSULAR BERNA,Feb 2014,86,SWZ
OFICINA CONSULAR BERNA,Mar 2014,67,SWZ
OFICINA CONSULAR BERNA,Apr 2014,127,SWZ
OFICINA CONSULAR BERNA,May 2014,114,SWZ
OFICINA CONSULAR BERNA,Jun 2014,100,SWZ
OFICINA CONSULAR BERNA,Jul 2014,167,SWZ
OFICINA CONSULAR BERNA,Aug 2014,96,SWZ
OFICINA CONSULAR BERNA,Sep 2014,96,SWZ
OFICINA CONSULAR BERNA,Oct 2014,75,SWZ
OFICINA CONSULAR BERNA,Nov 2014,81,SWZ
OFICINA CONSULAR BERNA,Dec 2014,49,SWZ
OFICINA CONSULAR BERNA,Jan 2015,65,SWZ
OFICINA CONSULAR BERNA,Feb 2015,77,SWZ
OFICINA CONSULAR BERNA,Mar 2015,75,SWZ
OFICINA CONSULAR BERNA,Apr 2015,63,SWZ
OFICINA CONSULAR BERNA,May 2015,44,SWZ
OFICINA CONSULAR BERNA,Jun 2015,80,SWZ
OFICINA CONSULAR BERNA,Jul 2015,122,SWZ
OFICINA CONSULAR BERNA,Aug 2015,89,SWZ
OFICINA CONSULAR BERNA,Sep 2015,70,SWZ
OFICINA CONSULAR BERNA,Oct 2015,105,SWZ
OFICINA CONSULAR BERNA,Nov 2015,70,SWZ
OFICINA CONSULAR BERNA,Dec 2015,53,SWZ
OFICINA CONSULAR BERNA,Jan 2016,54,SWZ
OFICINA CONSULAR BERNA,Feb 2016,61,SWZ
OFICINA CONSULAR BERNA,Mar 2016,50,SWZ
OFICINA CONSULAR BERNA,Apr 2016,59,SWZ
OFICINA CONSULAR BERNA,May 2016,62,SWZ
OFICINA CONSULAR BERNA,Jun 2016,50,SWZ
OFICINA CONSULAR BERNA,Jul 2016,72,SWZ
OFICINA CONSULAR BERNA,Aug 2016,75,SWZ
OFICINA CONSULAR BERNA,Sep 2016,70,SWZ
OFICINA CONSULAR BERNA,Oct 2016,70,SWZ
OFICINA CONSULAR BERNA,Nov 2016,50,SWZ
OFICINA CONSULAR BERNA,Dec 2016,46,SWZ
OFICINA CONSULAR BERNA,Jan 2017,57,SWZ
OFICINA CONSULAR BERNA,Feb 2017,62,SWZ
OFICINA CONSULAR BERNA,Mar 2017,51,SWZ
OFICINA CONSULAR BERNA,Apr 2017,46,SWZ
OFICINA CONSULAR BERNA,May 2017,46,SWZ
OFICINA CONSULAR BERNA,Jun 2017,56,SWZ
OFICINA CONSULAR BERNA,Jul 2017,62,SWZ
OFICINA CONSULAR BERNA,Aug 2017,87,SWZ
OFICINA CONSULAR BERNA,Sep 2017,71,SWZ
OFICINA CONSULAR BERNA,Oct 2017,42,SWZ
OFICINA CONSULAR BERNA,Nov 2017,28,SWZ
OFICINA CONSULAR BERNA,Dec 2017,39,SWZ
