symbol,date,price,pais
OFICINA CONSULAR ANKARA,Mar 2013,1,TUR
OFICINA CONSULAR ANKARA,Apr 2013,1,TUR
OFICINA CONSULAR ANKARA,Jun 2013,2,TUR
OFICINA CONSULAR ANKARA,Jul 2013,1,TUR
OFICINA CONSULAR ANKARA,Sep 2013,1,TUR
OFICINA CONSULAR ANKARA,Nov 2013,3,TUR
OFICINA CONSULAR ANKARA,Jan 2014,2,TUR
OFICINA CONSULAR ANKARA,Feb 2014,1,TUR
OFICINA CONSULAR ANKARA,Apr 2014,1,TUR
OFICINA CONSULAR ANKARA,May 2014,1,TUR
OFICINA CONSULAR ANKARA,Jul 2014,2,TUR
OFICINA CONSULAR ANKARA,Nov 2014,1,TUR
OFICINA CONSULAR ANKARA,Apr 2015,1,TUR
OFICINA CONSULAR ANKARA,May 2015,1,TUR
OFICINA CONSULAR ANKARA,Jun 2015,3,TUR
OFICINA CONSULAR ANKARA,Nov 2015,1,TUR
OFICINA CONSULAR ANKARA,Jan 2016,1,TUR
OFICINA CONSULAR ANKARA,Jun 2016,3,TUR
OFICINA CONSULAR ANKARA,Aug 2016,1,TUR
OFICINA CONSULAR ANKARA,Sep 2016,1,TUR
OFICINA CONSULAR ANKARA,Jun 2017,2,TUR
OFICINA CONSULAR ANKARA,Aug 2017,3,TUR
OFICINA CONSULAR ANKARA,Sep 2017,1,TUR
