date	APOSTILLA	C. C. VISADO	CANCELACION VISA	CENSO MIGRATORIO	DOCUMENTOS DE VIAJE	ESTADO CIVIL	LEGALIZACIONES	NATURALIZACION	NOTARIALES	SOLICITUD CANCELACION	SOLICITUD VISA	TRANSFERENCIA VISA	VISADO
20100902													1
20100907													1
20100916													2
20100928													2
20101004													1
20101007													2
20101011													1
20101012													3
20101105													1
20101108													1
20101110	1												
20101112													1
20101116													1
20101124													1
20101125													1
20101126													1
20101129											3		1
20101202													1
20101208													1
20101213													3
20101214													4
20101215													1
20101216													1
20101217													3
20101220													6
20101222													2
20101223													6
20101224													3
20101227													2
20101228	2												6
20101229													15
20101230													6
20110103	820		1				91			1	24		24
20110104	1023						88				58		58
20110105	1095		1				130			1	41		40
20110106	1275						157				61		55
20110107	1450						88				60		61
20110108	172						15				18		18
20110109											1		1
20110110	1355		1				211			1	61		59
20110111	1347		1				136	2		1	70		74
20110112	1460						141	2			67		61
20110113	1287						138	6			55		58
20110114	1453						120	8			63		62
20110116											2		2
20110117	1228						142	2			71		66
20110118	1412						95	4			44		44
20110119	1453						141	6			74		74
20110120	1433						144	7			63		61
20110121	1438		2				158	1		2	64		66
20110123											1		1
20110124	1210						155	5			102		102
20110125	1367						134	5			77		57
20110126	1444						218	9			58	1	69
20110127	1382		5				131	6		5	68		67
20110128	1240						119	8			73		76
20110129											1		1
20110131	1263		1				132	5		1	87	2	83
20110201	1202		3				148	6		3	72		65
20110202	1243		1				157	6		1	49		50
20110203	1490		3				136	3		3	92		82
20110204	1603		2				141	7		2	95		96
20110207	1415						191	2			54		57
20110208	1651		2				145	6		2	69		82
20110209	1537		3				147	5		3	49		50
20110210	1437		6				153	8		6	83		65
20110211	1697						122	3			73	1	74
20110213											1		1
20110214	1306		1				130	3		1	57		63
20110215	1142		5				150	3		5	84		78
20110216	1436		1				153	2		1	66	2	68
20110217	1525						151	12			88		84
20110218	1659		2				124	9		2	80	1	83
20110220											3		3
20110221	1384						107	9			60	1	56
20110222	1635		1				189	4		1	50	1	66
20110223	1536		2				108	6		2	46	1	42
20110224	1514		1				141	4		1	107	2	94
20110225	1396		5				142	3		5	56	1	52
20110227											2		2
20110228	1231		6				143	10		6	50	1	49
20110301	1566		1				120	4		1	87	2	63
20110302	1548		4				197	9		4	58	1	94
20110303	1713		1				181	7		1	84		78
20110304	1581						113	1			48		49
20110306											1		
20110307													1
20110308											2		
20110309	1258						136	7			83	1	70
20110310	1582		3				168	5		3	90	1	87
20110311	1492						132	6			65		64
20110312	266						30	1			7		6
20110313													1
20110314	1453		1				137	8		1	49		46
20110315	1494		3				145	7		3	79		73
20110316	1526		2				129	3		2	55	1	73
20110317	1581		1				149	7		1	94	4	68
20110318	1612						122	10			59		63
20110319	245		1				30	1		1	15	3	18
20110320											1		1
20110321	1503		1				90	6		1	58	2	70
20110322	1641		1				116	2		1	62	2	60
20110323	1536		1				121	5		1	70	1	65
20110324	1516		1				190	5		1	94		80
20110325	1534						191	6			53	1	46
20110327											1		1
20110328	1289		1				136	7		1	49	1	50
20110329	1560						139	4			90		94
20110330	1407		11				124	7		11	59		64
20110331	1444		10				141	7		10	82		67
20110401	1490						145	6			42	4	43
20110402											3		3
20110404	1279		7				131	2		7	64		63
20110405	1274		3				87	3	1	3	43	1	50
20110406	1347		1				149	13		1	91	1	86
20110407	1466		4				166	6		4	73	3	59
20110408	1578		7				158	9		7	59		60
20110410											3		3
20110411	1297		5				88	4		5	62	4	71
20110412	1384						129	6			78	3	68
20110413	1413		3				129	9		3	80	1	87
20110414	1443		10				85	11		10	64	4	54
20110415	1517		6				82	6	1	6	36	1	33
20110417											1		1
20110418	1565		3				109	11		3	96	1	84
20110419	1540		6				115	10		6	77	4	86
20110420	1489		4				175	11		4	63		95
20110421	918						134	2			43	1	48
20110424											2		2
20110425	1260		4				83	6		4	70		56
20110426	1187		4				121	8		4	58	1	86
20110427	1339		7				91	7		7	103		103
20110428	1321		3				107	7		3	116	2	109
20110429	1308		5				128	8		5	35		34
20110502	1351		3				148	6		3	64	4	71
20110503	1176		6				121	9		6	65	1	51
20110504	1454		5				89	13		5	78		89
20110505	1364		9				80	6		9	72	3	76
20110506	842		1				45	4		1	37	4	40
20110509	1316		7				101	3		7	57		63
20110510	1502		3				146	5		3	90		78
20110511	1573		3				96	8		3	41		48
20110512	1388		3				94	4		3	53		51
20110513	1529		1				85	10		1	49	2	51
20110514	57		1				2			1	12		11
20110516	1333		2				98	5		2	72		73
20110517	1382		4				89	9		4	87	1	89
20110518	1553		3				96	8		3	68	1	45
20110519	1393		1				114	4		1	83	1	118
20110520	1384						121	11			71	2	73
20110522													2
20110523	1383		13				125	9		13	65	3	62
20110524	1357		1				108	2		1	73	1	71
20110525	1488		1				96	4		1	70		64
20110526	1734		2				93	8		2	62	3	75
20110529											3		16
20110530	1234		4				91	7		4	59	1	73
20110531	1249		2				120	5		2	69	1	65
20110601	1225						106	2			54	1	46
20110602	1241		2				98	5		2	81	1	90
20110603	1446						85	8			39	1	58
20110606	1239		8				95	5		8	51	1	50
20110607	1394						67	5			68	2	71
20110608	1321		2				112	6		2	61	1	65
20110609	1374		9				80	4		9	84		88
20110610	1550		6				71	8		6	37	3	31
20110612											1		1
20110613	1277		1				110	7		1	50	1	53
20110614	1414		4				93	2		4	58		64
20110615	1355						104	6			62	2	62
20110616	1406						130	4			97		88
20110617	1358						69	4			39	1	64
20110619											1		1
20110620	1215		4				82	6		4	62		62
20110621	1506		1				110	5		1	56	6	66
20110622	1409		8				130	10		8	52		56
20110623	1499		2				83	8		2	79	1	67
20110624	1358		3				105	4		3	46	2	50
20110626													2
20110627	1303		2				85	14		2	55	1	54
20110628	1447		2				82	13		2	78	4	85
20110629	1212		3				120	6		3	63	2	64
20110630	1221		2				109	7		2	41	2	45
20110701	1338		1				72	10		1	31	1	32
20110703											2		2
20110704	1351		3				106	19		3	48		37
20110705	1372		2				90	9		2	68	2	75
20110706	1374		10				122	10		10	79	1	98
20110707	1388		1				117	10		1	77		64
20110708	1466						92				2		3
