symbol,date,price,pais
OFICINA CONSULAR MONTEVIDEO,Dec 2012,12,URY
OFICINA CONSULAR MONTEVIDEO,Jan 2013,12,URY
OFICINA CONSULAR MONTEVIDEO,Feb 2013,11,URY
OFICINA CONSULAR MONTEVIDEO,Mar 2013,11,URY
OFICINA CONSULAR MONTEVIDEO,Apr 2013,5,URY
OFICINA CONSULAR MONTEVIDEO,May 2013,6,URY
OFICINA CONSULAR MONTEVIDEO,Jun 2013,13,URY
OFICINA CONSULAR MONTEVIDEO,Jul 2013,11,URY
OFICINA CONSULAR MONTEVIDEO,Aug 2013,5,URY
OFICINA CONSULAR MONTEVIDEO,Sep 2013,2,URY
OFICINA CONSULAR MONTEVIDEO,Oct 2013,7,URY
OFICINA CONSULAR MONTEVIDEO,Nov 2013,8,URY
OFICINA CONSULAR MONTEVIDEO,Dec 2013,14,URY
OFICINA CONSULAR MONTEVIDEO,Jan 2014,10,URY
OFICINA CONSULAR MONTEVIDEO,Feb 2014,21,URY
OFICINA CONSULAR MONTEVIDEO,Mar 2014,10,URY
OFICINA CONSULAR MONTEVIDEO,Apr 2014,3,URY
OFICINA CONSULAR MONTEVIDEO,May 2014,10,URY
OFICINA CONSULAR MONTEVIDEO,Jun 2014,10,URY
OFICINA CONSULAR MONTEVIDEO,Jul 2014,5,URY
OFICINA CONSULAR MONTEVIDEO,Aug 2014,4,URY
OFICINA CONSULAR MONTEVIDEO,Sep 2014,2,URY
OFICINA CONSULAR MONTEVIDEO,Oct 2014,12,URY
OFICINA CONSULAR MONTEVIDEO,Nov 2014,3,URY
OFICINA CONSULAR MONTEVIDEO,Dec 2014,4,URY
OFICINA CONSULAR MONTEVIDEO,Jan 2015,13,URY
OFICINA CONSULAR MONTEVIDEO,Feb 2015,8,URY
OFICINA CONSULAR MONTEVIDEO,Mar 2015,8,URY
OFICINA CONSULAR MONTEVIDEO,Apr 2015,5,URY
OFICINA CONSULAR MONTEVIDEO,May 2015,16,URY
OFICINA CONSULAR MONTEVIDEO,Jun 2015,22,URY
OFICINA CONSULAR MONTEVIDEO,Jul 2015,7,URY
OFICINA CONSULAR MONTEVIDEO,Aug 2015,10,URY
OFICINA CONSULAR MONTEVIDEO,Sep 2015,11,URY
OFICINA CONSULAR MONTEVIDEO,Oct 2015,1,URY
OFICINA CONSULAR MONTEVIDEO,Nov 2015,13,URY
OFICINA CONSULAR MONTEVIDEO,Dec 2015,9,URY
OFICINA CONSULAR MONTEVIDEO,Jan 2016,17,URY
OFICINA CONSULAR MONTEVIDEO,Feb 2016,11,URY
OFICINA CONSULAR MONTEVIDEO,Mar 2016,4,URY
OFICINA CONSULAR MONTEVIDEO,Apr 2016,13,URY
OFICINA CONSULAR MONTEVIDEO,May 2016,10,URY
OFICINA CONSULAR MONTEVIDEO,Jun 2016,10,URY
OFICINA CONSULAR MONTEVIDEO,Jul 2016,10,URY
OFICINA CONSULAR MONTEVIDEO,Aug 2016,9,URY
OFICINA CONSULAR MONTEVIDEO,Sep 2016,10,URY
OFICINA CONSULAR MONTEVIDEO,Oct 2016,6,URY
OFICINA CONSULAR MONTEVIDEO,Nov 2016,7,URY
OFICINA CONSULAR MONTEVIDEO,Dec 2016,9,URY
OFICINA CONSULAR MONTEVIDEO,Jan 2017,8,URY
OFICINA CONSULAR MONTEVIDEO,Feb 2017,14,URY
OFICINA CONSULAR MONTEVIDEO,Mar 2017,16,URY
OFICINA CONSULAR MONTEVIDEO,Apr 2017,10,URY
OFICINA CONSULAR MONTEVIDEO,May 2017,25,URY
OFICINA CONSULAR MONTEVIDEO,Jun 2017,9,URY
OFICINA CONSULAR MONTEVIDEO,Jul 2017,14,URY
OFICINA CONSULAR MONTEVIDEO,Aug 2017,10,URY
OFICINA CONSULAR MONTEVIDEO,Sep 2017,9,URY
OFICINA CONSULAR MONTEVIDEO,Oct 2017,8,URY
OFICINA CONSULAR MONTEVIDEO,Nov 2017,15,URY
OFICINA CONSULAR MONTEVIDEO,Dec 2017,4,URY
