symbol,date,price,pais
CONSULADO AD-HONOREM BOSTON,Aug 2015,2,USA
CONSULADO AD-HONOREM BOSTON,Sep 2015,18,USA
CONSULADO AD-HONOREM BOSTON,Oct 2015,27,USA
CONSULADO AD-HONOREM BOSTON,Nov 2015,91,USA
CONSULADO AD-HONOREM BOSTON,Jan 2016,32,USA
CONSULADO AD-HONOREM BOSTON,Feb 2016,16,USA
CONSULADO AD-HONOREM BOSTON,Mar 2016,21,USA
CONSULADO AD-HONOREM BOSTON,Apr 2016,8,USA
CONSULADO AD-HONOREM BOSTON,May 2016,5,USA
CONSULADO AD-HONOREM BOSTON,Jun 2016,10,USA
CONSULADO AD-HONOREM BOSTON,Jul 2016,2,USA
CONSULADO AD-HONOREM BOSTON,Sep 2016,6,USA
CONSULADO AD-HONOREM BOSTON,Oct 2016,40,USA
CONSULADO AD-HONOREM BOSTON,Nov 2016,27,USA
CONSULADO AD-HONOREM BOSTON,Dec 2016,31,USA
CONSULADO AD-HONOREM BOSTON,Jan 2017,9,USA
CONSULADO AD-HONOREM BOSTON,Feb 2017,32,USA
CONSULADO AD-HONOREM BOSTON,Mar 2017,38,USA
CONSULADO AD-HONOREM BOSTON,Jun 2017,10,USA
CONSULADO AD-HONOREM BOSTON,Jul 2017,12,USA
CONSULADO AD-HONOREM BOSTON,Sep 2017,29,USA
CONSULADO AD-HONOREM BOSTON,Oct 2017,2,USA
CONSULADO AD-HONOREM BOSTON,Nov 2017,20,USA
CONSULADO AD-HONOREM BOSTON,Dec 2017,13,USA
CONSULADO GENERAL NEW JERSEY,Aug 2012,950,USA
CONSULADO GENERAL NEW JERSEY,Sep 2012,855,USA
CONSULADO GENERAL NEW JERSEY,Oct 2012,748,USA
CONSULADO GENERAL NEW JERSEY,Nov 2012,883,USA
CONSULADO GENERAL NEW JERSEY,Dec 2012,855,USA
CONSULADO GENERAL NEW JERSEY,Jan 2013,1238,USA
CONSULADO GENERAL NEW JERSEY,Feb 2013,1086,USA
CONSULADO GENERAL NEW JERSEY,Mar 2013,1247,USA
CONSULADO GENERAL NEW JERSEY,Apr 2013,1260,USA
CONSULADO GENERAL NEW JERSEY,May 2013,1178,USA
CONSULADO GENERAL NEW JERSEY,Jun 2013,1192,USA
CONSULADO GENERAL NEW JERSEY,Jul 2013,1287,USA
CONSULADO GENERAL NEW JERSEY,Aug 2013,1233,USA
CONSULADO GENERAL NEW JERSEY,Sep 2013,951,USA
CONSULADO GENERAL NEW JERSEY,Oct 2013,1103,USA
CONSULADO GENERAL NEW JERSEY,Nov 2013,920,USA
CONSULADO GENERAL NEW JERSEY,Dec 2013,908,USA
CONSULADO GENERAL NEW JERSEY,Jan 2014,1258,USA
CONSULADO GENERAL NEW JERSEY,Feb 2014,1104,USA
CONSULADO GENERAL NEW JERSEY,Mar 2014,1257,USA
CONSULADO GENERAL NEW JERSEY,Apr 2014,1128,USA
