symbol,date,price,pais
OFICINA CONSULAR CARACAS,Oct 2012,80,VEN
OFICINA CONSULAR CARACAS,Nov 2012,151,VEN
OFICINA CONSULAR CARACAS,Dec 2012,152,VEN
OFICINA CONSULAR CARACAS,Jan 2013,186,VEN
OFICINA CONSULAR CARACAS,Feb 2013,178,VEN
OFICINA CONSULAR CARACAS,Mar 2013,178,VEN
OFICINA CONSULAR CARACAS,Apr 2013,210,VEN
OFICINA CONSULAR CARACAS,May 2013,200,VEN
OFICINA CONSULAR CARACAS,Jun 2013,160,VEN
OFICINA CONSULAR CARACAS,Jul 2013,232,VEN
OFICINA CONSULAR CARACAS,Aug 2013,208,VEN
OFICINA CONSULAR CARACAS,Sep 2013,133,VEN
OFICINA CONSULAR CARACAS,Oct 2013,174,VEN
OFICINA CONSULAR CARACAS,Nov 2013,162,VEN
OFICINA CONSULAR CARACAS,Dec 2013,135,VEN
OFICINA CONSULAR CARACAS,Jan 2014,164,VEN
OFICINA CONSULAR CARACAS,Feb 2014,174,VEN
OFICINA CONSULAR CARACAS,Mar 2014,160,VEN
OFICINA CONSULAR CARACAS,Apr 2014,170,VEN
OFICINA CONSULAR CARACAS,May 2014,143,VEN
OFICINA CONSULAR CARACAS,Jun 2014,158,VEN
OFICINA CONSULAR CARACAS,Jul 2014,191,VEN
OFICINA CONSULAR CARACAS,Aug 2014,169,VEN
OFICINA CONSULAR CARACAS,Sep 2014,187,VEN
OFICINA CONSULAR CARACAS,Oct 2014,180,VEN
OFICINA CONSULAR CARACAS,Nov 2014,196,VEN
OFICINA CONSULAR CARACAS,Dec 2014,145,VEN
OFICINA CONSULAR CARACAS,Jan 2015,218,VEN
OFICINA CONSULAR CARACAS,Feb 2015,228,VEN
OFICINA CONSULAR CARACAS,Mar 2015,315,VEN
OFICINA CONSULAR CARACAS,Apr 2015,296,VEN
OFICINA CONSULAR CARACAS,May 2015,417,VEN
OFICINA CONSULAR CARACAS,Jun 2015,437,VEN
OFICINA CONSULAR CARACAS,Jul 2015,450,VEN
OFICINA CONSULAR CARACAS,Aug 2015,325,VEN
OFICINA CONSULAR CARACAS,Sep 2015,340,VEN
OFICINA CONSULAR CARACAS,Oct 2015,285,VEN
OFICINA CONSULAR CARACAS,Nov 2015,324,VEN
OFICINA CONSULAR CARACAS,Dec 2015,195,VEN
OFICINA CONSULAR CARACAS,Jan 2016,383,VEN
OFICINA CONSULAR CARACAS,Feb 2016,359,VEN
OFICINA CONSULAR CARACAS,Mar 2016,208,VEN
OFICINA CONSULAR CARACAS,Apr 2016,217,VEN
OFICINA CONSULAR CARACAS,May 2016,189,VEN
OFICINA CONSULAR CARACAS,Jun 2016,212,VEN
OFICINA CONSULAR CARACAS,Jul 2016,210,VEN
OFICINA CONSULAR CARACAS,Aug 2016,255,VEN
OFICINA CONSULAR CARACAS,Sep 2016,237,VEN
OFICINA CONSULAR CARACAS,Oct 2016,184,VEN
OFICINA CONSULAR CARACAS,Nov 2016,271,VEN
OFICINA CONSULAR CARACAS,Dec 2016,179,VEN
OFICINA CONSULAR CARACAS,Jan 2017,205,VEN
OFICINA CONSULAR CARACAS,Feb 2017,203,VEN
OFICINA CONSULAR CARACAS,Mar 2017,363,VEN
OFICINA CONSULAR CARACAS,Apr 2017,216,VEN
OFICINA CONSULAR CARACAS,May 2017,312,VEN
OFICINA CONSULAR CARACAS,Jun 2017,10,VEN
OFICINA CONSULAR CARACAS,Jul 2017,139,VEN
OFICINA CONSULAR CARACAS,Aug 2017,221,VEN
OFICINA CONSULAR CARACAS,Sep 2017,179,VEN
OFICINA CONSULAR CARACAS,Oct 2017,188,VEN
OFICINA CONSULAR CARACAS,Nov 2017,199,VEN
OFICINA CONSULAR CARACAS,Dec 2017,127,VEN
OFICINA CONSULAR VALENCIA VENEZUELA,Jun 2013,11,VEN
OFICINA CONSULAR VALENCIA VENEZUELA,Jul 2013,8,VEN
OFICINA CONSULAR VALENCIA VENEZUELA,Aug 2013,12,VEN
OFICINA CONSULAR VALENCIA VENEZUELA,Sep 2013,13,VEN
OFICINA CONSULAR VALENCIA VENEZUELA,Oct 2013,25,VEN
OFICINA CONSULAR VALENCIA VENEZUELA,Nov 2013,16,VEN
OFICINA CONSULAR VALENCIA VENEZUELA,Dec 2013,21,VEN
OFICINA CONSULAR VALENCIA VENEZUELA,Jan 2014,18,VEN
OFICINA CONSULAR VALENCIA VENEZUELA,Feb 2014,16,VEN
OFICINA CONSULAR VALENCIA VENEZUELA,Mar 2014,6,VEN
OFICINA CONSULAR VALENCIA VENEZUELA,Apr 2014,17,VEN
OFICINA CONSULAR VALENCIA VENEZUELA,May 2014,19,VEN
OFICINA CONSULAR VALENCIA VENEZUELA,Jun 2014,29,VEN
OFICINA CONSULAR VALENCIA VENEZUELA,Jul 2014,55,VEN
OFICINA CONSULAR VALENCIA VENEZUELA,Aug 2014,62,VEN
OFICINA CONSULAR VALENCIA VENEZUELA,Sep 2014,64,VEN
OFICINA CONSULAR VALENCIA VENEZUELA,Oct 2014,40,VEN
OFICINA CONSULAR VALENCIA VENEZUELA,Nov 2014,42,VEN
OFICINA CONSULAR VALENCIA VENEZUELA,Dec 2014,28,VEN
OFICINA CONSULAR VALENCIA VENEZUELA,Jan 2015,46,VEN
OFICINA CONSULAR VALENCIA VENEZUELA,Feb 2015,24,VEN
OFICINA CONSULAR VALENCIA VENEZUELA,Mar 2015,72,VEN
OFICINA CONSULAR VALENCIA VENEZUELA,Apr 2015,94,VEN
OFICINA CONSULAR VALENCIA VENEZUELA,May 2015,64,VEN
OFICINA CONSULAR VALENCIA VENEZUELA,Jun 2015,105,VEN
OFICINA CONSULAR VALENCIA VENEZUELA,Jul 2015,104,VEN
OFICINA CONSULAR VALENCIA VENEZUELA,Aug 2015,151,VEN
OFICINA CONSULAR VALENCIA VENEZUELA,Sep 2015,168,VEN
OFICINA CONSULAR VALENCIA VENEZUELA,Oct 2015,163,VEN
OFICINA CONSULAR VALENCIA VENEZUELA,Nov 2015,115,VEN
OFICINA CONSULAR VALENCIA VENEZUELA,Dec 2015,113,VEN
OFICINA CONSULAR VALENCIA VENEZUELA,Jan 2016,85,VEN
OFICINA CONSULAR VALENCIA VENEZUELA,Feb 2016,103,VEN
OFICINA CONSULAR VALENCIA VENEZUELA,Mar 2016,141,VEN
OFICINA CONSULAR VALENCIA VENEZUELA,Apr 2016,75,VEN
OFICINA CONSULAR VALENCIA VENEZUELA,May 2016,53,VEN
OFICINA CONSULAR VALENCIA VENEZUELA,Jun 2016,49,VEN
OFICINA CONSULAR VALENCIA VENEZUELA,Jul 2016,41,VEN
OFICINA CONSULAR VALENCIA VENEZUELA,Aug 2016,61,VEN
OFICINA CONSULAR VALENCIA VENEZUELA,Sep 2016,44,VEN
OFICINA CONSULAR VALENCIA VENEZUELA,Oct 2016,39,VEN
OFICINA CONSULAR VALENCIA VENEZUELA,Nov 2016,42,VEN
OFICINA CONSULAR VALENCIA VENEZUELA,Dec 2016,54,VEN
OFICINA CONSULAR VALENCIA VENEZUELA,Jan 2017,52,VEN
OFICINA CONSULAR VALENCIA VENEZUELA,Feb 2017,55,VEN
OFICINA CONSULAR VALENCIA VENEZUELA,Mar 2017,71,VEN
OFICINA CONSULAR VALENCIA VENEZUELA,Apr 2017,42,VEN
OFICINA CONSULAR VALENCIA VENEZUELA,May 2017,49,VEN
OFICINA CONSULAR VALENCIA VENEZUELA,Jul 2017,64,VEN
OFICINA CONSULAR VALENCIA VENEZUELA,Aug 2017,167,VEN
OFICINA CONSULAR VALENCIA VENEZUELA,Sep 2017,155,VEN
OFICINA CONSULAR VALENCIA VENEZUELA,Oct 2017,83,VEN
OFICINA CONSULAR VALENCIA VENEZUELA,Nov 2017,90,VEN
OFICINA CONSULAR VALENCIA VENEZUELA,Dec 2017,122,VEN
