symbol,date,price,pais
OFICINA CONSULAR PRETORIA,Jan 2013,6,ZAF
OFICINA CONSULAR PRETORIA,Feb 2013,6,ZAF
OFICINA CONSULAR PRETORIA,Mar 2013,10,ZAF
OFICINA CONSULAR PRETORIA,Apr 2013,2,ZAF
OFICINA CONSULAR PRETORIA,May 2013,4,ZAF
OFICINA CONSULAR PRETORIA,Jun 2013,2,ZAF
OFICINA CONSULAR PRETORIA,Jul 2013,2,ZAF
OFICINA CONSULAR PRETORIA,Aug 2013,4,ZAF
OFICINA CONSULAR PRETORIA,Sep 2013,5,ZAF
OFICINA CONSULAR PRETORIA,Oct 2013,7,ZAF
OFICINA CONSULAR PRETORIA,Nov 2013,13,ZAF
OFICINA CONSULAR PRETORIA,Dec 2013,8,ZAF
OFICINA CONSULAR PRETORIA,Jan 2014,19,ZAF
OFICINA CONSULAR PRETORIA,Feb 2014,9,ZAF
OFICINA CONSULAR PRETORIA,Mar 2014,15,ZAF
OFICINA CONSULAR PRETORIA,Apr 2014,12,ZAF
OFICINA CONSULAR PRETORIA,May 2014,4,ZAF
OFICINA CONSULAR PRETORIA,Jun 2014,4,ZAF
OFICINA CONSULAR PRETORIA,Jul 2014,6,ZAF
OFICINA CONSULAR PRETORIA,Aug 2014,11,ZAF
OFICINA CONSULAR PRETORIA,Sep 2014,10,ZAF
OFICINA CONSULAR PRETORIA,Oct 2014,7,ZAF
OFICINA CONSULAR PRETORIA,Nov 2014,17,ZAF
OFICINA CONSULAR PRETORIA,Dec 2014,5,ZAF
OFICINA CONSULAR PRETORIA,Jan 2015,37,ZAF
OFICINA CONSULAR PRETORIA,Feb 2015,9,ZAF
OFICINA CONSULAR PRETORIA,Mar 2015,19,ZAF
OFICINA CONSULAR PRETORIA,Apr 2015,5,ZAF
OFICINA CONSULAR PRETORIA,May 2015,17,ZAF
OFICINA CONSULAR PRETORIA,Jun 2015,28,ZAF
OFICINA CONSULAR PRETORIA,Jul 2015,21,ZAF
OFICINA CONSULAR PRETORIA,Aug 2015,15,ZAF
OFICINA CONSULAR PRETORIA,Sep 2015,8,ZAF
OFICINA CONSULAR PRETORIA,Oct 2015,26,ZAF
OFICINA CONSULAR PRETORIA,Nov 2015,15,ZAF
OFICINA CONSULAR PRETORIA,Dec 2015,12,ZAF
OFICINA CONSULAR PRETORIA,Jan 2016,19,ZAF
OFICINA CONSULAR PRETORIA,Feb 2016,22,ZAF
OFICINA CONSULAR PRETORIA,Mar 2016,8,ZAF
OFICINA CONSULAR PRETORIA,Apr 2016,7,ZAF
OFICINA CONSULAR PRETORIA,May 2016,14,ZAF
OFICINA CONSULAR PRETORIA,Jun 2016,5,ZAF
OFICINA CONSULAR PRETORIA,Jul 2016,2,ZAF
OFICINA CONSULAR PRETORIA,Aug 2016,6,ZAF
OFICINA CONSULAR PRETORIA,Sep 2016,64,ZAF
OFICINA CONSULAR PRETORIA,Oct 2016,63,ZAF
OFICINA CONSULAR PRETORIA,Nov 2016,5,ZAF
OFICINA CONSULAR PRETORIA,Dec 2016,17,ZAF
OFICINA CONSULAR PRETORIA,Jan 2017,1,ZAF
OFICINA CONSULAR PRETORIA,Feb 2017,8,ZAF
OFICINA CONSULAR PRETORIA,Mar 2017,7,ZAF
OFICINA CONSULAR PRETORIA,Apr 2017,16,ZAF
OFICINA CONSULAR PRETORIA,May 2017,4,ZAF
OFICINA CONSULAR PRETORIA,Jun 2017,3,ZAF
OFICINA CONSULAR PRETORIA,Jul 2017,8,ZAF
OFICINA CONSULAR PRETORIA,Aug 2017,2,ZAF
OFICINA CONSULAR PRETORIA,Sep 2017,5,ZAF
OFICINA CONSULAR PRETORIA,Oct 2017,7,ZAF
OFICINA CONSULAR PRETORIA,Nov 2017,3,ZAF
OFICINA CONSULAR PRETORIA,Dec 2017,8,ZAF
